Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),81.6
Population below age 15 years (%),27.4
"Sex ratio of the total population (females per 1,000 males)","1,079"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,036"
Children under age 5 years whose birth was registered with the civil authority (%),91.7
Deaths in the last 3 years registered with the civil authority (%),71.1
Population living in households with electricity (%),96.4
Population living in households with an improved drinking-water source (%),78.6
Population living in households that use an improved sanitation facility(%),61.8
Households using clean fuel for cooking (%),29.2
Households using iodized salt (%),99.3
Households with any usual member covered under a health insurance/financing scheme (%),28.0
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),26.2
Women who are literate (%),76.4
Women with 10 or more years of schooling (%),18.7
Women age 20-24 years married before age 18 years (%),38.0
Births in the 5 years preceding the survey that are third or higher order (%),0.4
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),21.2
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),56.8
Any method (%),66.8
Any modern method (%),40.2
Female sterilization (%),6.2
Male sterilization (%),0.1
IUD/PPIUD (%),0.6
Pill (%),29.6
Condom (%),1.4
Injectables (%),0.4
Total unmet need(%),9.7
Unmet need for spacing (%),3.7
Health worker ever talked to female non-users about family planning (%),5.4
Current users ever told about side effects of current method (%),21.9
Mothers who had an antenatal check-up in the first trimester (%),41.0
Mothers who had at least 4 antenatal care visits (%),24.6
Mothers whose last birth was protected against neonatal tetanus (%),95.6
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),31.6
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),14.3
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),89.4
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),44.5
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"7,693"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),2.6
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),46.7
Institutional births (%),71.5
Institutional births in public facility (%),55.4
Home births that were conducted by skilled health personnel (%),2.9
Births attended by skilled health personnel (%),66.0
Births delivered by caesarean section (%),11.2
Births in a private health facility that were delivered by caesarean section (%),42.9
Births in a public health facility that were delivered by caesarean section (%),7.7
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),58.3
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(66.7)
Children age 12-23 months who have received BCG (%),85.1
Children age 12-23 months who have received 3 doses of polio vaccine (%),63.0
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),78.0
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),83.6
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),16.8
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),57.3
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),74.8
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),73.7
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(96.7)
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(1.5)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.2
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.6
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),60.5
Children under age 3 years breastfed within one hour of birth (%),21.7
