Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),80.1
Population below age 15 years (%),24.2
"Sex ratio of the total population (females per 1,000 males)","1,011"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,043"
Children under age 5 years whose birth was registered with the civil authority (%),92.9
Deaths in the last 3 years registered with the civil authority (%),70.8
Population living in households with electricity (%),98.8
Population living in households with an improved drinking-water source (%),87.7
Population living in households that use an improved sanitation facility(%),77.4
Households using clean fuel for cooking (%),47.7
Households using iodized salt (%),99.0
Households with any usual member covered under a health insurance/financing scheme (%),29.9
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),30.9
Women who are literate (%),77.2
Women with 10 or more years of schooling (%),22.8
Women age 20-24 years married before age 18 years (%),42.8
Births in the 5 years preceding the survey that are third or higher order (%),0.0
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),24.4
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),71.5
Any method (%),65.5
Any modern method (%),48.7
Female sterilization (%),8.6
Male sterilization (%),0.1
IUD/PPIUD (%),0.0
Pill (%),37.1
Condom (%),2.2
Injectables (%),0.0
Total unmet need(%),12.1
Unmet need for spacing (%),3.7
Health worker ever talked to female non-users about family planning (%),13.1
Current users ever told about side effects of current method (%),40.2
Mothers who had an antenatal check-up in the first trimester (%),54.0
Mothers who had at least 4 antenatal care visits (%),40.6
Mothers whose last birth was protected against neonatal tetanus (%),91.7
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),22.0
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),6.6
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),91.1
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),66.3
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"10,954"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),68.6
Institutional births (%),93.2
Institutional births in public facility (%),90.0
Home births that were conducted by skilled health personnel (%),0.5
Births attended by skilled health personnel (%),94.1
Births delivered by caesarean section (%),23.6
Births in a private health facility that were delivered by caesarean section (%),*
Births in a public health facility that were delivered by caesarean section (%),23.4
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(67.1)
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(85.1)
Children age 12-23 months who have received BCG (%),(91.8)
Children age 12-23 months who have received 3 doses of polio vaccine (%),(75.6)
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(83.9)
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(89.9)
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(16.7)
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(34.8)
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(80.6)
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),74.6
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(95.1)
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),9.8
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.6
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(62.8)
Children under age 3 years breastfed within one hour of birth (%),24.8
Children under age 6 months exclusively breastfed (%),(46.6)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet  (%),13.4
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet  (%),12.6
Children under 5 years who are stunted (height-for-age) (%),22.7
Children under 5 years who are wasted (weight-for-height) (%),27.6
Children under 5 years who are severely wasted (weight-for-height) (%),11.2
Children under 5 years who are underweight (weight-for-age) (%),29.0
Children under 5 years who are overweight (weight-for-height) (%),3.4
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),14.1
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),19.6
Women who have high risk waist-to-hip ratio (≥0.85) (%),72.5
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),70.7
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),62.6
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(52.8)
All women age 15-49 years who are anaemic (%),62.3
All women age 15-19 years who are anaemic (%),63.2
Women - Blood sugar level - high (141-160 mg/dl)(%),7.9
Women - Blood sugar level - very high (>160 mg/dl)(%),7.5
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),16.8
Men - Blood sugar level - high (141-160 mg/dl)(%),8.4
Men - Blood sugar level - very high (>160 mg/dl) (%),8.0
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),17.4
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),10.5
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.6
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),19.8
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.1
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.4
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),21.4
Ever undergone a screening test for cervical cancer (%),0.7
Ever undergone a breast examination for breast cancer (%),0.4
Ever undergone an oral cavity examination for oral cancer (%),1.2
Women age 15 years and above who use any kind of tobacco (%),49.6
Men age 15 years and above who use any kind of tobacco (%),55.8
Women age 15 years and above who consume alcohol (%),9.4
Men age 15 years and above who consume alcohol (%),33.7
