,Indicator,NFHS_5
1,Female population age 6 years and above who ever attended school (%),86.4
2,Population below age 15 years (%),26.2
3,"Sex ratio of the total population (females per 1,000 males)","1,040"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",913
5,Children under age 5 years whose birth was registered with the civil authority (%),93.5
6,Deaths in the last 3 years registered with the civil authority (%),85.9
7,Population living in households with electricity (%),96.2
8,Population living in households with an improved drinking-water source (%),75.6
9,Population living in households that use an improved sanitation facility(%),74.1
10,Households using clean fuel for cooking (%),41.6
11,Households using iodized salt (%),99.2
12,Households with any usual member covered under a health insurance/financing scheme (%),28.7
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),25.1
15,Women who are literate (%),83.1
16,Women with 10 or more years of schooling (%),23.7
18,Women age 20-24 years married before age 18 years (%),34.2
19,Births in the 5 years preceding the survey that are third or higher order (%),0.6
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),11.9
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),74.2
23,Any method (%),78.3
24,Any modern method (%),54.4
25,Female sterilization (%),10.9
26,Male sterilization (%),0.1
27,IUD/PPIUD (%),1.1
28,Pill (%),35.3
29,Condom (%),4.6
30,Injectables (%),0.0
32,Total unmet need(%),6.1
33,Unmet need for spacing (%),2.5
35,Health worker ever talked to female non-users about family planning (%),13.5
36,Current users ever told about side effects of current method (%),62.2
38,Mothers who had an antenatal check-up in the first trimester (%),75.5
39,Mothers who had at least 4 antenatal care visits (%),67.1
40,Mothers whose last birth was protected against neonatal tetanus (%),95.0
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),17.3
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),3.8
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),93.8
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),76.6
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,418"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(0.0)
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),77.4
51,Institutional births (%),85.4
52,Institutional births in public facility (%),65.2
53,Home births that were conducted by skilled health personnel (%),1.3
54,Births attended by skilled health personnel (%),86.7
55,Births delivered by caesarean section (%),18.2
56,Births in a private health facility that were delivered by caesarean section (%),42.8
57,Births in a public health facility that were delivered by caesarean section (%),14.7
59,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),69.6
60,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),67.9
61,Children age 12-23 months who have received BCG (%),93.1
62,Children age 12-23 months who have received 3 doses of polio vaccine (%),74.1
63,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),77.5
64,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),74.6
65,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),9.5
66,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),50.9
67,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),74.6
68,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),61.6
69,Children age 12-23 months who received most of their vaccinations in a public health facility (%),97.6
70,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0
72,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.7
73,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
74,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
75,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
76,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.7
77,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(69.4)
79,Children under age 3 years breastfed within one hour of birth (%),61.1
80,Children under age 6 months exclusively breastfed (%),(58.1)
81,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
82,Breastfeeding children age 6-23 months receiving an adequate diet  (%),12.6
83,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
84,Total children age 6-23 months receiving an adequate diet  (%),11.8
85,Children under 5 years who are stunted (height-for-age) (%),26.2
86,Children under 5 years who are wasted (weight-for-height) (%),30.0
87,Children under 5 years who are severely wasted (weight-for-height) (%),18.1
88,Children under 5 years who are underweight (weight-for-age) (%),32.2
89,Children under 5 years who are overweight (weight-for-height) (%),9.0
91,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),18.6
92,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),16.8
93,Women who have high risk waist-to-hip ratio (≥0.85) (%),56.0
95,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),52.5
96,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),69.6
97,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(55.3)
98,All women age 15-49 years who are anaemic (%),69.3
99,All women age 15-19 years who are anaemic (%),72.3
102,Women - Blood sugar level - high (141-160 mg/dl)(%),10.6
