,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),80.4
1,Population below age 15 years (%),24.5
2,"Sex ratio of the total population (females per 1,000 males)","1,054"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,136"
4,Children under age 5 years whose birth was registered with the civil authority (%),91.7
5,Deaths in the last 3 years registered with the civil authority (%),75.2
6,Population living in households with electricity (%),95.9
7,Population living in households with an improved drinking-water source (%),90.5
8,Population living in households that use an improved sanitation facility(%),68.6
9,Households using clean fuel for cooking (%),29.4
10,Households using iodized salt (%),99.3
11,Households with any usual member covered under a health insurance/financing scheme (%),37.3
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(23.6)
13,Women who are literate (%),80.3
14,Women with 10 or more years of schooling (%),21.6
15,Women age 20-24 years married before age 18 years (%),46.2
16,Births in the 5 years preceding the survey that are third or higher order (%),0.9
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),23.1
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),49.6
19,Any method (%),50.7
20,Any modern method (%),40.3
21,Female sterilization (%),4.6
22,Male sterilization (%),0.0
23,IUD/PPIUD (%),0.4
24,Pill (%),27.9
25,Condom (%),4.0
26,Injectables (%),0.8
27,Total unmet need(%),17.3
28,Unmet need for spacing (%),3.7
29,Health worker ever talked to female non-users about family planning (%),13.0
30,Current users ever told about side effects of current method (%),28.3
31,Mothers who had an antenatal check-up in the first trimester (%),54.2
32,Mothers who had at least 4 antenatal care visits (%),58.4
33,Mothers whose last birth was protected against neonatal tetanus (%),89.4
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),29.5
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),13.3
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),84.6
37,delivery (%),68.0
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"7,199"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
40,delivery (%),67.7
41,Institutional births (%),89.7
42,Institutional births in public facility (%),80.9
43,Home births that were conducted by skilled health personnel (%),0.7
44,Births attended by skilled health personnel (%),88.6
45,Births delivered by caesarean section (%),20.4
46,Births in a private health facility that were delivered by caesarean section (%),*
47,Births in a public health facility that were delivered by caesarean section (%),16.1
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(48.5)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(65.6)
50,Children age 12-23 months who have received BCG (%),(89.0)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(57.3)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(81.1)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(83.7)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(19.3)
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(55.6)
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(72.7)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),75.2
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),11.3
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(69.2)
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(23.5)
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(72.8)
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.2
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),63.6
66,Children under age 3 years breastfed within one hour of birth (%),15.8
67,Children under age 6 months exclusively breastfed (%),*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),10.5
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet  (%),9.9
72,Children under 5 years who are stunted (height-for-age) (%),25.5
73,Children under 5 years who are wasted (weight-for-height) (%),15.3
74,Children under 5 years who are severely wasted (weight-for-height) (%),5.2
75,Children under 5 years who are underweight (weight-for-age) (%),21.6
76,Children under 5 years who are overweight (weight-for-height) (%),5.0
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),16.8
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),22.8
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),51.9
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),59.6
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),66.8
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(57.1)
83,All women age 15-49 years who are anaemic (%),66.5
84,All women age 15-19 years who are anaemic (%),70.8
85,Blood sugar level - high (141-160 mg/dl)(%),8.3
86,Blood sugar level - very high (>160 mg/dl)(%),8.1
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),18.2
88,Blood sugar level - high (141-160 mg/dl)(%),9.7
89,Blood sugar level - very high (>160 mg/dl) (%),8.9
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),20.4
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.4
