Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),80.4
Population below age 15 years (%),24.5
"Sex ratio of the total population (females per 1,000 males)","1,054"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,136"
Children under age 5 years whose birth was registered with the civil authority (%),91.7
Deaths in the last 3 years registered with the civil authority (%),75.2
Population living in households with electricity (%),95.9
Population living in households with an improved drinking-water source (%),90.5
Population living in households that use an improved sanitation facility(%),68.6
Households using clean fuel for cooking (%),29.4
Households using iodized salt (%),99.3
Households with any usual member covered under a health insurance/financing scheme (%),37.3
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(23.6)
Women who are literate (%),80.3
Women with 10 or more years of schooling (%),21.6
Women age 20-24 years married before age 18 years (%),46.2
Births in the 5 years preceding the survey that are third or higher order (%),0.9
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),23.1
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),49.6
Any method (%),50.7
Any modern method (%),40.3
Female sterilization (%),4.6
Male sterilization (%),0.0
IUD/PPIUD (%),0.4
Pill (%),27.9
Condom (%),4.0
Injectables (%),0.8
Total unmet need(%),17.3
Unmet need for spacing (%),3.7
Health worker ever talked to female non-users about family planning (%),13.0
Current users ever told about side effects of current method (%),28.3
Mothers who had an antenatal check-up in the first trimester (%),54.2
Mothers who had at least 4 antenatal care visits (%),58.4
Mothers whose last birth was protected against neonatal tetanus (%),89.4
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),29.5
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),13.3
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),84.6
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),68.0
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"7,199"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),67.7
Institutional births (%),89.7
Institutional births in public facility (%),80.9
Home births that were conducted by skilled health personnel (%),0.7
Births attended by skilled health personnel (%),88.6
Births delivered by caesarean section (%),20.4
Births in a private health facility that were delivered by caesarean section (%),*
Births in a public health facility that were delivered by caesarean section (%),16.1
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(48.5)
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(65.6)
Children age 12-23 months who have received BCG (%),(89.0)
Children age 12-23 months who have received 3 doses of polio vaccine (%),(57.3)
