,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),79.0
1,Population below age 15 years (%),23.7
2,"Sex ratio of the total population (females per 1,000 males)",952
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",746
4,Children under age 5 years whose birth was registered with the civil authority (%),98.9
5,Deaths in the last 3 years registered with the civil authority (%),89.2
6,Population living in households with electricity (%),99.1
7,Population living in households with an improved drinking-water source (%),97.6
8,Population living in households that use an improved sanitation facility(%),85.4
9,Households using clean fuel for cooking (%),81.3
10,Households using iodized salt (%),95.2
11,Households with any usual member covered under a health insurance/financing scheme (%),23.5
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),5.0
13,Women who are literate (%),82.0
14,Women with 10 or more years of schooling (%),64.6
15,Women age 20-24 years married before age 18 years (%),6.5
16,Births in the 5 years preceding the survey that are third or higher order (%),1.6
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),8.2
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),91.8
19,Any method (%),58.5
20,Any modern method (%),43.3
21,Female sterilization (%),17.1
22,Male sterilization (%),0.3
23,IUD/PPIUD (%),3.3
24,Pill (%),1.7
25,Condom (%),20.8
26,Injectables (%),0.2
27,Total unmet need(%),15.4
28,Unmet need for spacing (%),6.0
29,Health worker ever talked to female non-users about family planning (%),27.7
30,Current users ever told about side effects of current method (%),(96.3)
31,Mothers who had an antenatal check-up in the first trimester (%),69.4
32,Mothers who had at least 4 antenatal care visits (%),61.1
33,Mothers whose last birth was protected against neonatal tetanus (%),94.8
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),56.1
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),43.4
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.7
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),86.0
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,575"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),83.8
41,Institutional births (%),92.4
42,Institutional births in public facility (%),47.1
43,Home births that were conducted by skilled health personnel (%),3.4
44,Births attended by skilled health personnel (%),92.7
45,Births delivered by caesarean section (%),47.6
46,Births in a private health facility that were delivered by caesarean section (%),69.4
47,Births in a public health facility that were delivered by caesarean section (%),34.4
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),80.0
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(90.2)
50,Children age 12-23 months who have received BCG (%),91.8
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),87.0
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),88.6
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),87.8
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),27.3
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),66.3
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),82.3
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),80.3
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),88.2
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),9.9
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.3
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.3
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),*
66,Children under age 3 years breastfed within one hour of birth (%),50.5
67,Children under age 6 months exclusively breastfed (%),(43.8)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
