Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),72.5
Population below age 15 years (%),23.7
"Sex ratio of the total population (females per 1,000 males)",958
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",892
Children under age 5 years whose birth was registered with the civil authority (%),98.0
Deaths in the last 3 years registered with the civil authority (%),81.6
Population living in households with electricity (%),99.6
Population living in households with an improved drinking-water source (%),95.6
Population living in households that use an improved sanitation facility(%),84.8
Households using clean fuel for cooking (%),68.6
Households using iodized salt (%),97.6
Households with any usual member covered under a health insurance/financing scheme (%),21.0
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),8.5
Women who are literate (%),75.4
Women with 10 or more years of schooling (%),47.5
Women age 20-24 years married before age 18 years (%),10.5
Births in the 5 years preceding the survey that are third or higher order (%),1.0
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.9
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),93.7
Any method (%),77.3
Any modern method (%),63.3
Female sterilization (%),31.0
Male sterilization (%),0.3
IUD/PPIUD (%),6.9
Pill (%),1.2
Condom (%),23.3
Injectables (%),0.3
Total unmet need(%),5.4
Unmet need for spacing (%),1.8
Health worker ever talked to female non-users about family planning (%),14.8
Current users ever told about side effects of current method (%),70.4
Mothers who had an antenatal check-up in the first trimester (%),67.2
Mothers who had at least 4 antenatal care visits (%),48.4
Mothers whose last birth was protected against neonatal tetanus (%),85.0
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40.3
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),22.9
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.2
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),83.9
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,051"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),84.7
Institutional births (%),95.5
Institutional births in public facility (%),60.1
Home births that were conducted by skilled health personnel (%),2.7
Births attended by skilled health personnel (%),97.5
Births delivered by caesarean section (%),35.6
Births in a private health facility that were delivered by caesarean section (%),55.1
Births in a public health facility that were delivered by caesarean section (%),26.8
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),74.5
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(86.5)
Children age 12-23 months who have received BCG (%),97.8
Children age 12-23 months who have received 3 doses of polio vaccine (%),78.4
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),90.9
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),89.9
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),27.9
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),64.0
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),88.7
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),57.6
Children age 12-23 months who received most of their vaccinations in a public health facility (%),88.3
Children age 12-23 months who received most of their vaccinations in a private health facility (%),11.7
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.5
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.4
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),(70.1)
Children under age 3 years breastfed within one hour of birth (%),48.7
Children under age 6 months exclusively breastfed (%),(66.6)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet (%),5.3
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet (%),6.4
Children under 5 years who are stunted (height-for-age) (%),30.0
Children under 5 years who are wasted (weight-for-height) (%),12.9
Children under 5 years who are severely wasted (weight-for-height) (%),2.2
Children under 5 years who are underweight (weight-for-age) (%),22.0
Children under 5 years who are overweight (weight-for-height) (%),2.9
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),12.6
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),39.2
Women who have high risk waist-to-hip ratio (≥0.85) (%),64.9
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),73.4
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),61.4
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(62.0)
All women age 15-49 years who are anaemic (%),61.5
All women age 15-19 years who are anaemic (%),61.1
Women - Blood sugar level - high (141-160 mg/dl)(%),5.7
Women - Blood sugar level - very high (>160 mg/dl)(%),6.9
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.2
Men - Blood sugar level - high (141-160 mg/dl)(%),6.0
Men - Blood sugar level - very high (>160 mg/dl) (%),6.0
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.7
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),18.7
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),8.0
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),29.7
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),20.6
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),10.6
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),33.9
Ever undergone a screening test for cervical cancer (%),9.4
Ever undergone a breast examination for breast cancer (%),0.0
Ever undergone an oral cavity examination for oral cancer (%),0.2
Women age 15 years and above who use any kind of tobacco (%),0.1
Men age 15 years and above who use any kind of tobacco (%),12.6
Women age 15 years and above who consume alcohol (%),0.3
Men age 15 years and above who consume alcohol (%),26.4
