,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),84.3,81.9
2,Population below age 15 years (%),20.9,24.7
3,"Sex ratio of the total population (females per 1,000 males)",876,864
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",855,815
5,Children under age 5 years whose birth was registered with the civil authority (%),97.5,96.6
6,Deaths in the last 3 years registered with the civil authority (%),89.7,na
7,Population living in households with electricity (%),99.6,99.4
8,Population living in households with an improved drinking-water source (%),99.9,99.9
9,Population living in households that use an improved sanitation facility(%),87.6,80.2
10,Households using clean fuel for cooking (%),88.9,80.7
11,Households using iodized salt (%),96.8,98.7
12,Households with any usual member covered under a health insurance/financing scheme (%),31.0,29.1
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),11.0,na
15,Women who are literate (%),83.5,na
16,Women with 10 or more years of schooling (%),62.5,59.5
18,Women age 20-24 years married before age 18 years (%),10.6,12.1
19,Births in the 5 years preceding the survey that are third or higher order (%),0.4,2.4
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.9,2.7
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),95.9,87.8
23,Any method (%),76.5,75.5
24,Any modern method (%),53.6,55.4
25,Female sterilization (%),20.1,26.9
26,Male sterilization (%),0.4,1.0
27,IUD/PPIUD (%),2.4,4.8
28,Pill (%),1.0,1.2
29,Condom (%),29.7,21.5
30,Injectables (%),0.0,0.1
32,Total unmet need(%),4.7,6.8
33,Unmet need for spacing (%),2.4,1.5
35,Health worker ever talked to female non-users about family planning (%),29.4,25.9
36,Current users ever told about side effects of current method (%),(69.6),72.9
39,Mothers who had an antenatal check-up in the first trimester (%),81.2,86.9
40,Mothers who had at least 4 antenatal care visits (%),69.0,79.9
41,Mothers whose last birth was protected against neonatal tetanus (%),91.8,83.2
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),70.3,60.9
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),58.8,39.8
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.6,94.4
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),87.3,83.4
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"5,710","2,607"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),86.6,na
52,Institutional births (%),97.4,88.9
53,Institutional births in public facility (%),74.7,69.2
54,Home births that were conducted by skilled health personnel (%),0.5,0.3
55,Births attended by skilled health personnel (%),97.9,88.8
56,Births delivered by caesarean section (%),34.6,22.2
57,Births in a private health facility that were delivered by caesarean section (%),38.8,(41.5)
58,Births in a public health facility that were delivered by caesarean section (%),34.6,20.3
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),71.1,90.1
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(78.6),96.0
63,Children age 12-23 months who have received BCG (%),96.8,98.4
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),74.2,92.7
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),85.0,94.4
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),78.7,94.4
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),26.8,na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),64.5,na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),82.9,85.2
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),72.6,60.2
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),91.2,87.5
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),8.8,12.5
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.0,17.5
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(75.0)
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,(27.9)
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(80.3)
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.5,3.2
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,94.2
