,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),72.0,71.7
2,Population below age 15 years (%),22.8,23.3
3,"Sex ratio of the total population (females per 1,000 males)",906,897
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,014","1,057"
5,Children under age 5 years whose birth was registered with the civil authority (%),97.3,99.3
6,Deaths in the last 3 years registered with the civil authority (%),87.3,na
7,Population living in households with electricity (%),99.9,99.7
8,Population living in households with an improved drinking-water source (%),99.2,100.0
9,Population living in households that use an improved sanitation facility(%),87.8,87.1
10,Households using clean fuel for cooking (%),71.5,55.4
11,Households using iodized salt (%),96.4,98.6
12,Households with any usual member covered under a health insurance/financing scheme (%),23.7,18.5
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),17.0,na
15,Women who are literate (%),74.7,na
16,Women with 10 or more years of schooling (%),45.2,47.1
18,Women age 20-24 years married before age 18 years (%),13.1,10.8
19,Births in the 5 years preceding the survey that are third or higher order (%),1.5,2.7
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.3,5.5
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),90.5,83.4
23,Any method (%),75.0,76.6
24,Any modern method (%),60.0,67.4
25,Female sterilization (%),25.6,37.5
26,Male sterilization (%),0.6,0.2
27,IUD/PPIUD (%),3.2,5.6
28,Pill (%),1.9,2.6
29,Condom (%),28.2,21.1
30,Injectables (%),0.0,0.6
32,Total unmet need(%),8.0,6.4
33,Unmet need for spacing (%),2.7,2.2
35,Health worker ever talked to female non-users about family planning (%),16.7,20.0
36,Current users ever told about side effects of current method (%),70.0,83.8
39,Mothers who had an antenatal check-up in the first trimester (%),75.0,74.2
40,Mothers who had at least 4 antenatal care visits (%),58.4,69.7
41,Mothers whose last birth was protected against neonatal tetanus (%),89.4,96.3
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),51.1,40.6
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),33.6,18.3
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.5,94.6
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),87.4,92.1
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,488",995
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),88.2,na
52,Institutional births (%),93.0,93.1
53,Institutional births in public facility (%),64.1,56.1
54,Home births that were conducted by skilled health personnel (%),4.3,4.8
55,Births attended by skilled health personnel (%),95.3,97.9
56,Births delivered by caesarean section (%),27.3,16.3
57,Births in a private health facility that were delivered by caesarean section (%),34.7,22.8
58,Births in a public health facility that were delivered by caesarean section (%),27.0,13.9
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(80.6),94.0
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(83.7),(94.0)
63,Children age 12-23 months who have received BCG (%),(97.8),100.0
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),(80.6),100.0
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(89.6),100.0
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(87.3),94.0
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(25.6),na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(55.1),na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(77.1),95.3
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),70.5,92.1
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(93.7),90.8
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(6.3),9.2
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),7.4,5.1
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),6.0,7.6
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),73.1,(100.0)
