,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
0,Population and Household Profile,Urban  Rural,,Total,Total
1,Female population age 6 years and above who ever attended school (%),82.7,73.8,77.2,76.0
2,Population below age 15 years (%),21.0,22.7,22.0,23.2
3,"Sex ratio of the total population (females per 1,000 males)",918,950,938,905
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",858,931,904,860
5,Children under age 5 years whose birth was registered with the civil authority (%),97.1,98.1,97.7,98.3
6,Deaths in the last 3 years registered with the civil authority (%),93.1,90.0,91.2,na
7,Population living in households with electricity (%),99.8,99.6,99.7,99.6
8,Population living in households with an improved drinking-water source (%),99.4,98.5,98.8,99.6
9,Population living in households that use an improved sanitation facility(%),87.8,85.9,86.6,82.7
10,Households using clean fuel for cooking (%),93.8,65.6,76.7,65.9
11,Households using iodized salt (%),94.1,95.3,94.8,98.4
12,Households with any usual member covered under a health insurance/financing scheme (%),27.5,23.6,25.2,21.2
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),5.3,9.2,7.8,na
14,Women who are literate (%),81.6,78.0,79.4,na
15,Men who are literate (%),88.7,85.5,86.8,na
16,Women with 10 or more years of schooling (%),62.4,52.2,56.0,55.1
17,Men with 10 or more years of schooling (%),62.9,55.7,58.7,59.8
18,Women who have ever used the internet (%),64.1,48.8,54.8,na
19,Men who have ever used the internet (%),85.6,73.0,78.2,na
20,Women age 20-24 years married before age 18 years (%),8.8,8.7,8.7,7.6
21,Men age 25-29 years married before age 21 years (%),10.9,11.7,11.4,11.1
22,Total fertility rate (children per woman),1.6,1.7,1.6,1.6
23,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.7,3.4,3.1,2.6
24,Adolescent fertility rate for women age 15-19 years,17,23,21,20
25,Neonatal mortality rate (NNMR),16.0,24.9,21.8,21.2
26,Infant mortality rate (IMR),20.1,32.4,28.0,29.2
27,Under-five mortality rate (U5MR),24.1,37.5,32.7,33.2
28,Any method (%),68.4,65.4,66.6,75.8
29,Any modern method (%),49.4,51.1,50.5,66.3
30,Female sterilization (%),18.0,25.6,22.8,37.5
31,Male sterilization (%),0.5,0.4,0.5,0.6
32,IUD/PPIUD (%),2.8,3.2,3.1,6.8
33,Pill (%),1.1,1.7,1.5,2.5
34,Condom (%),26.6,19.7,22.2,18.9
35,Injectables (%),0.1,0.1,0.1,0.1
36,Total unmet need(%),8.8,10.5,9.9,6.2
37,Unmet need for spacing (%),3.3,3.9,3.7,2.4
38,Health worker ever talked to female non-users about family planning (%),22.2,21.3,21.7,29.4
39,Current users ever told about side effects of current method (%),78.9,77.9,78.2,79.2
40,Mothers who had an antenatal check-up in the first trimester (%),67.1,69.3,68.5,75.6
41,Mothers who had at least 4 antenatal care visits (%),60.8,58.4,59.3,68.5
42,Mothers whose last birth was protected against neonatal tetanus (%),89.3,89.9,89.7,92.9
43,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),56.4,54.8,55.4,42.6
44,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),38.6,41.6,40.5,19.9
45,Registered pregnancies for which the mother received a Mother and Child Protection (MCP)card (%),95.4,97.6,96.9,95.1
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other healthpersonnel within 2 days of delivery (%),82.4,88.3,86.2,87.2
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,352","3,476","3,745","1,890"
48,Children born at home who were taken to a health facility for a check-up within 24 hours ofbirth (%),0.0,2.7,1.3,2.8
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other healthpersonnel within 2 days of delivery (%),79.2,87.8,84.7,na
50,Institutional births (%),92.0,95.5,94.3,90.5
51,Institutional births in public facility (%),47.0,57.6,53.9,51.7
52,Home births that were conducted by skilled health personnel (%),3.0,2.3,2.6,4.5
53,Births attended by skilled health personnel (%),93.7,96.6,95.6,94.1
54,Births delivered by caesarean section (%),38.8,38.4,38.5,24.6
55,Births in a private health facility that were delivered by caesarean section (%),53.4,57.0,55.5,39.7
56,Births in a public health facility that were delivered by caesarean section (%),31.4,29.1,29.9,17.8
57,Children age 12-23 months fully vaccinated based on information from either vaccination cardor mother's recall (%),73.2,77.9,76.2,89.1
58,Children age 12-23 months fully vaccinated based on information from vaccination cardonly (%),81.7,87.1,85.2,93.4
59,Children age 12-23 months who have received BCG (%),95.7,95.1,95.3,98.2
60,Children age 12-23 months who have received 3 doses of polio vaccine (%),75.8,81.9,79.7,93.7
61,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),87.5,89.0,88.5,94.5
62,Children age 12-23 months who have received the first dose of measles-containingvaccine (MCV) (%),85.9,89.4,88.1,93.1
63,Children age 24-35 months who have received a second dose of measles-containingvaccine (MCV) (%),25.3,28.1,27.1,na
64,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),66.7,65.5,65.9,na
65,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),85.3,85.5,85.4,91.0
66,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),68.1,70.9,69.9,74.8
67,Children age 12-23 months who received most of their vaccinations in a public healthfacility (%),86.3,93.1,90.6,89.0
68,Children age 12-23 months who received most of their vaccinations in a private healthfacility (%),12.1,5.6,8.0,11.0
69,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.0,4.3,4.9,6.6
70,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydrationsalts (ORS) (%),67.5,55.3,60.7,66.2
71,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),29.7,24.8,27.0,26.7
72,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or healthprovider (%),81.9,74.9,78.0,87.2
73,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding thesurvey (%),1.3,3.1,2.5,4.1
74,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a healthfacility or health provider (%),58.5,56.8,57.3,90.3
75,Children under age 3 years breastfed within one hour of birth (%),52.3,53.5,53.1,30.7
76,Children under age 6 months exclusively breastfed (%),52.6,57.0,55.5,53.0
77,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),60.7,38.8,46.2,41.1
78,Breastfeeding children age 6-23 months receiving an adequate diet (%),9.8,10.9,10.5,5.7
79,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),20.2,14.4,16.3,6.7
80,Total children age 6-23 months receiving an adequate diet (%),12.2,11.8,11.9,5.9
81,Children under 5 years who are stunted (height-for-age) (%),25.7,23.9,24.5,25.7
82,Children under 5 years who are wasted (weight-for-height) (%),11.7,10.0,10.6,15.6
