,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
0,Female population age 6 years and above who ever attended school (%),87.2,73.1,79.6,77.4
1,Population below age 15 years (%),21.9,23.6,22.8,24.5
2,"Sex ratio of the total population (females per 1,000 males)",954,977,966,952
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",878,941,913,924
4,Children under age 5 years whose birth was registered with the civil authority (%),96.5,96.1,96.3,95.1
5,Deaths in the last 3 years registered with the civil authority (%),92.9,87.6,89.7,na
6,Population living in households with electricity (%),99.1,96.7,97.8,93.5
7,Population living in households with an improved drinking-water source (%),99.3,88.5,93.5,92.5
8,Population living in households that use an improved sanitation facility(%),75.1,69.4,72.0,52.3
9,Households using clean fuel for cooking (%),95.6,65.4,79.7,59.9
10,Households using iodized salt (%),98.3,94.2,96.2,96.4
11,Households with any usual member covered under a health insurance/financing scheme (%),20.1,19.9,20.0,15.0
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),29.9,27.3,28.4,na
13,Women who are literate (%),90.2,79.5,84.6,na
14,Men who are literate (%),94.6,91.5,93.0,na
15,Women with 10 or more years of schooling (%),61.1,40.7,50.4,42.0
16,Men with 10 or more years of schooling (%),68.3,54.3,61.0,53.6
17,Women who have ever used the internet (%),54.3,23.7,38.0,na
18,Men who have ever used the internet (%),76.8,47.2,61.5,na
19,Women age 20-24 years married before age 18 years (%),15.7,27.6,21.9,26.3
20,Men age 25-29 years married before age 21 years (%),9.6,11.3,10.5,11.4
21,Total fertility rate (children per woman),1.5,1.9,1.7,1.9
22,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.9,10.6,7.6,8.3
23,Adolescent fertility rate for women age 15-19 years,29,63,47,59
24,Neonatal mortality rate (NNMR),15.1,17.6,16.5,16.2
25,Infant mortality rate (IMR),22.6,23.7,23.2,23.7
26,Under-five mortality rate (U5MR),28.2,27.9,28.0,28.7
27,Any method (%),65.8,66.5,66.2,64.8
28,Any modern method (%),62.7,64.7,63.8,62.6
29,Female sterilization (%),44.0,53.3,49.1,50.7
30,Male sterilization (%),0.1,0.6,0.4,0.4
31,IUD/PPIUD (%),2.2,1.6,1.9,1.6
32,Pill (%),1.9,1.7,1.8,2.4
33,Condom (%),14.1,7.1,10.2,7.1
34,Injectables (%),0.2,0.2,0.2,0.2
35,Total unmet need(%),9.9,9.3,9.6,9.7
36,Unmet need for spacing (%),4.0,3.8,3.9,4.3
37,Health worker ever talked to female non-users about family planning (%),21.7,22.1,21.9,18.5
38,Current users ever told about side effects of current method (%),51.2,52.8,52.1,36.3
39,Mothers who had an antenatal check-up in the first trimester (%),69.5,72.0,70.9,67.6
40,Mothers who had at least 4 antenatal care visits (%),72.2,68.7,70.3,72.2
41,Mothers whose last birth was protected against neonatal tetanus (%),91.2,89.3,90.1,90.4
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),51.4,45.7,48.2,40.6
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),33.6,28.8,30.9,28.0
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),93.8,96.8,95.5,90.9
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),87.3,83.8,85.4,78.5
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,390","2,675","2,966","3,578"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),5.6,7.2,6.8,6.4
48,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),91.2,87.4,89.1,na
49,Institutional births (%),96.7,93.1,94.7,90.3
50,Institutional births in public facility (%),50.8,59.5,55.8,48.9
51,Home births that were conducted by skilled health personnel (%),1.1,2.6,2.0,3.6
52,Births attended by skilled health personnel (%),95.9,92.2,93.8,91.1
53,Births delivered by caesarean section (%),30.6,21.5,25.4,20.1
54,Births in a private health facility that were delivered by caesarean section (%),40.9,37.3,39.1,33.1
55,Births in a public health facility that were delivered by caesarean section (%),23.2,15.1,18.3,13.1
56,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),71.7,74.7,73.5,56.2
57,Children age 12-23 months fully vaccinated based on information from vaccination card  only (%),81.6,81.7,81.7,78.4
58,Children age 12-23 months who have received BCG (%),92.0,95.1,93.8,90.0
59,Children age 12-23 months who have received 3 doses of polio vaccine (%),76.4,80.9,79.0,67.0
60,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),81.5,84.8,83.4,74.9
61,Children age 12-23 months who have received the first dose of measles-containing  vaccine (MCV) (%),82.7,86.2,84.7,82.8
62,Children age 24-35 months who have received a second dose of measles-containing  vaccine (MCV) (%),22.5,29.1,26.3,na
63,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),7.2,8.9,8.2,na
64,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),74.3,76.6,75.6,60.8
65,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),72.4,72.0,72.2,73.6
66,Children age 12-23 months who received most of their vaccinations in a public health  facility (%),82.2,94.6,89.5,86.2
67,Children age 12-23 months who received most of their vaccinations in a private health  facility (%),17.3,4.8,10.0,13.6
68,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.6,10.7,8.9,8.5
69,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),64.3,57.3,59.5,60.5
70,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),25.7,28.1,27.3,13.0
71,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),73.9,71.6,72.3,77.6
72,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.4,3.8,3.2,2.4
73,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),81.2,75.1,77.5,84.7
74,Children under age 3 years breastfed within one hour of birth (%),51.8,54.3,53.2,57.5
75,Children under age 6 months exclusively breastfed (%),66.9,74.1,71.0,56.6
76,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),49.9,54.8,52.7,43.3
77,Breastfeeding children age 6-23 months receiving an adequate diet  (%),8.5,8.4,8.4,5.3
78,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),11.8,12.1,12.0,12.2
79,Total children age 6-23 months receiving an adequate diet  (%),9.2,9.0,9.0,6.5
80,Children under 5 years who are stunted (height-for-age) (%),34.9,35.5,35.2,34.4
81,Children under 5 years who are wasted (weight-for-height) (%),23.0,27.3,25.6,25.6
82,Children under 5 years who are severely wasted (weight-for-height) (%),9.5,11.9,10.9,9.4
83,Children under 5 years who are underweight (weight-for-age) (%),33.3,38.0,36.1,36.0
84,Children under 5 years who are overweight (weight-for-height) (%),5.2,3.4,4.1,1.9
85,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),15.8,25.0,20.8,23.5
86,Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),15.3,16.9,16.2,19.1
87,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),29.6,18.3,23.4,23.4
88,Men who are overweight or obese (BMI ≥25.0 kg/m) (%),28.9,21.3,24.7,23.8
89,Women who have high risk waist-to-hip ratio (≥0.85) (%),51.5,38.6,44.5,na
90,Men who have high risk waist-to-hip ratio (≥0.90) (%),43.2,38.7,40.7,na
91,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),66.3,70.7,68.9,53.8
92,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),52.3,56.4,54.5,47.9
93,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),44.2,46.5,45.7,49.3
94,All women age 15-49 years who are anaemic (%),52.0,56.1,54.2,48.0
95,All women age 15-19 years who are anaemic (%),56.4,57.7,57.2,49.7
96,Men age 15-49 years who are anaemic (<13.0 g/dl)%),17.4,25.4,21.9,17.7
97,Men age 15-19 years who are anaemic (<13.0 g/dl)(%),19.0,34.2,27.9,27.5
98,Women - Blood sugar level - high (141-160 mg/dl)(%),6.2,5.2,5.7,na
99,Women - Blood sugar level - very high (>160 mg/dl)(%),6.5,4.5,5.4,na
100,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),14.6,10.7,12.4,na
101,Men - Blood sugar level - high (141-160 mg/dl)(%),7.0,6.2,6.5,na
102,Men - Blood sugar level - very high (>160 mg/dl) (%),6.8,5.2,5.9,na
103,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),15.3,12.4,13.6,na
104,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),14.1,13.4,13.7,na
105,Women - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),4.4,5.5,5.0,na
106,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),23.8,22.6,23.1,na
107,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),16.8,15.4,16.0,na
108,Men - Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),5.0,5.5,5.3,na
109,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),25.7,23.5,24.4,na
