,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),77.4,75.4
1,Population below age 15 years (%),23.0,25.8
2,"Sex ratio of the total population (females per 1,000 males)",967,905
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",845,843
4,Children under age 5 years whose birth was registered with the civil authority (%),99.3,93.4
5,Deaths in the last 3 years registered with the civil authority (%),85.7,na
6,Population living in households with electricity (%),94.5,93.8
7,Population living in households with an improved drinking-water source (%),90.0,90.6
8,Population living in households that use an improved sanitation facility(%),79.5,52.8
9,Households using clean fuel for cooking (%),77.4,57.8
10,Households using iodized salt (%),95.5,94.9
11,Households with any usual member covered under a health insurance/financing scheme (%),12.0,10.0
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),21.6,na
13,Women who are literate (%),86.2,na
14,Women with 10 or more years of schooling (%),45.7,44.7
15,Women age 20-24 years married before age 18 years (%),26.9,39.0
16,Births in the 5 years preceding the survey that are third or higher order (%),0.7,2.1
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),10.8,13.2
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),84.2,60.3
19,Any method (%),69.5,48.4
20,Any modern method (%),67.4,47.5
21,Female sterilization (%),56.6,40.3
22,Male sterilization (%),0.0,0.0
23,IUD/PPIUD (%),1.7,2.1
24,Pill (%),1.0,1.5
25,Condom (%),8.0,3.4
26,Injectables (%),0.0,0.0
27,Total unmet need(%),8.3,12.1
28,Unmet need for spacing (%),2.6,4.0
29,Health worker ever talked to female non-users about family planning (%),19.5,18.1
30,Current users ever told about side effects of current method (%),31.7,50.0
31,Mothers who had an antenatal check-up in the first trimester (%),71.4,59.1
32,Mothers who had at least 4 antenatal care visits (%),76.6,63.1
33,Mothers whose last birth was protected against neonatal tetanus (%),91.2,87.0
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),53.3,22.4
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),32.0,5.8
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94.4,90.9
37,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.9,80.9
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"5,575","4,851"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
40,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),92.9,na
41,Institutional births (%),97.9,93.9
42,Institutional births in public facility (%),45.5,43.6
43,Home births that were conducted by skilled health personnel (%),1.0,2.7
44,Births attended by skilled health personnel (%),95.0,96.2
45,Births delivered by caesarean section (%),28.1,16.7
46,Births in a private health facility that were delivered by caesarean section (%),33.7,18.9
47,Births in a public health facility that were delivered by caesarean section (%),23.0,16.5
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),83.5,42.0
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),88.3,(69.7)
50,Children age 12-23 months who have received BCG (%),96.6,94.0
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),87.6,58.8
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),92.6,59.3
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),93.8,76.7
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),43.9,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),4.4,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),89.3,38.7
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),69.9,77.7
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),93.1,84.5
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),6.9,15.5
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),15.9,10.1
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(66.0),(47.0)
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(28.3),(11.4)
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(71.0),(81.2)
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.7,2.4
65,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(84.2),(81.2)
66,Children under age 3 years breastfed within one hour of birth (%),50.5,42.5
67,Children under age 6 months exclusively breastfed (%),*,*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet  (%),11.6,3.9
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
71,Total children age 6-23 months receiving an adequate diet  (%),9.8,3.3
72,Children under 5 years who are stunted (height-for-age) (%),31.7,33.4
73,Children under 5 years who are wasted (weight-for-height) (%),24.9,21.7
74,Children under 5 years who are severely wasted (weight-for-height) (%),8.6,4.2
75,Children under 5 years who are underweight (weight-for-age) (%),41.2,31.1
76,Children under 5 years who are overweight (weight-for-height) (%),1.8,2.1
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),21.5,22.5
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),23.0,18.3
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),44.6,na
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),64.5,47.3
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),50.5,46.6
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(44.0),(35.7)
83,All women age 15-49 years who are anaemic (%),50.3,46.1
84,All women age 15-19 years who are anaemic (%),45.0,43.2
85,Women - Blood sugar level - high (141-160 mg/dl)(%),5.0,na
86,Women - Blood sugar level - very high (>160 mg/dl)(%),4.4,na
87,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.0,na
88,Men - Blood sugar level - high (141-160 mg/dl)(%),5.4,na
89,Men - Blood sugar level - very high (>160 mg/dl) (%),5.2,na
90,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.5,na
91,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),13.4,na
92,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.1,na
93,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),23.6,na
94,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),16.0,na
95,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.3,na
96,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),25.3,na
97,  Ever undergone a screening test for cervical cancer (%),1.3,na
98,  Ever undergone a breast examination for breast cancer (%),0.2,na
99,Ever undergone an oral cavity examination for oral cancer (%),0.2,na
100,Women age 15 years and above who use any kind of tobacco (%),14.7,na
101,Men age 15 years and above who use any kind of tobacco (%),37.7,na
102,Women age 15 years and above who consume alcohol (%),0.2,na
103,Men age 15 years and above who consume alcohol (%),10.5,na
