,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),85.1,82.4
2,Population below age 15 years (%),20.4,21.1
3,"Sex ratio of the total population (females per 1,000 males)",979,947
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,173","1,298"
5,Children under age 5 years whose birth was registered with the civil authority (%),98.4,98.5
6,Deaths in the last 3 years registered with the civil authority (%),92.0,na
7,Population living in households with electricity (%),98.8,96.0
8,Population living in households with an improved drinking-water source (%),98.5,94.6
9,Population living in households that use an improved sanitation facility(%),80.2,58.9
10,Households using clean fuel for cooking (%),83.9,54.9
11,Households using iodized salt (%),97.9,98.7
12,Households with any usual member covered by a health scheme or health insurance (%),27.1,14.8
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),33.9,na
15,Women who are literate (%),93.0,na
16,Women with 10 or more years of schooling (%),56.5,42.6
18,Women age 20-24 years married before age 18 years (%),9.0,7.7
19,Births in the 5 years preceding the survey that are third or higher order (%),0.5,2.3
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.2,2.6
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),94.0,76.8
23,Any method (%),79.2,78.2
24,Any modern method (%),78.1,75.5
25,Female sterilization (%),64.3,65.0
26,Male sterilization (%),0.4,2.1
27,IUD/PPIUD (%),1.5,1.3
28,Pill (%),2.4,0.9
29,Condom (%),8.6,6.1
30,Injectables (%),0.8,0.0
32,Total unmet need(%),6.6,4.6
33,Unmet need for spacing (%),3.7,2.7
35,Health worker ever talked to female non-users about family planning (%),36.5,30.1
36,Current users ever told about side effects of current method (%),52.8,30.0
39,Mothers who had an antenatal check-up in the first trimester (%),87.9,63.4
40,Mothers who had at least 4 antenatal care visits (%),70.4,77.3
41,Mothers whose last birth was protected against neonatal tetanus (%),93.4,90.1
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),50.6,45.2
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),29.0,35.4
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.6,93.5
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.9,85.8
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,482","2,823"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.5,na
52,Institutional births (%),98.8,97.9
53,Institutional births in public facility (%),72.4,71.5
54,Home births that were conducted by skilled health personnel (%),0.0,1.3
55,Births attended by skilled health personnel (%),99.0,95.5
56,Births delivered by caesarean section (%),24.1,25.9
57,Births in a private health facility that were delivered by caesarean section (%),39.3,47.5
58,Births in a public health facility that were delivered by caesarean section (%),19.0,18.6
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(92.4),(76.5)
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(87.4),(80.1)
63,Children age 12-23 months who have received BCG (%),(100.0),(95.5)
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),(95.0),(93.5)
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(97.4),(81.4)
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(97.4),(80.4)
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(36.9),na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(2.6),na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(89.6),(93.5)
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),87.1,81.6
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(97.6),(93.2)
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(2.4),(6.9)
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),6.0,9.6
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.5,1.4
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
82,Children under age 3 years breastfed within one hour of birth (%),51.6,56.9
83,Children under age 6 months exclusively breastfed (%),*,*
84,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
85,Breastfeeding children age 6-23 months receiving an adequate diet  (%),4.8,(1.1)
86,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
87,Total children age 6-23 months receiving an adequate diet  (%),7.3,4.8
88,Children under 5 years who are stunted (height-for-age) (%),27.7,30.5
89,Children under 5 years who are wasted (weight-for-height) (%),28.1,26.2
90,Children under 5 years who are severely wasted (weight-for-height) (%),12.5,10.2
91,Children under 5 years who are underweight (weight-for-age) (%),31.3,36.1
92,Children under 5 years who are overweight (weight-for-height) (%),4.0,2.3
94,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),17.1,29.4
95,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),19.6,17.0
96,Women who have high risk waist-to-hip ratio (≥0.85) (%),39.6,na
98,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),71.4,48.5
99,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),60.7,42.4
100,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(36.5),(43.4)
101,All women age 15-49 years who are anaemic (%),60.0,42.5
102,All women age 15-19 years who are anaemic (%),63.5,43.7
105,Women - Blood sugar level - high (141-160 mg/dl)(%),4.5,na
106,Women - Blood sugar level - very high (>160 mg/dl)(%),3.7,na
107,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.0,na
109,Men - Blood sugar level - high (141-160 mg/dl)(%),5.4,na
110,Men - Blood sugar level - very high (>160 mg/dl) (%),4.4,na
111,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.4,na
114,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),9.8,na
115,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),2.7,na
117,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),17.1,na
119,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),10.0,na
120,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),1.8,na
122,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),14.0,na
124,Ever undergone a screening test for cervical cancer (%),0.4,na
125,Ever undergone a breast examination for breast cancer (%),0.0,na
126,Ever undergone an oral cavity examination for oral cancer (%),0.2,na
128,Women age 15 years and above who use any kind of tobacco (%),9.5,na
129,Men age 15 years and above who use any kind of tobacco (%),52.6,na
130,Women age 15 years and above who consume alcohol (%),0.6,na
131,Men age 15 years and above who consume alcohol (%),24.6,na
