Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),72.0,71.9
Population below age 15 years (%),25.7,25.3
"Sex ratio of the total population (females per 1,000 males)",962,963
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",960,816
Children under age 5 years whose birth was registered with the civil authority (%),97.0,96.2
Deaths in the last 3 years registered with the civil authority (%),90.8,na
Population living in households with electricity (%),97.1,91.5
Population living in households with an improved drinking-water source (%),90.4,87.5
Population living in households that use an improved sanitation facility(%),67.8,53.1
Households using clean fuel for cooking (%),73.1,50.7
Households using iodized salt (%),96.5,96.4
Households with any usual member covered under a health insurance/financing scheme (%),20.5,21.5
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),26.2,na
Women who are literate (%),76.4,na
Women with 10 or more years of schooling (%),36.0,35.1
Women age 20-24 years married before age 18 years (%),40.3,35.6
Births in the 5 years preceding the survey that are third or higher order (%),4.4,3.1
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),18.6,16.2
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),84.5,59.1
Any method (%),75.7,64.4
Any modern method (%),74.2,63.4
Female sterilization (%),66.4,58.6
Male sterilization (%),0.0,0.0
IUD/PPIUD (%),1.7,1.0
Pill (%),2.3,1.2
Condom (%),3.7,2.2
Injectables (%),0.0,0.5
Total unmet need(%),5.6,8.2
Unmet need for spacing (%),1.7,4.9
Health worker ever talked to female non-users about family planning (%),35.1,17.4
Current users ever told about side effects of current method (%),54.4,23.7
Mothers who had an antenatal check-up in the first trimester (%),81.3,66.3
Mothers who had at least 4 antenatal care visits (%),81.9,73.8
Mothers whose last birth was protected against neonatal tetanus (%),90.5,90.7
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),60.3,50.9
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),36.0,44.0
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.0,86.8
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.6,75.4
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,910","1,453"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.2,na
Institutional births (%),96.2,86.4
Institutional births in public facility (%),51.5,28.9
Home births that were conducted by skilled health personnel (%),0.9,6.5
Births attended by skilled health personnel (%),96.3,92.3
Births delivered by caesarean section (%),21.2,16.5
Births in a private health facility that were delivered by caesarean section (%),34.9,24.9
Births in a public health facility that were delivered by caesarean section (%),10.8,7.3
Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),83.6,64.9
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),86.3,(69.9)
Children age 12-23 months who have received BCG (%),93.5,96.2
Children age 12-23 months who have received 3 doses of polio vaccine (%),85.1,70.4
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),90.2,83.3
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),88.3,86.6
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),34.6,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),4.7,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),85.6,64.2
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),65.9,64.7
Children age 12-23 months who received most of their vaccinations in a public health facility (%),88.7,82.4
Children age 12-23 months who received most of their vaccinations in a private health facility (%),7.7,17.6
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),11.4,8.0
