,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),89.0,87.0
1,Population below age 15 years (%),24.8,26.7
2,"Sex ratio of the total population (females per 1,000 males)","1,041","1,095"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,039","1,017"
4,Children under age 5 years whose birth was registered with the civil authority (%),86.8,66.5
5,Deaths in the last 3 years registered with the civil authority (%),49.6,na
6,Population living in households with electricity (%),99.4,97.8
7,Population living in households with an improved drinking-water source (%),89.1,81.7
8,Population living in households that use an improved sanitation facility(%),58.7,50.1
9,Households using clean fuel for cooking (%),88.6,63.2
10,Households using iodized salt (%),99.0,99.5
11,Households with any usual member covered under a health insurance/financing scheme (%),15.7,3.7
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),23.4,na
13,Women who are literate (%),92.5,na
14,Women with 10 or more years of schooling (%),61.9,59.6
15,Women age 20-24 years married before age 18 years (%),15.3,9.5
16,Births in the 5 years preceding the survey that are third or higher order (%),0.0,0.4
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),10.9,4.4
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),94.6,80.0
19,Any method (%),69.9,20.4
20,Any modern method (%),16.4,10.9
21,Female sterilization (%),3.5,2.8
22,Male sterilization (%),0.1,0.2
23,IUD/PPIUD (%),4.5,3.2
24,Pill (%),3.0,3.2
25,Condom (%),5.2,1.4
26,Injectables (%),0.0,0.1
27,Total unmet need(%),12.5,33.1
28,Unmet need for spacing (%),6.4,11.4
29,Health worker ever talked to female non-users about family planning (%),7.1,6.4
30,Current users ever told about side effects of current method (%),(35.4),50.9
31,Mothers who had an antenatal check-up in the first trimester (%),83.2,78.0
32,Mothers who had at least 4 antenatal care visits (%),93.4,78.8
33,Mothers whose last birth was protected against neonatal tetanus (%),92.7,89.9
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),60.9,54.1
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),36.7,29.9
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),50.0,27.5
37,days of delivery (%),90.8,78.4
