,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),83.7,83.3
2,Population below age 15 years (%),30.9,34.1
3,"Sex ratio of the total population (females per 1,000 males)",969,984
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",996,"1,041"
5,Children under age 5 years whose birth was registered with the civil authority (%),87.3,51.0
6,Deaths in the last 3 years registered with the civil authority (%),49.1,na
7,Population living in households with electricity (%),95.0,78.0
8,Population living in households with an improved drinking-water source (%),50.9,47.2
9,Population living in households that use an improved sanitation facility(%),81.4,62.4
10,Households using clean fuel for cooking (%),22.9,10.8
11,Households using iodized salt (%),99.4,98.0
12,Households with any usual member covered under a health insurance/financing scheme (%),17.0,1.1
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),17.5,na
15,Women who are literate (%),86.9,na
16,Women with 10 or more years of schooling (%),49.7,42.5
18,Women age 20-24 years married before age 18 years (%),11.1,15.3
19,Births in the 5 years preceding the survey that are third or higher order (%),5.1,4.1
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),9.8,3.9
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),80.6,79.5
23,Any method (%),56.9,12.7
24,Any modern method (%),12.3,6.6
25,Female sterilization (%),2.0,0.6
26,Male sterilization (%),0.0,0.0
27,IUD/PPIUD (%),3.8,3.4
28,Pill (%),2.0,1.6
29,Condom (%),2.9,1.1
30,Injectables (%),0.8,0.0
32,Total unmet need(%),12.7,30.7
33,Unmet need for spacing (%),5.2,11.7
35,Health worker ever talked to female non-users about family planning (%),6.7,8.7
36,Current users ever told about side effects of current method (%),(41.4),*
38,Mothers who had an antenatal check-up in the first trimester (%),58.3,48.5
39,Mothers who had at least 4 antenatal care visits (%),38.8,27.0
40,Mothers whose last birth was protected against neonatal tetanus (%),81.6,75.1
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),25.1,14.4
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),11.7,4.6
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),78.3,29.7
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),44.9,33.6
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"13,190","(8,143)"
