Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
Female population age 6 years and above who ever attended school (%),88.4,81.2,84.0,81.7
Population below age 15 years (%),25.5,29.5,28.0,29.9
"Sex ratio of the total population (females per 1,000 males)","1,077","1,060","1,066","1,049"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,010",947,967,962
Children under age 5 years whose birth was registered with the civil authority (%),88.2,87.1,87.4,64.8
Deaths in the last 3 years registered with the civil authority (%),42.5,41.8,42.1,na
Population living in households with electricity (%),99.1,97.5,98.1,92.8
Population living in households with an improved drinking-water source (%),90.4,68.9,77.1,63.9
Population living in households that use an improved sanitation facility(%),60.6,67.5,64.9,52.6
Households using clean fuel for cooking (%),86.4,60.7,70.4,42.1
Households using iodized salt (%),99.2,99.3,99.3,99.5
Households with any usual member covered under a health insurance/financing scheme (%),12.3,15.3,14.2,3.6
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),31.3,21.8,25.0,na
Women who are literate (%),92.1,84.8,87.6,na
Men who are literate (%),96.9,94.0,95.2,na
Women with 10 or more years of schooling (%),60.0,40.6,48.1,45.9
Men with 10 or more years of schooling (%),66.9,52.7,58.7,54.9
Women who have ever used the internet (%),50.8,40.4,44.8,na
Men who have ever used the internet (%),81.5,68.2,73.9,na
Women age 20-24 years married before age 18 years (%),14.2,17.6,16.3,13.7
Men age 25-29 years married before age 21 years (%),11.9,17.8,15.3,15.1
Total fertility rate (children per woman),1.8,2.4,2.2,2.6
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),7.6,9.1,8.6,7.4
Adolescent fertility rate for women age 15-19 years,43,43,43,43
Neonatal mortality rate (NNMR),5.7,22.7,17.2,15.6
Infant mortality rate (IMR),12.2,31.1,25.0,21.7
Under-five mortality rate (U5MR),17.1,36.2,30.0,25.9
Any method (%),61.5,61.2,61.3,23.6
Any modern method (%),19.3,17.5,18.2,12.7
Female sterilization (%),4.4,3.2,3.7,3.1
Male sterilization (%),0.0,0.1,0.0,0.1
IUD/PPIUD (%),5.5,4.5,4.9,3.7
Pill (%),3.0,5.2,4.4,4.2
Condom (%),6.1,4.0,4.8,1.3
Injectables (%),0.1,0.2,0.1,0.1
Total unmet need(%),12.7,12.0,12.2,30.1
Unmet need for spacing (%),5.3,4.4,4.7,12.7
Health worker ever talked to female non-users about family planning (%),7.0,5.2,6.0,8.7
Current users ever told about side effects of current method (%),45.1,45.5,45.4,46.7
Mothers who had an antenatal check-up in the first trimester (%),84.0,77.7,79.9,77.0
Mothers who had at least 4 antenatal care visits (%),88.8,74.5,79.4,69.0
Mothers whose last birth was protected against neonatal tetanus (%),91.8,87.4,88.9,88.8
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),63.0,46.8,52.3,39.2
