,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),65.6,65.0
2,Population below age 15 years (%),22.6,23.4
3,"Sex ratio of the total population (females per 1,000 males)","1,024","1,079"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,019","1,168"
5,Children under age 5 years whose birth was registered with the civil authority (%),94.7,86.4
6,Deaths in the last 3 years registered with the civil authority (%),74.3,na
7,Population living in households with electricity (%),99.7,99.4
8,Population living in households with an improved drinking-water source (%),98.5,99.8
9,Population living in households that use an improved sanitation facility(%),74.6,40.9
10,Households using clean fuel for cooking (%),86.6,59.4
11,Households using iodized salt (%),85.5,83.8
12,Households with any usual member covered under a health insurance/financing scheme (%),70.7,74.8
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),14.2,na
15,Women who are literate (%),69.3,na
16,Women with 10 or more years of schooling (%),40.3,39.0
18,Women age 20-24 years married before age 18 years (%),28.1,26.6
19,Births in the 5 years preceding the survey that are third or higher order (%),3.2,2.1
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),19.7,14.7
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),94.7,82.6
23,Any method (%),69.0,59.7
24,Any modern method (%),68.9,59.5
25,Female sterilization (%),67.9,58.3
26,Male sterilization (%),0.0,0.0
27,IUD/PPIUD (%),0.0,0.7
28,Pill (%),0.0,0.4
29,Condom (%),0.8,0.2
30,Injectables (%),0.0,0.0
32,Total unmet need(%),6.0,4.2
33,Unmet need for spacing (%),3.9,2.7
35,Health worker ever talked to female non-users about family planning (%),21.3,13.6
36,Current users ever told about side effects of current method (%),29.1,30.8
39,Mothers who had an antenatal check-up in the first trimester (%),80.3,72.0
40,Mothers who had at least 4 antenatal care visits (%),65.3,70.4
41,Mothers whose last birth was protected against neonatal tetanus (%),97.8,94.7
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),71.7,64.1
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),43.7,30.5
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.2,90.7
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),93.8,82.0
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,533","1,723"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),95.2,na
52,Institutional births (%),97.1,94.0
53,Institutional births in public facility (%),66.5,53.0
54,Home births that were conducted by skilled health personnel (%),1.3,1.4
55,Births attended by skilled health personnel (%),97.6,87.9
56,Births delivered by caesarean section (%),26.4,32.9
57,Births in a private health facility that were delivered by caesarean section (%),54.7,53.6
58,Births in a public health facility that were delivered by caesarean section (%),14.6,20.6
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(66.6),(67.6)
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(87.5),(79.4)
63,Children age 12-23 months who have received BCG (%),(97.2),(98.0)
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),(69.1),(74.6)
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(88.4),(87.6)
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(89.6),(91.1)
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(26.8),na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(75.0),na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(86.2),(65.0)
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),76.9,82.6
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0),(91.3)
