,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),72.6
1,Population below age 15 years (%),31.0
2,"Sex ratio of the total population (females per 1,000 males)",997
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",869
4,Children under age 5 years whose birth was registered with the civil authority (%),93.4
5,Deaths in the last 3 years registered with the civil authority (%),(8.3)
6,Population living in households with electricity (%),99.2
7,Population living in households with an improved drinking-water source (%),99.8
8,Population living in households that use an improved sanitation facility(%),78.3
9,Households using clean fuel for cooking (%),57.3
10,Households using iodized salt (%),99.7
11,Households with any usual member covered under a health insurance/financing scheme (%),13.4
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(5.0)
13,Women who are literate (%),76.0
14,Women with 10 or more years of schooling (%),34.7
15,Women age 20-24 years married before age 18 years (%),19.8
16,Births in the 5 years preceding the survey that are third or higher order (%),0.0
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),7.7
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),96.1
19,Any method (%),54.1
20,Any modern method (%),47.9
21,Female sterilization (%),16.9
22,Male sterilization (%),0.0
23,IUD/PPIUD (%),5.6
24,Pill (%),17.0
25,Condom (%),4.1
26,Injectables (%),3.5
27,Total unmet need(%),16.4
28,Unmet need for spacing (%),7.4
29,Health worker ever talked to female non-users about family planning (%),22.7
30,Current users ever told about side effects of current method (%),82.6
31,Mothers who had an antenatal check-up in the first trimester (%),45.2
32,Mothers who had at least 4 antenatal care visits (%),44.1
33,Mothers whose last birth was protected against neonatal tetanus (%),77.0
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),23.8
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),8.6
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.0
37,delivery (%),62.3
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"9,838"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0.0
40,delivery (%),61.1
41,Institutional births (%),69.2
42,Institutional births in public facility (%),64.2
43,Home births that were conducted by skilled health personnel (%),1.6
44,Births attended by skilled health personnel (%),69.7
45,Births delivered by caesarean section (%),17.1
46,Births in a private health facility that were delivered by caesarean section (%),*
47,Births in a public health facility that were delivered by caesarean section (%),25.9
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(71.4)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(76.7)
50,Children age 12-23 months who have received BCG (%),(100.0)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(71.4)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(86.6)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(89.5)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(45.4)
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(9.9)
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(76.3)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),47.9
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.7
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),5.6
65,health provider (%),*
66,Children under age 3 years breastfed within one hour of birth (%),39.0
67,Children under age 6 months exclusively breastfed (%),*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),(18.6)
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet (%),(18.7)
72,Children under 5 years who are stunted (height-for-age) (%),29.2
73,Children under 5 years who are wasted (weight-for-height) (%),15.1
74,Children under 5 years who are severely wasted (weight-for-height) (%),5.3
75,Children under 5 years who are underweight (weight-for-age) (%),13.9
76,Children under 5 years who are overweight (weight-for-height) (%),5.8
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),2.7
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),23.3
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),78.8
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),62.4
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),35.5
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*
83,All women age 15-49 years who are anaemic (%),34.8
84,All women age 15-19 years who are anaemic (%),42.2
85,Blood sugar level - high (141-160 mg/dl)(%),4.1
86,Blood sugar level - very high (>160 mg/dl)(%),1.9
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),6.9
88,Blood sugar level - high (141-160 mg/dl)(%),7.0
89,Blood sugar level - very high (>160 mg/dl) (%),2.4
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.3
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.0
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.3
93,pressure (%),19.2
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),20.1
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.6
96,pressure (%),26.0
97,Ever undergone a screening test for cervical cancer (%),0.7
98,Ever undergone a breast examination for breast cancer (%),0.0
99,Ever undergone an oral cavity examination for oral cancer (%),1.4
100,Women age 15 years and above who use any kind of tobacco (%),16.4
101,Men age 15 years and above who use any kind of tobacco (%),39.4
102,Women age 15 years and above who consume alcohol (%),27.5
103,Men age 15 years and above who consume alcohol (%),50.2
