,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),73.6
1,Population below age 15 years (%),23.7
2,"Sex ratio of the total population (females per 1,000 males)","1,018"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,060"
4,Children under age 5 years whose birth was registered with the civil authority (%),81.9
5,Deaths in the last 3 years registered with the civil authority (%),17.7
6,Population living in households with electricity (%),88.2
7,Population living in households with an improved drinking-water source (%),99.1
8,Population living in households that use an improved sanitation facility(%),87.7
9,Households using clean fuel for cooking (%),57.1
10,Households using iodized salt (%),99.5
11,Households with any usual member covered under a health insurance/financing scheme (%),26.6
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),14.5
13,Women who are literate (%),76.1
14,Women with 10 or more years of schooling (%),46.3
15,Women age 20-24 years married before age 18 years (%),18.9
16,Births in the 5 years preceding the survey that are third or higher order (%),2.1
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.7
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),94.2
19,Any method (%),46.6
20,Any modern method (%),38.9
21,Female sterilization (%),15.3
22,Male sterilization (%),0.0
23,IUD/PPIUD (%),8.1
24,Pill (%),6.7
25,Condom (%),6.8
26,Injectables (%),0.6
27,Total unmet need(%),15.5
28,Unmet need for spacing (%),8.2
29,Health worker ever talked to female non-users about family planning (%),15.4
30,Current users ever told about side effects of current method (%),51.6
31,Mothers who had an antenatal check-up in the first trimester (%),49.5
32,Mothers who had at least 4 antenatal care visits (%),30.4
33,Mothers whose last birth was protected against neonatal tetanus (%),72.0
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),9.9
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),3.0
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),92.1
37,delivery (%),61.4
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"14,222"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(0.0)
40,delivery (%),60.6
41,Institutional births (%),84.6
42,Institutional births in public facility (%),79.8
43,Home births that were conducted by skilled health personnel (%),3.4
44,Births attended by skilled health personnel (%),87.6
45,Births delivered by caesarean section (%),17.8
46,Births in a private health facility that were delivered by caesarean section (%),*
47,Births in a public health facility that were delivered by caesarean section (%),18.8
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(55.4)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(60.0)
50,Children age 12-23 months who have received BCG (%),(93.7)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(57.5)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(87.8)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(86.6)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(24.2)
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(30.0)
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(81.0)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),64.5
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),3.1
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.2
65,health provider (%),(19.5)
66,Children under age 3 years breastfed within one hour of birth (%),37.6
67,Children under age 6 months exclusively breastfed (%),(69.1)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),21.5
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet (%),20.7
72,Children under 5 years who are stunted (height-for-age) (%),24.5
73,Children under 5 years who are wasted (weight-for-height) (%),15.1
74,Children under 5 years who are severely wasted (weight-for-height) (%),8.1
75,Children under 5 years who are underweight (weight-for-age) (%),16.2
76,Children under 5 years who are overweight (weight-for-height) (%),14.9
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),4.4
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),27.4
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),72.7
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),45.6
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),31.2
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(16.8)
83,All women age 15-49 years who are anaemic (%),30.5
84,All women age 15-19 years who are anaemic (%),36.7
85,Blood sugar level - high (141-160 mg/dl)(%),4.9
86,Blood sugar level - very high (>160 mg/dl)(%),3.6
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.1
88,Blood sugar level - high (141-160 mg/dl)(%),7.7
89,Blood sugar level - very high (>160 mg/dl) (%),3.3
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.2
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),23.3
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),8.5
93,pressure (%),32.7
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),29.0
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),11.3
96,pressure (%),41.1
97,Ever undergone a screening test for cervical cancer (%),0.4
98,Ever undergone a breast examination for breast cancer (%),0.1
99,Ever undergone an oral cavity examination for oral cancer (%),0.4
100,Women age 15 years and above who use any kind of tobacco (%),16.9
101,Men age 15 years and above who use any kind of tobacco (%),44.3
102,Women age 15 years and above who consume alcohol (%),26.9
103,Men age 15 years and above who consume alcohol (%),49.8
