Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),76.8
Population below age 15 years (%),23.1
"Sex ratio of the total population (females per 1,000 males)","1,059"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,162"
Children under age 5 years whose birth was registered with the civil authority (%),83.9
Deaths in the last 3 years registered with the civil authority (%),26.1
Population living in households with electricity (%),97.3
Population living in households with an improved drinking-water source (%),97.3
Population living in households that use an improved sanitation facility(%),83.9
Households using clean fuel for cooking (%),52.4
Households using iodized salt (%),99.4
Households with any usual member covered under a health insurance/financing scheme (%),30.5
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(18.0)
Women who are literate (%),81.9
Women with 10 or more years of schooling (%),55.6
Women age 20-24 years married before age 18 years (%),14.9
Births in the 5 years preceding the survey that are third or higher order (%),2.2
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.6
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),87.8
Any method (%),40.0
Any modern method (%),35.9
Female sterilization (%),14.4
Male sterilization (%),0.0
IUD/PPIUD (%),5.2
Pill (%),7.1
Condom (%),6.7
Injectables (%),0.9
Total unmet need(%),17.6
Unmet need for spacing (%),9.6
Health worker ever talked to female non-users about family planning (%),15.4
Current users ever told about side effects of current method (%),61.7
Mothers who had an antenatal check-up in the first trimester (%),39.9
Mothers who had at least 4 antenatal care visits (%),34.3
Mothers whose last birth was protected against neonatal tetanus (%),75.2
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),11.4
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),6.6
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94.4
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),55.7
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"12,217"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),58.8
Institutional births (%),90.8
Institutional births in public facility (%),85.4
Home births that were conducted by skilled health personnel (%),1.7
Births attended by skilled health personnel (%),89.2
Births delivered by caesarean section (%),18.6
Births in a private health facility that were delivered by caesarean section (%),*
Births in a public health facility that were delivered by caesarean section (%),17.3
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(48.8)
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(65.6)
Children age 12-23 months who have received BCG (%),(84.8)
Children age 12-23 months who have received 3 doses of polio vaccine (%),(59.0)
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(71.2)
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(81.9)
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(24.1)
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(24.4)
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(67.3)
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),67.3
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0)
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0)
