Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),72.1
Population below age 15 years (%),30.3
"Sex ratio of the total population (females per 1,000 males)",982
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",867
Children under age 5 years whose birth was registered with the civil authority (%),89.8
Deaths in the last 3 years registered with the civil authority (%),57.5
Population living in households with electricity (%),96.5
Population living in households with an improved drinking-water source (%),93.5
Population living in households that use an improved sanitation facility(%),75.1
Households using clean fuel for cooking (%),28.7
Households using iodized salt (%),99.1
Households with any usual member covered under a health insurance/financing scheme (%),30.9
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),1.6
Women who are literate (%),62.6
Women with 10 or more years of schooling (%),22.2
Women age 20-24 years married before age 18 years (%),26.7
Births in the 5 years preceding the survey that are third or higher order (%),0.2
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),11.3
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),93.0
Any method (%),69.5
Any modern method (%),48.1
Female sterilization (%),16.7
Male sterilization (%),0.0
IUD/PPIUD (%),2.2
Pill (%),24.6
Condom (%),4.4
Injectables (%),0.0
Total unmet need(%),8.7
Unmet need for spacing (%),5.2
Health worker ever talked to female non-users about family planning (%),14.6
Current users ever told about side effects of current method (%),74.5
Mothers who had an antenatal check-up in the first trimester (%),61.6
Mothers who had at least 4 antenatal care visits (%),35.4
Mothers whose last birth was protected against neonatal tetanus (%),76.7
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),33.6
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),8.9
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94.6
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),51.2
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,184"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),5.3
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),52.0
Institutional births (%),63.6
Institutional births in public facility (%),60.3
Home births that were conducted by skilled health personnel (%),6.4
Births attended by skilled health personnel (%),68.8
Births delivered by caesarean section (%),10.5
Births in a private health facility that were delivered by caesarean section (%),*
Births in a public health facility that were delivered by caesarean section (%),13.5
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),67.2
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),83.4
Children age 12-23 months who have received BCG (%),83.5
Children age 12-23 months who have received 3 doses of polio vaccine (%),70.9
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),80.7
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),79.3
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),27.2
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),44.0
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),75.1
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),72.4
Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.7
Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.3
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),1.7
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.2
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),(50.1)
Children under age 3 years breastfed within one hour of birth (%),47.4
Children under age 6 months exclusively breastfed (%),(62.8)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet (%),24.3
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet (%),21.2
Children under 5 years who are stunted (height-for-age) (%),28.7
Children under 5 years who are wasted (weight-for-height) (%),12.4
Children under 5 years who are severely wasted (weight-for-height) (%),4.2
Children under 5 years who are underweight (weight-for-age) (%),17.7
Children under 5 years who are overweight (weight-for-height) (%),6.2
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),12.8
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),18.0
Women who have high risk waist-to-hip ratio (≥0.85) (%),52.9
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),59.2
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),58.8
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(52.6)
All women age 15-49 years who are anaemic (%),58.6
All women age 15-19 years who are anaemic (%),58.5
Women - Blood sugar level - high (141-160 mg/dl)(%),5.6
Women - Blood sugar level - very high (>160 mg/dl)(%),3.0
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.2
Men - Blood sugar level - high (141-160 mg/dl)(%),6.6
Men - Blood sugar level - very high (>160 mg/dl) (%),3.9
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),12.0
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.5
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.7
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),27.1
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),19.0
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.9
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),28.1
Ever undergone a screening test for cervical cancer (%),0.6
Ever undergone a breast examination for breast cancer (%),0.0
Ever undergone an oral cavity examination for oral cancer (%),0.0
Women age 15 years and above who use any kind of tobacco (%),25.3
Men age 15 years and above who use any kind of tobacco (%),68.8
Women age 15 years and above who consume alcohol (%),28.4
Men age 15 years and above who consume alcohol (%),61.6
