,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),61.4,61.8
2,Population below age 15 years (%),27.3,33.6
3,"Sex ratio of the total population (females per 1,000 males)","1,052",987
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,135",909
5,Children under age 5 years whose birth was registered with the civil authority (%),78.9,44.1
6,Deaths in the last 3 years registered with the civil authority (%),10.5,na
7,Population living in households with electricity (%),87.0,88.3
8,Population living in households with an improved drinking-water source (%),94.7,86.9
9,Population living in households that use an improved sanitation facility(%),80.9,61.1
10,Households using clean fuel for cooking (%),32.8,38.5
11,Households using iodized salt (%),99.8,99.3
12,Households with any usual member covered under a health insurance/financing scheme (%),21.5,71.0
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),8.0,na
15,Women who are literate (%),62.3,na
16,Women with 10 or more years of schooling (%),31.8,27.6
18,Women age 20-24 years married before age 18 years (%),26.7,31.1
19,Births in the 5 years preceding the survey that are third or higher order (%),1.3,4.1
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),13.2,10.7
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),92.7,76.3
23,Any method (%),53.2,17.9
24,Any modern method (%),48.4,17.6
25,Female sterilization (%),17.5,7.1
26,Male sterilization (%),0.0,0.0
27,IUD/PPIUD (%),6.8,2.7
28,Pill (%),14.5,4.8
29,Condom (%),3.1,2.6
30,Injectables (%),4.4,0.3
32,Total unmet need(%),17.3,24.4
33,Unmet need for spacing (%),8.6,15.2
35,Health worker ever talked to female non-users about family planning (%),19.8,16.9
36,Current users ever told about side effects of current method (%),74.6,(59.1)
38,Mothers who had an antenatal check-up in the first trimester (%),34.6,22.1
39,Mothers who had at least 4 antenatal care visits (%),32.1,15.1
40,Mothers whose last birth was protected against neonatal tetanus (%),79.1,60.0
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),23.6,1.7
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),8.4,0.9
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.6,82.9
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),56.7,16.8
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"10,087","9,754"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0.0,0.0
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),56.7,na
51,Institutional births (%),77.0,44.7
52,Institutional births in public facility (%),76.2,41.5
53,Home births that were conducted by skilled health personnel (%),5.2,3.5
54,Births attended by skilled health personnel (%),81.3,47.0
55,Births delivered by caesarean section (%),17.9,7.1
56,Births in a private health facility that were delivered by caesarean section (%),*,*
57,Births in a public health facility that were delivered by caesarean section (%),23.0,13.8
60,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),68.5,21.9
61,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),76.3,*
62,Children age 12-23 months who have received BCG (%),89.8,60.4
63,Children age 12-23 months who have received 3 doses of polio vaccine (%),74.4,38.6
64,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),75.6,31.1
65,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),84.3,41.9
66,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),29.2,na
67,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),33.6,na
68,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),72.2,20.5
69,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),58.9,58.5
70,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0,(88.7)
71,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0,(11.3)
73,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.9,11.3
74,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(75.2)
75,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,(45.2)
76,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(45.0)
77,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.3,3.4
79,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(55.5),(46.0)
81,Children under age 3 years breastfed within one hour of birth (%),56.6,61.0
82,Children under age 6 months exclusively breastfed (%),(39.2),*
83,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
84,Breastfeeding children age 6-23 months receiving an adequate diet (%),15.3,27.6
85,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
86,Total children age 6-23 months receiving an adequate diet (%),15.4,32.0
87,Children under 5 years who are stunted (height-for-age) (%),36.8,28.3
88,Children under 5 years who are wasted (weight-for-height) (%),12.2,12.3
89,Children under 5 years who are severely wasted (weight-for-height) (%),8.1,5.1
90,Children under 5 years who are underweight (weight-for-age) (%),19.2,12.2
91,Children under 5 years who are overweight (weight-for-height) (%),9.0,7.2
93,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),2.8,10.5
94,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),25.0,15.6
95,Women who have high risk waist-to-hip ratio (≥0.85) (%),81.6,na
97,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),60.4,52.6
98,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),36.6,41.4
99,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(37.9),(40.3)
100,All women age 15-49 years who are anaemic (%),36.7,41.4
101,All women age 15-19 years who are anaemic (%),39.2,42.3
104,Women - Blood sugar level - high (141-160 mg/dl)(%),3.6,na
105,Women - Blood sugar level - very high (>160 mg/dl)(%),2.2,na
106,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),6.6,na
108,Men - Blood sugar level - high (141-160 mg/dl)(%),5.3,na
109,Men - Blood sugar level - very high (>160 mg/dl) (%),3.3,na
110,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),10.6,na
113,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.7,na
114,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.9,na
116,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),25.4,na
