,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),63.2
1,Population below age 15 years (%),29.9
2,"Sex ratio of the total population (females per 1,000 males)",926
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",961
4,Children under age 5 years whose birth was registered with the civil authority (%),88.7
5,Deaths in the last 3 years registered with the civil authority (%),(57.2)
6,Population living in households with electricity (%),97.4
7,Population living in households with an improved drinking-water source (%),62.5
8,Population living in households that use an improved sanitation facility(%),83.5
9,Households using clean fuel for cooking (%),22.4
10,Households using iodized salt (%),99.3
11,Households with any usual member covered under a health insurance/financing scheme (%),23.8
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),0.0
13,Women who are literate (%),70.2
14,Women with 10 or more years of schooling (%),27.7
15,Women age 20-24 years married before age 18 years (%),7.9
16,Births in the 5 years preceding the survey that are third or higher order (%),0.9
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.2
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),92.0
19,Any method (%),68.6
20,Any modern method (%),49.0
21,Female sterilization (%),21.3
22,Male sterilization (%),0.0
23,IUD/PPIUD (%),7.1
24,Pill (%),16.0
25,Condom (%),3.9
26,Injectables (%),0.8
27,Total unmet need(%),7.3
28,Unmet need for spacing (%),4.5
29,Health worker ever talked to female non-users about family planning (%),17.3
30,Current users ever told about side effects of current method (%),86.5
31,Mothers who had an antenatal check-up in the first trimester (%),65.8
32,Mothers who had at least 4 antenatal care visits (%),39.6
33,Mothers whose last birth was protected against neonatal tetanus (%),78.4
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),33.4
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),7.1
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.0
37,delivery (%),57.1
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,778"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0.0
40,delivery (%),55.5
41,Institutional births (%),64.5
42,Institutional births in public facility (%),62.8
43,Home births that were conducted by skilled health personnel (%),0.9
44,Births attended by skilled health personnel (%),65.0
45,Births delivered by caesarean section (%),4.2
46,Births in a private health facility that were delivered by caesarean section (%),*
47,Births in a public health facility that were delivered by caesarean section (%),5.1
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),52.7
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(75.2)
50,Children age 12-23 months who have received BCG (%),74.5
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),52.7
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),59.7
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),61.5
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),14.9
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),34.1
