Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),78.6
Population below age 15 years (%),21.8
"Sex ratio of the total population (females per 1,000 males)",968
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,011"
Children under age 5 years whose birth was registered with the civil authority (%),79.9
Deaths in the last 3 years registered with the civil authority (%),23.2
Population living in households with electricity (%),99.6
Population living in households with an improved drinking-water source (%),96.3
Population living in households that use an improved sanitation facility(%),91.2
Households using clean fuel for cooking (%),27.6
Households using iodized salt (%),98.9
Households with any usual member covered under a health insurance/financing scheme (%),26.1
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),0.0
Women who are literate (%),85.3
Women with 10 or more years of schooling (%),50.6
Women age 20-24 years married before age 18 years (%),10.0
Births in the 5 years preceding the survey that are third or higher order (%),1.8
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.5
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),98.1
Any method (%),73.7
Any modern method (%),61.0
Female sterilization (%),34.2
Male sterilization (%),0.0
IUD/PPIUD (%),10.8
Pill (%),4.5
Condom (%),8.4
Injectables (%),0.0
Total unmet need(%),5.0
Unmet need for spacing (%),2.4
Health worker ever talked to female non-users about family planning (%),19.2
Current users ever told about side effects of current method (%),60.3
Mothers who had an antenatal check-up in the first trimester (%),50.8
Mothers who had at least 4 antenatal care visits (%),31.1
Mothers whose last birth was protected against neonatal tetanus (%),78.7
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),21.5
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),5.7
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.1
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),56.0
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"8,478"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(3.3)
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),55.4
Institutional births (%),81.1
Institutional births in public facility (%),79.0
Home births that were conducted by skilled health personnel (%),2.1
Births attended by skilled health personnel (%),82.7
Births delivered by caesarean section (%),5.8
Births in a private health facility that were delivered by caesarean section (%),*
Births in a public health facility that were delivered by caesarean section (%),6.3
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(60.3)
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),*
Children age 12-23 months who have received BCG (%),(80.8)
Children age 12-23 months who have received 3 doses of polio vaccine (%),(60.3)
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(81.1)
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(77.5)
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(21.2)
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(42.7)
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(74.7)
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),68.1
Children age 12-23 months who received most of their vaccinations in a public health facility (%),*
Children age 12-23 months who received most of their vaccinations in a private health facility (%),*
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.7
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.9
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),*
Children under age 3 years breastfed within one hour of birth (%),51.4
Children under age 6 months exclusively breastfed (%),*
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet (%),(19.1)
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet (%),17.3
Children under 5 years who are stunted (height-for-age) (%),21.3
Children under 5 years who are wasted (weight-for-height) (%),12.1
Children under 5 years who are severely wasted (weight-for-height) (%),7.0
Children under 5 years who are underweight (weight-for-age) (%),8.8
Children under 5 years who are overweight (weight-for-height) (%),13.0
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),6.5
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),15.8
Women who have high risk waist-to-hip ratio (≥0.85) (%),76.4
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),24.9
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),24.4
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(15.4)
All women age 15-49 years who are anaemic (%),23.9
All women age 15-19 years who are anaemic (%),23.4
Women - Blood sugar level - high (141-160 mg/dl)(%),5.2
Women - Blood sugar level - very high (>160 mg/dl)(%),2.5
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),8.0
Men - Blood sugar level - high (141-160 mg/dl)(%),4.3
Men - Blood sugar level - very high (>160 mg/dl) (%),4.4
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.4
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.9
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),8.7
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),24.4
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),20.5
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),10.1
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),31.5
Ever undergone a screening test for cervical cancer (%),1.2
Ever undergone a breast examination for breast cancer (%),0.2
Ever undergone an oral cavity examination for oral cancer (%),0.2
Women age 15 years and above who use any kind of tobacco (%),19.6
Men age 15 years and above who use any kind of tobacco (%),55.5
Women age 15 years and above who consume alcohol (%),27.3
Men age 15 years and above who consume alcohol (%),60.6
