,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),73.3
1,Population below age 15 years (%),27.7
2,"Sex ratio of the total population (females per 1,000 males)","1,001"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",839
4,Children under age 5 years whose birth was registered with the civil authority (%),93.0
5,Deaths in the last 3 years registered with the civil authority (%),50.8
6,Population living in households with electricity (%),98.9
7,Population living in households with an improved drinking-water source (%),96.9
8,Population living in households that use an improved sanitation facility(%),83.7
9,Households using clean fuel for cooking (%),63.9
10,Households using iodized salt (%),97.9
11,Households with any usual member covered under a health insurance/financing scheme (%),31.9
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),5.0
13,Women who are literate (%),70.9
14,Women with 10 or more years of schooling (%),37.3
15,Women age 20-24 years married before age 18 years (%),20.0
16,Births in the 5 years preceding the survey that are third or higher order (%),0.6
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.4
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),91.4
19,Any method (%),57.0
20,Any modern method (%),43.5
21,Female sterilization (%),14.9
22,Male sterilization (%),0.0
23,IUD/PPIUD (%),3.7
24,Pill (%),20.8
25,Condom (%),3.3
26,Injectables (%),0.3
27,Total unmet need(%),14.6
28,Unmet need for spacing (%),7.3
29,Health worker ever talked to female non-users about family planning (%),24.7
30,Current users ever told about side effects of current method (%),65.2
31,Mothers who had an antenatal check-up in the first trimester (%),66.9
32,Mothers who had at least 4 antenatal care visits (%),39.6
33,Mothers whose last birth was protected against neonatal tetanus (%),74.6
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),34.1
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),17.6
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.9
37,delivery (%),66.2
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"8,236"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(2.8)
40,delivery (%),66.2
41,Institutional births (%),90.2
42,Institutional births in public facility (%),84.6
43,Home births that were conducted by skilled health personnel (%),2.6
44,Births attended by skilled health personnel (%),92.3
45,Births delivered by caesarean section (%),19.7
46,Births in a private health facility that were delivered by caesarean section (%),*
47,Births in a public health facility that were delivered by caesarean section (%),18.5
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(74.0)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(77.0)
50,Children age 12-23 months who have received BCG (%),(95.9)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),(80.4)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(86.8)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(87.6)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(23.6)
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(51.2)
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(83.4)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),73.0
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(98.2)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),7.5
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.7
65,health provider (%),*
66,Children under age 3 years breastfed within one hour of birth (%),52.3
67,Children under age 6 months exclusively breastfed (%),*
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),23.8
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet (%),20.8
72,Children under 5 years who are stunted (height-for-age) (%),24.5
73,Children under 5 years who are wasted (weight-for-height) (%),12.7
74,Children under 5 years who are severely wasted (weight-for-height) (%),4.9
75,Children under 5 years who are underweight (weight-for-age) (%),12.9
76,Children under 5 years who are overweight (weight-for-height) (%),7.6
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),8.0
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),30.9
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),66.6
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),52.5
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),47.6
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(33.2)
83,All women age 15-49 years who are anaemic (%),47.2
84,All women age 15-19 years who are anaemic (%),51.5
85,Blood sugar level - high (141-160 mg/dl)(%),4.0
86,Blood sugar level - very high (>160 mg/dl)(%),4.8
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.5
88,Blood sugar level - high (141-160 mg/dl)(%),3.2
89,Blood sugar level - very high (>160 mg/dl) (%),4.6
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.1
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.8
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.9
93,pressure (%),22.1
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.4
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.0
96,pressure (%),26.6
97,Ever undergone a screening test for cervical cancer (%),1.1
98,Ever undergone a breast examination for breast cancer (%),1.3
99,Ever undergone an oral cavity examination for oral cancer (%),1.1
100,Women age 15 years and above who use any kind of tobacco (%),17.8
101,Men age 15 years and above who use any kind of tobacco (%),53.0
102,Women age 15 years and above who consume alcohol (%),20.9
103,Men age 15 years and above who consume alcohol (%),50.0
