Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
Female population age 6 years and above who ever attended school (%),83.2,69.0,71.2,67.1
Population below age 15 years (%),26.2,27.2,27.1,31.7
"Sex ratio of the total population (females per 1,000 males)",989,998,997,958
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",912,990,979,926
Children under age 5 years whose birth was registered with the civil authority (%),89.7,87.4,87.7,62.9
Deaths in the last 3 years registered with the civil authority (%),41.3,33.4,34.5,na
Population living in households with electricity (%),99.5,94.0,94.8,88.3
Population living in households with an improved drinking-water source (%),98.1,92.9,93.7,86.2
Population living in households that use an improved sanitation facility(%),79.9,83.4,82.9,61.6
Households using clean fuel for cooking (%),90.2,46.3,53.2,45.0
Households using iodized salt (%),99.4,99.2,99.2,99.3
Households with any usual member covered under a health insurance/financing scheme (%),33.6,28.5,29.3,58.3
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),8.0,5.5,5.9,na
Women who are literate (%),82.9,69.0,71.3,na
Men who are literate (%),91.4,84.5,85.7,na
Women with 10 or more years of schooling (%),55.4,36.2,39.4,31.0
Men with 10 or more years of schooling (%),64.1,45.0,48.2,44.7
Women who have ever used the internet (%),70.0,49.6,52.9,na
Men who have ever used the internet (%),86.9,68.5,71.6,na
Women age 20-24 years married before age 18 years (%),16.7,19.3,18.9,23.5
Men age 25-29 years married before age 21 years (%),17.7,21.5,20.8,22.6
Total fertility rate (children per woman),1.4,1.9,1.8,2.1
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.2,6.6,6.0,10.5
Adolescent fertility rate for women age 15-19 years,27,40,38,56
Neonatal mortality rate (NNMR),12.5,6.9,7.7,11.8
Infant mortality rate (IMR),16.7,12.3,12.9,22.9
Under-five mortality rate (U5MR),22.2,18.3,18.8,32.9
Any method (%),57.0,59.5,59.1,31.7
Any modern method (%),44.8,47.6,47.2,26.6
Female sterilization (%),15.7,18.7,18.2,11.2
Male sterilization (%),0.0,0.0,0.0,0.0
IUD/PPIUD (%),6.3,6.2,6.2,3.4
Pill (%),13.3,15.9,15.5,10.2
Condom (%),7.5,4.2,4.7,1.4
Injectables (%),0.7,1.0,1.0,0.2
Total unmet need(%),13.4,12.3,12.5,21.5
Unmet need for spacing (%),7.7,6.9,7.0,12.7
Health worker ever talked to female non-users about family planning (%),21.1,19.0,19.4,12.3
Current users ever told about side effects of current method (%),71.9,73.9,73.7,51.2
Mothers who had an antenatal check-up in the first trimester (%),57.2,52.4,53.1,36.9
Mothers who had at least 4 antenatal care visits (%),47.8,34.6,36.5,26.7
Mothers whose last birth was protected against neonatal tetanus (%),82.1,76.1,76.9,63.9
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),29.4,22.9,23.8,8.3
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),13.0,7.9,8.6,2.3
Registered pregnancies for which the mother received a Mother and Child Protection (MCP)card (%),97.7,95.2,95.6,89.2
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other healthpersonnel within 2 days of delivery (%),67.0,54.6,56.4,28.8
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"10,178","9,649","9,731","6,473"
Children born at home who were taken to a health facility for a check-up within 24 hours ofbirth (%),7.8,1.9,2.3,0.6
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other healthpersonnel within 2 days of delivery (%),66.6,54.8,56.5,na
Institutional births (%),90.6,77.3,79.2,52.2
Institutional births in public facility (%),82.1,73.6,74.8,42.7
Home births that were conducted by skilled health personnel (%),3.2,4.1,4.0,2.1
Births attended by skilled health personnel (%),93.0,80.3,82.1,53.7
Births delivered by caesarean section (%),17.1,14.4,14.8,8.9
Births in a private health facility that were delivered by caesarean section (%),56.3,43.8,47.3,37.5
Births in a public health facility that were delivered by caesarean section (%),15.0,17.4,17.0,12.5
Children age 12-23 months fully vaccinated based on information from either vaccination cardor mother's recall (%),66.8,64.6,64.9,38.2
Children age 12-23 months fully vaccinated based on information from vaccination cardonly (%),73.4,76.9,76.4,71.4
Children age 12-23 months who have received BCG (%),93.4,87.1,87.9,70.9
Children age 12-23 months who have received 3 doses of polio vaccine (%),70.5,68.8,69.0,53.7
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),83.2,76.8,77.7,52.3
Children age 12-23 months who have received the first dose of measles-containingvaccine (MCV) (%),85.1,80.1,80.7,54.6
Children age 24-35 months who have received a second dose of measles-containingvaccine (MCV) (%),29.6,27.1,27.4,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),28.8,32.4,32.0,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),80.9,71.8,73.0,40.9
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),75.7,68.8,69.7,45.3
Children age 12-23 months who received most of their vaccinations in a public healthfacility (%),99.3,97.3,97.6,93.9
Children age 12-23 months who received most of their vaccinations in a private healthfacility (%),0.7,0.7,0.7,5.5
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.3,5.3,5.1,6.5
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydrationsalts (ORS) (%),59.6,63.1,62.7,66.1
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),35.9,26.9,27.9,35.8
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or healthprovider (%),59.5,52.6,53.4,44.9
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding thesurvey (%),2.5,2.0,2.1,2.1
