,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),77.4,78.3
2,Population below age 15 years (%),32.4,37.5
3,"Sex ratio of the total population (females per 1,000 males)",954,964
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",871,"1,037"
5,Children under age 5 years whose birth was registered with the civil authority (%),72.3,69.8
6,Deaths in the last 3 years registered with the civil authority (%),28.1,na
7,Population living in households with electricity (%),97.9,98.3
8,Population living in households with an improved drinking-water source (%),90.9,86.4
9,Population living in households that use an improved sanitation facility(%),83.1,80.4
10,Households using clean fuel for cooking (%),16.4,11.1
11,Households using iodized salt (%),99.7,99.3
12,Households with any usual member covered under a health insurance/financing scheme (%),8.8,7.9
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),3.5,na
15,Women who are literate (%),73.7,na
16,Women with 10 or more years of schooling (%),22.0,20.7
18,Women age 20-24 years married before age 18 years (%),22.5,16.8
19,Births in the 5 years preceding the survey that are third or higher order (%),2.4,5.1
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),9.0,3.5
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),69.1,64.0
23,Any method (%),42.5,31.1
24,Any modern method (%),32.7,24.2
25,Female sterilization (%),5.8,11.2
26,Male sterilization (%),0.0,0.0
27,IUD/PPIUD (%),20.2,10.8
28,Pill (%),3.8,0.4
29,Condom (%),2.5,1.2
30,Injectables (%),0.2,0.0
32,Total unmet need(%),17.3,17.7
33,Unmet need for spacing (%),10.2,11.1
35,Health worker ever talked to female non-users about family planning (%),9.7,10.1
36,Current users ever told about side effects of current method (%),66.1,56.7
38,Children under age 3 years breastfed within one hour of birth (%),55.5,39.3
39,Children under age 6 months exclusively breastfed (%),(44.8),(33.4)
40,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
41,Breastfeeding children age 6-23 months receiving an adequate diet  (%),13.9,21.7
42,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),(7.5),(24.5)
43,Total children age 6-23 months receiving an adequate diet  (%),12.0,22.7
44,Children under 5 years who are stunted (height-for-age) (%),36.9,41.8
45,Children under 5 years who are wasted (weight-for-height) (%),11.0,13.9
46,Children under 5 years who are severely wasted (weight-for-height) (%),5.8,6.4
47,Children under 5 years who are underweight (weight-for-age) (%),25.0,25.6
48,Children under 5 years who are overweight (weight-for-height) (%),7.5,1.7
50,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),13.9,12.2
51,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),9.3,9.0
52,Women who have high risk waist-to-hip ratio (≥0.85) (%),58.7,na
54,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),55.2,25.6
55,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),31.9,29.2
56,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(19.5),(35.3)
57,All women age 15-49 years who are anaemic (%),31.4,29.6
58,All women age 15-19 years who are anaemic (%),36.0,33.7
61,Women - Blood sugar level - high (141-160 mg/dl)(%),5.7,na
62,Women - Blood sugar level - very high (>160 mg/dl)(%),2.0,na
63,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),7.8,na
65,Men - Blood sugar level - high (141-160 mg/dl)(%),7.0,na
66,Men - Blood sugar level - very high (>160 mg/dl) (%),3.7,na
67,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.7,na
70,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),10.2,na
71,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.1,na
73,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),15.3,na
75,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.3,na
76,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.2,na
78,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),22.0,na
80,Ever undergone a screening test for cervical cancer (%),1.2,na
81,Ever undergone a breast examination for breast cancer (%),1.1,na
82,Ever undergone an oral cavity examination for oral cancer (%),0.9,na
84,Women age 15 years and above who use any kind of tobacco (%),10.1,na
85,Men age 15 years and above who use any kind of tobacco (%),44.2,na
86,Women age 15 years and above who consume alcohol (%),1.0,na
87,Men age 15 years and above who consume alcohol (%),15.8,na
