,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
0,Female population age 6 years and above who ever attended school (%),92.1,81.9,85.2,81.0
1,Population below age 15 years (%),22.1,25.9,24.7,32.1
2,"Sex ratio of the total population (females per 1,000 males)",980,"1,020","1,007",968
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",949,943,945,953
4,Children under age 5 years whose birth was registered with the civil authority (%),79.9,70.8,73.2,68.5
5,Deaths in the last 3 years registered with the civil authority (%),59.3,33.8,40.3,na
6,Population living in households with electricity (%),99.6,98.0,98.6,96.7
7,Population living in households with an improved drinking-water source (%),93.5,89.8,91.0,82.4
8,Population living in households that use an improved sanitation facility(%),82.2,90.4,87.7,76.7
9,Households using clean fuel for cooking (%),81.1,24.9,43.0,32.8
10,Households using iodized salt (%),99.3,98.8,99.0,99.5
11,Households with any usual member covered under a health insurance/financing scheme (%),15.0,23.1,20.5,6.1
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),5.5,6.3,6.1,na
13,Women who are literate (%),91.5,82.7,85.8,na
14,Men who are literate (%),97.7,90.7,93.3,na
15,Women with 10 or more years of schooling (%),63.7,34.1,44.4,33.3
16,Men with 10 or more years of schooling (%),75.6,39.8,53.1,37.7
17,Women who have ever used the internet (%),66.5,40.3,49.9,na
18,Men who have ever used the internet (%),81.0,55.2,64.6,na
19,Women age 20-24 years married before age 18 years (%),2.4,7.3,5.6,13.4
20,Men age 25-29 years married before age 21 years (%),8.7,2.8,5.0,8.0
21,Total fertility rate (children per woman),1.2,2.0,1.7,2.7
22,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.5,4.4,3.8,5.7
23,Adolescent fertility rate for women age 15-19 years,10,23,19,42
24,Neonatal mortality rate (NNMR),8.4,10.8,10.2,16.5
25,Infant mortality rate (IMR),17.0,25.8,23.4,29.5
26,Under-five mortality rate (U5MR),22.5,36.8,33.0,37.5
27,Any method (%),61.0,55.7,57.4,26.5
28,Any modern method (%),48.5,43.8,45.3,21.3
29,Female sterilization (%),13.6,14.8,14.4,9.1
30,Male sterilization (%),0.0,0.0,0.0,0.0
31,IUD/PPIUD (%),20.1,19.7,19.8,6.7
32,Pill (%),9.1,5.1,6.4,4.0
33,Condom (%),4.2,2.8,3.3,1.3
34,Injectables (%),0.2,0.4,0.3,0.1
35,Total unmet need(%),9.3,9.1,9.1,22.3
36,Unmet need for spacing (%),4.3,4.5,4.5,11.3
37,Health worker ever talked to female non-users about family planning (%),8.9,10.2,9.7,6.4
38,Current users ever told about side effects of current method (%),55.3,62.4,60.2,32.0
39,Mothers who had an antenatal check-up in the first trimester (%),64.5,43.6,49.5,24.7
40,Mothers who had at least 4 antenatal care visits (%),39.9,13.1,20.7,15.0
41,Mothers whose last birth was protected against neonatal tetanus (%),89.3,78.1,81.3,63.7
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),16.5,7.7,10.2,4.4
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),6.7,3.1,4.1,2.2
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),91.8,92.7,92.4,73.6
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),62.9,36.3,43.9,22.3
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"7,035","5,175","5,778","5,880"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),0.6,0.6,0.6,0.1
48,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),59.2,34.9,41.8,na
49,Institutional births (%),65.0,38.8,45.7,32.8
