,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),65.1,65.9
2,Population below age 15 years (%),30.7,36.0
3,"Sex ratio of the total population (females per 1,000 males)","1,024","1,067"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,028","1,007"
5,Children under age 5 years whose birth was registered with the civil authority (%),77.7,59.4
6,Deaths in the last 3 years registered with the civil authority (%),34.7,na
7,Population living in households with electricity (%),89.1,78.4
8,Population living in households with an improved drinking-water source (%),75.2,47.3
9,Population living in households that use an improved sanitation facility(%),50.1,16.8
10,Households using clean fuel for cooking (%),19.1,10.6
11,Households using iodized salt (%),97.7,98.6
12,Households with any usual member covered under a health insurance/financing scheme (%),51.7,26.3
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),0.0,na
15,Women who are literate (%),63.7,na
16,Women with 10 or more years of schooling (%),33.3,28.9
18,Women age 20-24 years married before age 18 years (%),20.9,24.0
19,Births in the 5 years preceding the survey that are third or higher order (%),1.8,0.5
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),7.2,10.0
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),75.6,56.1
23,Any method (%),52.7,26.0
24,Any modern method (%),45.0,22.8
25,Female sterilization (%),30.7,15.7
26,Male sterilization (%),0.1,0.5
27,IUD/PPIUD (%),2.1,2.1
28,Pill (%),2.8,2.9
29,Condom (%),4.0,1.7
30,Injectables (%),1.9,0.0
32,Total unmet need(%),14.9,25.0
33,Unmet need for spacing (%),7.9,10.8
35,Health worker ever talked to female non-users about family planning (%),38.8,26.9
36,Current users ever told about side effects of current method (%),61.6,40.2
39,Mothers who had an antenatal check-up in the first trimester (%),81.5,45.8
40,Mothers who had at least 4 antenatal care visits (%),49.3,24.4
41,Mothers whose last birth was protected against neonatal tetanus (%),96.1,88.4
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),47.8,19.8
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),22.7,4.9
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.9,83.7
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),82.4,43.2
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,124","1,003"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(11.3),4.4
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),78.4,na
52,Institutional births (%),83.8,69.3
53,Institutional births in public facility (%),80.3,61.1
54,Home births that were conducted by skilled health personnel (%),6.7,5.7
55,Births attended by skilled health personnel (%),90.2,74.2
56,Births delivered by caesarean section (%),7.7,7.2
57,Births in a private health facility that were delivered by caesarean section (%),*,(49.6)
58,Births in a public health facility that were delivered by caesarean section (%),6.8,5.2
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),85.3,58.8
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),86.2,80.9
63,Children age 12-23 months who have received BCG (%),97.8,93.1
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),86.4,70.4
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),95.3,75.8
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),95.3,83.5
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),40.5,na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),90.8,na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),95.3,47.0
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),84.4,70.1
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.9,98.8
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.1,0.0
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.1,10.1
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(45.6)
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,(21.3)
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(49.4)
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.0,1.4
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(71.4),(57.0)
