,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),64.4,61.8
2,Population below age 15 years (%),35.8,37.0
3,"Sex ratio of the total population (females per 1,000 males)","1,141","1,062"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",872,880
5,Children under age 5 years whose birth was registered with the civil authority (%),72.3,66.3
6,Deaths in the last 3 years registered with the civil authority (%),46.8,na
7,Population living in households with electricity (%),97.1,91.8
8,Population living in households with an improved drinking-water source (%),83.9,80.2
9,Population living in households that use an improved sanitation facility(%),54.0,28.5
10,Households using clean fuel for cooking (%),35.8,31.1
11,Households using iodized salt (%),99.2,95.6
12,Households with any usual member covered under a health insurance/financing scheme (%),56.8,3.6
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),12.8,na
15,Women who are literate (%),63.6,na
16,Women with 10 or more years of schooling (%),31.8,28.8
18,Women age 20-24 years married before age 18 years (%),42.5,50.4
19,Births in the 5 years preceding the survey that are third or higher order (%),3.1,4.7
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),10.6,14.0
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),80.1,56.5
23,Any method (%),63.6,62.2
24,Any modern method (%),56.6,52.8
25,Female sterilization (%),50.1,45.5
26,Male sterilization (%),0.5,0.4
27,IUD/PPIUD (%),0.5,0.3
28,Pill (%),0.8,1.1
29,Condom (%),1.7,5.6
30,Injectables (%),0.4,0.0
32,Total unmet need(%),12.0,10.7
33,Unmet need for spacing (%),5.5,4.7
35,Health worker ever talked to female non-users about family planning (%),26.4,23.9
36,Current users ever told about side effects of current method (%),40.4,48.2
39,Mothers who had an antenatal check-up in the first trimester (%),77.8,68.6
40,Mothers who had at least 4 antenatal care visits (%),47.6,57.4
41,Mothers whose last birth was protected against neonatal tetanus (%),92.0,95.1
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),13.1,10.9
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),4.8,6.6
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),89.7,87.6
46,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),75.8,64.9
47,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,948","1,777"
48,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(0.0),1.5
50,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),78.0,na
52,Institutional births (%),91.3,78.6
53,Institutional births in public facility (%),64.2,43.6
54,Home births that were conducted by skilled health personnel (%),4.3,6.3
55,Births attended by skilled health personnel (%),94.5,84.9
56,Births delivered by caesarean section (%),22.0,16.4
57,Births in a private health facility that were delivered by caesarean section (%),64.0,44.1
58,Births in a public health facility that were delivered by caesarean section (%),7.3,2.3
61,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),73.8,70.9
62,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),87.4,74.3
63,Children age 12-23 months who have received BCG (%),95.0,95.9
64,Children age 12-23 months who have received 3 doses of polio vaccine (%),76.1,82.4
65,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),87.4,89.2
66,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),85.0,84.8
67,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),29.0,na
68,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),82.7,na
69,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),87.4,59.6
70,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),76.6,52.2
71,Children age 12-23 months who received most of their vaccinations in a public health facility (%),99.0,96.7
72,Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.0,3.3
74,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),8.2,3.6
75,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(61.1),*
76,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(23.9),*
77,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(72.1),*
78,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.4,3.4
80,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),65.7,86.5
