Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
Population and Household Profile,,Urban  Rural,Total,Total
Female population age 6 years and above who ever attended school (%),78.7,60.2,64.5,61.1
Population below age 15 years (%),25.2,33.2,31.3,32.9
"Sex ratio of the total population (females per 1,000 males)",989,"1,070","1,050","1,002"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",781,926,899,919
Children under age 5 years whose birth was registered with the civil authority (%),83.8,71.4,73.5,65.0
Deaths in the last 3 years registered with the civil authority (%),56.2,36.1,40.4,na
Population living in households with electricity (%),99.0,92.9,94.3,81.2
Population living in households with an improved drinking-water source (%),94.6,84.1,86.6,78.1
Population living in households that use an improved sanitation facility(%),75.9,50.8,56.7,25.0
Households using clean fuel for cooking (%),71.0,19.5,31.9,18.9
Households using iodized salt (%),98.4,97.4,97.7,97.6
Households with any usual member covered under a health insurance/financing scheme (%),41.6,53.1,50.3,13.3
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),15.2,7.6,9.0,na
Women who are literate (%),80.1,55.6,61.7,na
Men who are literate (%),92.0,77.4,81.3,na
Women with 10 or more years of schooling (%),54.4,26.3,33.2,28.7
Men with 10 or more years of schooling (%),66.2,39.4,46.6,40.2
Women who have ever used the internet (%),57.8,22.7,31.4,na
Men who have ever used the internet (%),70.8,53.2,58.0,na
Women age 20-24 years married before age 18 years (%),19.4,36.1,32.2,37.9
Men age 25-29 years married before age 21 years (%),10.2,26.9,22.7,30.5
Total fertility rate (children per woman),1.6,2.5,2.3,2.6
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.2,11.2,9.8,12.0
Adolescent fertility rate for women age 15-19 years,34,73,64,77
Neonatal mortality rate (NNMR),17.7,30.4,28.2,33.0
Infant mortality rate (IMR),22.2,41.1,37.9,43.8
Under-five mortality rate (U5MR),27.3,49.2,45.4,54.3
Any method (%),66.0,60.4,61.7,40.4
Any modern method (%),51.4,48.9,49.5,37.5
Female sterilization (%),37.3,37.4,37.4,31.1
Male sterilization (%),0.4,0.2,0.3,0.2
IUD/PPIUD (%),2.1,1.6,1.7,1.0
Pill (%),3.1,3.1,3.1,2.6
Condom (%),6.0,3.5,4.1,2.2
Injectables (%),0.5,0.5,0.5,0.2
Total unmet need(%),11.2,11.6,11.5,18.4
Unmet need for spacing (%),4.7,4.8,4.8,9.0
Health worker ever talked to female non-users about family planning (%),27.9,29.5,29.1,19.6
Current users ever told about side effects of current method (%),52.8,50.6,51.1,39.4
Mothers who had an antenatal check-up in the first trimester (%),76.2,66.2,68.0,52.0
Mothers who had at least 4 antenatal care visits (%),48.5,36.4,38.6,30.3
Mothers whose last birth was protected against neonatal tetanus (%),90.8,90.8,90.8,91.7
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),37.7,26.1,28.2,15.3
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),22.3,13.2,14.9,4.2
Registered pregnancies for which the mother received a Mother and Child Protection (MCP)card (%),87.7,92.3,91.5,86.9
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other healthpersonnel within 2 days of delivery (%),79.8,66.7,69.1,44.4
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,584","1,980","2,069","1,476"
Children born at home who were taken to a health facility for a check-up within 24 hours ofbirth (%),2.2,3.5,3.4,2.2
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other healthpersonnel within 2 days of delivery (%),80.6,66.1,68.7,na
Institutional births (%),89.1,73.1,75.8,61.9
