,Indicator,NFHS_5
1,Female population age 6 years and above who ever attended school (%),45.9
2,Population below age 15 years (%),29.6
3,"Sex ratio of the total population (females per 1,000 males)","1,078"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",925
5,Children under age 5 years whose birth was registered with the civil authority (%),91.9
6,Deaths in the last 3 years registered with the civil authority (%),53.2
7,Population living in households with electricity (%),98.3
8,Population living in households with an improved drinking-water source (%),96.0
9,Population living in households that use an improved sanitation facility(%),35.5
10,Households using clean fuel for cooking (%),14.4
11,Households using iodized salt (%),99.0
12,Households with any usual member covered under a health insurance/financing scheme (%),78.1
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),1.5
15,Women who are literate (%),39.8
16,Women with 10 or more years of schooling (%),15.9
18,Women age 20-24 years married before age 18 years (%),18.9
19,Births in the 5 years preceding the survey that are third or higher order (%),1.8
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.7
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),48.3
23,Any method (%),53.7
24,Any modern method (%),51.4
25,Female sterilization (%),25.6
26,Male sterilization (%),3.6
27,IUD/PPIUD (%),6.6
28,Pill (%),4.2
29,Condom (%),8.2
30,Injectables (%),0.0
32,Total unmet need(%),7.6
33,Unmet need for spacing (%),4.0
35,Health worker ever talked to female non-users about family planning (%),45.5
36,Current users ever told about side effects of current method (%),94.5
38,Mothers who had an antenatal check-up in the first trimester (%),58.9
39,Mothers who had at least 4 antenatal care visits (%),74.0
40,Mothers whose last birth was protected against neonatal tetanus (%),96.3
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),27.6
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),19.8
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.4
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),80.6
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),473
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(13.5)
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),79.9
51,Institutional births (%),81.2
52,Institutional births in public facility (%),80.8
53,Home births that were conducted by skilled health personnel (%),6.4
54,Births attended by skilled health personnel (%),84.8
55,Births delivered by caesarean section (%),3.2
56,Births in a private health facility that were delivered by caesarean section (%),*
57,Births in a public health facility that were delivered by caesarean section (%),3.8
59,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),73.3
60,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),76.8
61,Children age 12-23 months who have received BCG (%),95.0
62,Children age 12-23 months who have received 3 doses of polio vaccine (%),80.1
63,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),80.1
64,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),76.8
65,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),10.5
66,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),51.6
67,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),78.5
68,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),80.4
69,Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0
70,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0
72,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.9
73,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
74,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
75,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
76,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.8
78,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(57.1)
80,Children under age 3 years breastfed within one hour of birth (%),38.0
81,Children under age 6 months exclusively breastfed (%),(85.8)
82,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
83,Breastfeeding children age 6-23 months receiving an adequate diet (%),21.5
84,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
85,Total children age 6-23 months receiving an adequate diet (%),20.9
86,Children under 5 years who are stunted (height-for-age) (%),41.8
87,Children under 5 years who are wasted (weight-for-height) (%),21.2
88,Children under 5 years who are severely wasted (weight-for-height) (%),9.9
89,Children under 5 years who are underweight (weight-for-age) (%),37.4
90,Children under 5 years who are overweight (weight-for-height) (%),6.5
92,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),34.5
93,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),3.8
94,Women who have high risk waist-to-hip ratio (≥0.85) (%),68.6
96,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),91.4
97,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),79.0
98,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),65.8
99,All women age 15-49 years who are anaemic (%),78.4
100,All women age 15-19 years who are anaemic (%),77.9
103,Women - Blood sugar level - high (141-160 mg/dl)(%),4.3
104,Women - Blood sugar level - very high (>160 mg/dl)(%),1.3
105,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),6.0
107,Men - Blood sugar level - high (141-160 mg/dl)(%),4.5
108,Men - Blood sugar level - very high (>160 mg/dl) (%),1.5
109,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),6.5
112,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),10.5
113,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),2.7
115,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),14.5
117,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.8
118,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),1.8
120,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),18.1
122,Ever undergone a screening test for cervical cancer (%),0.2
123,Ever undergone a breast examination for breast cancer (%),0.2
124,Ever undergone an oral cavity examination for oral cancer (%),0.2
126,Women age 15 years and above who use any kind of tobacco (%),44.5
127,Men age 15 years and above who use any kind of tobacco (%),61.7
128,Women age 15 years and above who consume alcohol (%),32.2
129,Men age 15 years and above who consume alcohol (%),54.2
