,Indicator,NFHS-5
0,Female population age 6 years and above who ever attended school (%),62.1
1,Population below age 15 years (%),29.2
2,"Sex ratio of the total population (females per 1,000 males)",980
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",887
4,Children under age 5 years whose birth was registered with the civil authority (%),94.6
5,Deaths in the last 3 years registered with the civil authority (%),78.4
6,Population living in households with electricity (%),97.9
7,Population living in households with an improved drinking-water source (%),84.4
8,Population living in households that use an improved sanitation facility(%),57.3
9,Households using clean fuel for cooking (%),13.2
10,Households using iodized salt (%),99.5
11,Households with any usual member covered under a health insurance/financing scheme (%),62.3
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),1.5
13,Women who are literate (%),65.4
14,Women with 10 or more years of schooling (%),32.2
15,Women age 20-24 years married before age 18 years (%),24.6
16,Births in the 5 years preceding the survey that are third or higher order (%),2.6
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),9.1
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),60.7
19,Any method (%),52.0
20,Any modern method (%),46.8
21,Female sterilization (%),32.2
22,Male sterilization (%),0.0
23,IUD/PPIUD (%),2.9
24,Pill (%),1.9
25,Condom (%),3.2
26,Injectables (%),0.2
27,Total unmet need(%),16.0
28,Unmet need for spacing (%),3.4
29,Health worker ever talked to female non-users about family planning (%),35.9
30,Current users ever told about side effects of current method (%),83.5
31,Mothers who had an antenatal check-up in the first trimester (%),76.4
32,Mothers who had at least 4 antenatal care visits (%),52.1
33,Mothers whose last birth was protected against neonatal tetanus (%),89.4
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),55.0
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),34.2
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),88.5
37,delivery (%),78.6
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),966
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),12.7
40,delivery (%),72.7
41,Institutional births (%),78.9
42,Institutional births in public facility (%),72.7
43,Home births that were conducted by skilled health personnel (%),10.4
44,Births attended by skilled health personnel (%),89.2
45,Births delivered by caesarean section (%),8.8
46,Births in a private health facility that were delivered by caesarean section (%),*
47,Births in a public health facility that were delivered by caesarean section (%),8.2
48,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),76.1
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),86.2
50,Children age 12-23 months who have received BCG (%),92.4
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),76.1
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),86.4
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),89.2
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),17.0
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),61.0
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),84.9
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),83.2
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.5
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.6
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),1.1
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.5
65,health provider (%),*
66,Children under age 3 years breastfed within one hour of birth (%),38.3
67,Children under age 6 months exclusively breastfed (%),(85.2)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),(46.6)
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),14.1
70,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
71,Total children age 6-23 months receiving an adequate diet (%),13.4
72,Children under 5 years who are stunted (height-for-age) (%),35.1
73,Children under 5 years who are wasted (weight-for-height) (%),23.0
74,Children under 5 years who are severely wasted (weight-for-height) (%),7.9
75,Children under 5 years who are underweight (weight-for-age) (%),38.8
76,Children under 5 years who are overweight (weight-for-height) (%),1.6
77,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),28.7
78,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),9.9
79,Women who have high risk waist-to-hip ratio (≥0.85) (%),40.5
80,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),50.1
81,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),63.2
82,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(65.5)
83,All women age 15-49 years who are anaemic (%),63.4
84,All women age 15-19 years who are anaemic (%),55.6
85,Blood sugar level - high (141-160 mg/dl)(%),4.1
86,Blood sugar level - very high (>160 mg/dl)(%),3.7
87,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),7.9
88,Blood sugar level - high (141-160 mg/dl)(%),5.5
89,Blood sugar level - very high (>160 mg/dl) (%),5.1
90,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.2
91,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.5
92,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),9.2
93,pressure (%),25.2
94,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),20.3
95,Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),10.0
96,pressure (%),31.2
97,Ever undergone a screening test for cervical cancer (%),0.0
98,Ever undergone a breast examination for breast cancer (%),0.0
99,Ever undergone an oral cavity examination for oral cancer (%),0.0
100,Women age 15 years and above who use any kind of tobacco (%),21.4
101,Men age 15 years and above who use any kind of tobacco (%),53.2
102,Women age 15 years and above who consume alcohol (%),16.2
103,Men age 15 years and above who consume alcohol (%),44.5
