,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),72.2,67.4
2,Population below age 15 years (%),24.1,26.1
3,"Sex ratio of the total population (females per 1,000 males)","1,013",985
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",812,934
5,Children under age 5 years whose birth was registered with the civil authority (%),97.2,87.0
6,Deaths in the last 3 years registered with the civil authority (%),81.7,na
7,Population living in households with electricity (%),99.0,96.0
8,Population living in households with an improved drinking-water source (%),97.5,92.6
9,Population living in households that use an improved sanitation facility(%),66.3,28.8
10,Households using clean fuel for cooking (%),29.8,19.6
11,Households using iodized salt (%),99.6,98.6
12,Households with any usual member covered under a health insurance/financing scheme (%),66.3,62.6
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),4.2,na
15,Women who are literate (%),74.9,na
16,Women with 10 or more years of schooling (%),38.3,25.7
18,Women age 20-24 years married before age 18 years (%),11.5,21.4
19,Births in the 5 years preceding the survey that are third or higher order (%),1.8,1.5
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.3,2.8
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),69.1,43.8
23,Any method (%),64.1,52.3
24,Any modern method (%),56.0,49.3
25,Female sterilization (%),45.5,42.7
26,Male sterilization (%),0.0,0.0
27,IUD/PPIUD (%),1.9,0.9
28,Pill (%),2.6,2.6
29,Condom (%),2.8,3.1
30,Injectables (%),0.6,0.0
32,Total unmet need(%),10.3,13.1
33,Unmet need for spacing (%),5.2,6.1
35,Health worker ever talked to female non-users about family planning (%),38.4,12.6
36,Current users ever told about side effects of current method (%),89.2,32.8
38,Mothers who had an antenatal check-up in the first trimester (%),57.7,78.6
39,Mothers who had at least 4 antenatal care visits (%),55.4,67.7
40,Mothers whose last birth was protected against neonatal tetanus (%),95.6,93.1
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),58.0,21.0
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),31.8,10.1
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,91.7
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.6,68.6
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,137","5,329"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,10.9
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),88.9,na
51,Institutional births (%),87.7,66.8
52,Institutional births in public facility (%),72.3,54.3
53,Home births that were conducted by skilled health personnel (%),3.3,11.7
54,Births attended by skilled health personnel (%),85.8,76.7
55,Births delivered by caesarean section (%),18.9,8.2
56,Births in a private health facility that were delivered by caesarean section (%),61.3,(35.8)
57,Births in a public health facility that were delivered by caesarean section (%),13.1,6.8
60,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),90.9,68.5
61,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(91.9),(81.9)
62,Children age 12-23 months who have received BCG (%),100.0,94.6
63,Children age 12-23 months who have received 3 doses of polio vaccine (%),90.9,74.0
64,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),92.8,89.8
65,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),95.2,94.8
66,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),13.5,na
67,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),76.8,na
68,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),92.8,77.8
69,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),88.3,84.0
70,Children age 12-23 months who received most of their vaccinations in a public health facility (%),99.2,91.1
71,Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.8,8.9
73,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),1.9,8.0
74,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(65.9)
75,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,(21.1)
76,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(74.1)
77,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.8,1.9
79,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,71.7
