Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),57.5
Population below age 15 years (%),25.7
"Sex ratio of the total population (females per 1,000 males)","1,033"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,111"
Children under age 5 years whose birth was registered with the civil authority (%),93.3
Deaths in the last 3 years registered with the civil authority (%),57.8
Population living in households with electricity (%),97.8
Population living in households with an improved drinking-water source (%),98.8
Population living in households that use an improved sanitation facility(%),79.5
Households using clean fuel for cooking (%),12.4
Households using iodized salt (%),99.0
Households with any usual member covered under a health insurance/financing scheme (%),80.6
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),3.6
Women who are literate (%),54.7
Women with 10 or more years of schooling (%),24.7
Women age 20-24 years married before age 18 years (%),11.8
Births in the 5 years preceding the survey that are third or higher order (%),0.3
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.0
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),57.8
Any method (%),68.2
Any modern method (%),60.5
Female sterilization (%),38.9
Male sterilization (%),7.8
IUD/PPIUD (%),1.9
Pill (%),5.1
Condom (%),4.8
Injectables (%),0.3
Total unmet need(%),3.7
Unmet need for spacing (%),2.3
Health worker ever talked to female non-users about family planning (%),28.9
Current users ever told about side effects of current method (%),91.0
Mothers who had an antenatal check-up in the first trimester (%),69.4
Mothers who had at least 4 antenatal care visits (%),64.1
Mothers whose last birth was protected against neonatal tetanus (%),95.4
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),39.5
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),17.3
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.6
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),79.4
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,137"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(16.2)
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),77.3
Institutional births (%),78.7
Institutional births in public facility (%),74.3
Home births that were conducted by skilled health personnel (%),5.5
Births attended by skilled health personnel (%),83.7
Births delivered by caesarean section (%),3.6
Births in a private health facility that were delivered by caesarean section (%),*
Births in a public health facility that were delivered by caesarean section (%),2.8
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),70.1
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),64.4
Children age 12-23 months who have received BCG (%),96.9
Children age 12-23 months who have received 3 doses of polio vaccine (%),77.2
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),83.7
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),86.7
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),32.1
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),23.8
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),81.8
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),84.7
Children age 12-23 months who received most of their vaccinations in a public health facility (%),100.0
Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),10.9
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(88.8)
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(63.0)
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(70.2)
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.4
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),(61.6)
Children under age 3 years breastfed within one hour of birth (%),35.6
Children under age 6 months exclusively breastfed (%),(85.3)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet (%),9.6
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet (%),9.3
Children under 5 years who are stunted (height-for-age) (%),37.6
Children under 5 years who are wasted (weight-for-height) (%),22.8
Children under 5 years who are severely wasted (weight-for-height) (%),8.8
Children under 5 years who are underweight (weight-for-age) (%),42.2
Children under 5 years who are overweight (weight-for-height) (%),5.5
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),31.3
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),6.1
Women who have high risk waist-to-hip ratio (≥0.85) (%),59.1
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),76.6
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),79.5
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(87.6)
All women age 15-49 years who are anaemic (%),79.7
All women age 15-19 years who are anaemic (%),79.7
Women - Blood sugar level - high (141-160 mg/dl)(%),4.5
Women - Blood sugar level - very high (>160 mg/dl)(%),2.9
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),7.6
Men - Blood sugar level - high (141-160 mg/dl)(%),4.1
Men - Blood sugar level - very high (>160 mg/dl) (%),4.4
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.2
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.2
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),6.5
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),21.2
