,Indicator,NFHS_5
1,Female population age 6 years and above who ever attended school (%),77.1
2,Population below age 15 years (%),24.2
3,"Sex ratio of the total population (females per 1,000 males)",983
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,000"
5,Children under age 5 years whose birth was registered with the civil authority (%),97.5
6,Deaths in the last 3 years registered with the civil authority (%),78.3
7,Population living in households with electricity (%),99.5
8,Population living in households with an improved drinking-water source (%),99.7
9,Population living in households that use an improved sanitation facility(%),84.0
10,Households using clean fuel for cooking (%),60.5
11,Households using iodized salt (%),99.4
12,Households with any usual member covered under a health insurance/financing scheme (%),76.9
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),3.5
15,Women who are literate (%),79.6
16,Women with 10 or more years of schooling (%),40.1
18,Women age 20-24 years married before age 18 years (%),8.8
19,Births in the 5 years preceding the survey that are third or higher order (%),1.6
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.3
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),72.0
23,Any method (%),76.8
24,Any modern method (%),72.1
25,Female sterilization (%),58.2
26,Male sterilization (%),0.5
27,IUD/PPIUD (%),3.4
28,Pill (%),1.9
29,Condom (%),5.0
30,Injectables (%),0.2
32,Total unmet need(%),6.1
33,Unmet need for spacing (%),3.1
35,Health worker ever talked to female non-users about family planning (%),23.1
36,Current users ever told about side effects of current method (%),85.1
38,Mothers who had an antenatal check-up in the first trimester (%),82.4
39,Mothers who had at least 4 antenatal care visits (%),65.6
40,Mothers whose last birth was protected against neonatal tetanus (%),94.7
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),46.1
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),25.6
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),88.4
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,790"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),86.7
51,Institutional births (%),90.7
52,Institutional births in public facility (%),63.9
53,Home births that were conducted by skilled health personnel (%),6.6
54,Births attended by skilled health personnel (%),95.8
55,Births delivered by caesarean section (%),24.3
56,Births in a private health facility that were delivered by caesarean section (%),55.6
57,Births in a public health facility that were delivered by caesarean section (%),14.7
59,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),74.2
60,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),75.4
61,Children age 12-23 months who have received BCG (%),96.6
62,Children age 12-23 months who have received 3 doses of polio vaccine (%),86.8
63,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),78.0
64,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),85.8
65,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),31.5
66,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),27.7
67,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),76.4
68,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),88.4
69,Children age 12-23 months who received most of their vaccinations in a public health facility (%),94.5
70,Children age 12-23 months who received most of their vaccinations in a private health facility (%),5.5
72,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),3.4
73,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
74,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
75,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
76,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.8
78,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
80,Children under age 3 years breastfed within one hour of birth (%),36.4
81,Children under age 6 months exclusively breastfed (%),(71.9)
82,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
83,Breastfeeding children age 6-23 months receiving an adequate diet (%),9.0
84,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
85,Total children age 6-23 months receiving an adequate diet (%),7.9
86,Children under 5 years who are stunted (height-for-age) (%),32.2
87,Children under 5 years who are wasted (weight-for-height) (%),21.7
88,Children under 5 years who are severely wasted (weight-for-height) (%),10.3
89,Children under 5 years who are underweight (weight-for-age) (%),32.3
90,Children under 5 years who are overweight (weight-for-height) (%),5.6
92,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),14.4
93,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),15.7
94,Women who have high risk waist-to-hip ratio (≥0.85) (%),62.1
96,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),74.6
97,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),59.8
98,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(37.1)
99,All women age 15-49 years who are anaemic (%),59.1
100,All women age 15-19 years who are anaemic (%),63.1
103,Women - Blood sugar level - high (141-160 mg/dl)(%),4.0
104,Women - Blood sugar level - very high (>160 mg/dl)(%),4.0
105,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.2
107,Men - Blood sugar level - high (141-160 mg/dl)(%),4.5
108,Men - Blood sugar level - very high (>160 mg/dl) (%),3.0
109,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),9.1
112,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.0
113,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.6
115,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),17.7
117,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.0
118,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.5
120,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),20.6
122,Ever undergone a screening test for cervical cancer (%),0.2
123,Ever undergone a breast examination for breast cancer (%),0.2
124,Ever undergone an oral cavity examination for oral cancer (%),0.0
126,Women age 15 years and above who use any kind of tobacco (%),10.9
127,Men age 15 years and above who use any kind of tobacco (%),37.5
128,Women age 15 years and above who consume alcohol (%),1.2
129,Men age 15 years and above who consume alcohol (%),33.3
