,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),47.4,67.7
2,Population below age 15 years (%),30.5,29.3
3,"Sex ratio of the total population (females per 1,000 males)","1,069","1,006"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,045",941
5,Children under age 5 years whose birth was registered with the civil authority (%),87.1,96.5
6,Deaths in the last 3 years registered with the civil authority (%),67.4,na
7,Population living in households with electricity (%),86.8,92.6
8,Population living in households with an improved drinking-water source (%),94.3,93.8
9,Population living in households that use an improved sanitation facility(%),30.6,22.1
10,Households using clean fuel for cooking (%),18.5,9.6
11,Households using iodized salt (%),98.6,99.7
12,Households with any usual member covered under a health insurance/financing scheme (%),73.5,86.0
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),1.2,na
15,Women who are literate (%),44.7,na
16,Women with 10 or more years of schooling (%),24.2,20.2
18,Women age 20-24 years married before age 18 years (%),18.3,17.3
19,Births in the 5 years preceding the survey that are third or higher order (%),2.3,3.0
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.2,8.0
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),47.1,37.2
23,Any method (%),35.7,51.4
24,Any modern method (%),32.4,50.6
25,Female sterilization (%),15.6,41.1
26,Male sterilization (%),2.3,1.0
27,IUD/PPIUD (%),4.1,2.7
28,Pill (%),3.3,2.2
29,Condom (%),3.1,2.8
30,Injectables (%),0.0,0.0
32,Total unmet need(%),15.5,9.6
33,Unmet need for spacing (%),4.8,6.2
35,Health worker ever talked to female non-users about family planning (%),45.6,40.2
36,Current users ever told about side effects of current method (%),90.2,83.8
38,Mothers who had an antenatal check-up in the first trimester (%),53.1,62.5
39,Mothers who had at least 4 antenatal care visits (%),56.9,49.0
40,Mothers whose last birth was protected against neonatal tetanus (%),92.1,94.6
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),32.5,21.3
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),20.1,1.7
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.8,96.5
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),64.9,63.9
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),776,323
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),13.6,3.1
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),58.2,na
51,Institutional births (%),63.6,75.5
52,Institutional births in public facility (%),62.3,73.6
53,Home births that were conducted by skilled health personnel (%),11.5,6.6
54,Births attended by skilled health personnel (%),73.8,81.6
55,Births delivered by caesarean section (%),3.6,6.2
56,Births in a private health facility that were delivered by caesarean section (%),*,*
57,Births in a public health facility that were delivered by caesarean section (%),4.9,7.7
60,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),78.4,83.7
61,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),79.0,(88.2)
62,Children age 12-23 months who have received BCG (%),92.7,100.0
63,Children age 12-23 months who have received 3 doses of polio vaccine (%),84.6,87.7
64,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),83.2,93.6
65,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),83.8,96.1
66,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),33.6,na
67,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),63.9,na
68,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),83.0,78.4
69,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),84.8,81.8
70,Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.4,98.1
71,Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.6,1.9
73,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.5,4.0
74,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
75,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
76,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
77,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.8,0.7
79,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(51.0),(83.4)
