Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),51.0
Population below age 15 years (%),27.9
"Sex ratio of the total population (females per 1,000 males)","1,098"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,296"
Children under age 5 years whose birth was registered with the civil authority (%),95.4
Deaths in the last 3 years registered with the civil authority (%),60.7
Population living in households with electricity (%),95.9
Population living in households with an improved drinking-water source (%),95.1
Population living in households that use an improved sanitation facility(%),60.5
Households using clean fuel for cooking (%),34.6
Households using iodized salt (%),98.3
Households with any usual member covered under a health insurance/financing scheme (%),82.2
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),6.4
Women who are literate (%),49.3
Women with 10 or more years of schooling (%),24.2
Women age 20-24 years married before age 18 years (%),16.3
Births in the 5 years preceding the survey that are third or higher order (%),2.1
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6.7
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),56.7
Any method (%),58.8
Any modern method (%),54.4
Female sterilization (%),26.6
Male sterilization (%),4.8
IUD/PPIUD (%),6.8
Pill (%),6.1
Condom (%),6.3
Injectables (%),0.2
Total unmet need(%),7.1
Unmet need for spacing (%),3.6
Health worker ever talked to female non-users about family planning (%),46.8
Current users ever told about side effects of current method (%),98.8
Mothers who had an antenatal check-up in the first trimester (%),65.3
Mothers who had at least 4 antenatal care visits (%),68.2
Mothers whose last birth was protected against neonatal tetanus (%),96.6
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),27.5
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),12.6
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.7
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),84.9
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),710
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(12.1)
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),84.9
Institutional births (%),90.5
Institutional births in public facility (%),84.1
Home births that were conducted by skilled health personnel (%),2.5
Births attended by skilled health personnel (%),88.7
Births delivered by caesarean section (%),5.1
Births in a private health facility that were delivered by caesarean section (%),*
Births in a public health facility that were delivered by caesarean section (%),3.9
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),77.6
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),73.7
Children age 12-23 months who have received BCG (%),95.1
Children age 12-23 months who have received 3 doses of polio vaccine (%),85.8
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),90.0
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),83.8
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),27.8
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),47.5
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),89.1
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),91.8
Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.3
Children age 12-23 months who received most of their vaccinations in a private health facility (%),0.0
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.4
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.0
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),*
Children under age 3 years breastfed within one hour of birth (%),34.5
Children under age 6 months exclusively breastfed (%),(86.1)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet (%),19.6
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet (%),19.6
Children under 5 years who are stunted (height-for-age) (%),45.6
Children under 5 years who are wasted (weight-for-height) (%),19.4
Children under 5 years who are severely wasted (weight-for-height) (%),9.6
Children under 5 years who are underweight (weight-for-age) (%),45.8
Children under 5 years who are overweight (weight-for-height) (%),9.8
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),25.9
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),6.8
