Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),63.6
Population below age 15 years (%),29.3
"Sex ratio of the total population (females per 1,000 males)","1,022"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,017"
Children under age 5 years whose birth was registered with the civil authority (%),97.0
Deaths in the last 3 years registered with the civil authority (%),83.3
Population living in households with electricity (%),99.7
Population living in households with an improved drinking-water source (%),98.0
Population living in households that use an improved sanitation facility(%),80.7
Households using clean fuel for cooking (%),22.9
Households using iodized salt (%),97.2
Households with any usual member covered under a health insurance/financing scheme (%),68.0
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),0.0
Women who are literate (%),66.5
Women with 10 or more years of schooling (%),32.2
Women age 20-24 years married before age 18 years (%),20.5
Births in the 5 years preceding the survey that are third or higher order (%),1.9
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.1
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),68.2
Any method (%),64.0
Any modern method (%),60.3
Female sterilization (%),51.3
Male sterilization (%),1.2
IUD/PPIUD (%),0.8
Pill (%),1.0
Condom (%),1.9
Injectables (%),0.0
Total unmet need(%),11.4
Unmet need for spacing (%),4.0
Health worker ever talked to female non-users about family planning (%),25.5
Current users ever told about side effects of current method (%),89.7
Mothers who had an antenatal check-up in the first trimester (%),73.3
Mothers who had at least 4 antenatal care visits (%),67.3
Mothers whose last birth was protected against neonatal tetanus (%),94.7
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),60.3
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),38.8
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94.0
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),74.4
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),685
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),8.8
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days ofdelivery (%),66.6
Institutional births (%),69.8
Institutional births in public facility (%),56.2
Home births that were conducted by skilled health personnel (%),14.5
Births attended by skilled health personnel (%),83.2
Births delivered by caesarean section (%),10.8
Births in a private health facility that were delivered by caesarean section (%),(73.4)
Births in a public health facility that were delivered by caesarean section (%),1.4
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),79.7
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),85.7
Children age 12-23 months who have received BCG (%),98.7
Children age 12-23 months who have received 3 doses of polio vaccine (%),83.9
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),89.0
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),89.2
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),26.9
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),59.0
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),90.7
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),87.7
Children age 12-23 months who received most of their vaccinations in a public health facility (%),96.6
Children age 12-23 months who received most of their vaccinations in a private health facility (%),3.4
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),1.2
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.0
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility orhealth provider (%),*
Children under age 3 years breastfed within one hour of birth (%),37.6
Children under age 6 months exclusively breastfed (%),(94.0)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet (%),3.1
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet (%),3.0
Children under 5 years who are stunted (height-for-age) (%),30.1
Children under 5 years who are wasted (weight-for-height) (%),17.7
Children under 5 years who are severely wasted (weight-for-height) (%),5.0
Children under 5 years who are underweight (weight-for-age) (%),30.6
Children under 5 years who are overweight (weight-for-height) (%),2.1
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),20.9
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),17.5
Women who have high risk waist-to-hip ratio (≥0.85) (%),52.3
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),62.0
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),54.6
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(50.3)
All women age 15-49 years who are anaemic (%),54.5
All women age 15-19 years who are anaemic (%),53.7
Women - Blood sugar level - high (141-160 mg/dl)(%),4.8
Women - Blood sugar level - very high (>160 mg/dl)(%),6.0
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.4
Men - Blood sugar level - high (141-160 mg/dl)(%),5.4
Men - Blood sugar level - very high (>160 mg/dl) (%),6.0
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),11.9
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),17.5
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),7.5
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),26.2
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),20.3
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),8.1
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control bloodpressure (%),29.2
Ever undergone a screening test for cervical cancer (%),0.2
Ever undergone a breast examination for breast cancer (%),0.4
Ever undergone an oral cavity examination for oral cancer (%),0.6
Women age 15 years and above who use any kind of tobacco (%),13.7
Men age 15 years and above who use any kind of tobacco (%),37.6
Women age 15 years and above who consume alcohol (%),1.2
Men age 15 years and above who consume alcohol (%),26.1
