,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),70.2,68.6
2,Population below age 15 years (%),21.8,26.6
3,"Sex ratio of the total population (females per 1,000 males)","1,030","1,052"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,131",817
5,Children under age 5 years whose birth was registered with the civil authority (%),98.5,87.4
6,Deaths in the last 3 years registered with the civil authority (%),89.7,na
7,Population living in households with electricity (%),99.4,96.5
8,Population living in households with an improved drinking-water source (%),98.7,97.6
9,Population living in households that use an improved sanitation facility(%),80.5,39.4
10,Households using clean fuel for cooking (%),25.9,14.5
11,Households using iodized salt (%),97.3,99.2
12,Households with any usual member covered under a health insurance/financing scheme (%),84.8,78.9
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(1.8),na
15,Women who are literate (%),77.2,na
16,Women with 10 or more years of schooling (%),40.3,28.3
18,Women age 20-24 years married before age 18 years (%),5.4,14.5
19,Births in the 5 years preceding the survey that are third or higher order (%),0.5,1.8
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.8,4.7
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),80.6,49.7
23,Any method (%),74.7,55.9
24,Any modern method (%),69.6,53.4
25,Female sterilization (%),53.4,46.7
26,Male sterilization (%),3.2,2.1
27,IUD/PPIUD (%),2.5,0.4
28,Pill (%),2.2,1.2
29,Condom (%),0.9,3.1
30,Injectables (%),0.6,0.0
32,Total unmet need(%),3.0,13.0
33,Unmet need for spacing (%),0.7,5.5
35,Health worker ever talked to female non-users about family planning (%),41.4,29.7
36,Current users ever told about side effects of current method (%),85.2,43.4
38,Mothers who had an antenatal check-up in the first trimester (%),78.1,83.8
39,Mothers who had at least 4 antenatal care visits (%),77.9,72.1
40,Mothers whose last birth was protected against neonatal tetanus (%),93.3,93.7
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),56.2,38.5
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),42.9,5.9
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.3,96.2
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),87.4,60.8
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,509",703
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,5.6
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),88.1,na
51,Institutional births (%),94.1,77.5
52,Institutional births in public facility (%),83.9,60.1
53,Home births that were conducted by skilled health personnel (%),1.7,5.5
54,Births attended by skilled health personnel (%),92.8,83.0
55,Births delivered by caesarean section (%),11.0,11.2
56,Births in a private health facility that were delivered by caesarean section (%),*,50.4
57,Births in a public health facility that were delivered by caesarean section (%),7.0,4.0
60,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(89.5),82.0
61,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(97.0),73.1
62,Children age 12-23 months who have received BCG (%),(94.6),100.0
63,Children age 12-23 months who have received 3 doses of polio vaccine (%),(92.3),85.1
64,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(91.8),95.5
65,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(91.8),98.5
66,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(42.5),na
67,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(44.0),na
68,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(89.5),79.3
69,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),91.0,72.8
70,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0),98.0
71,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0),2.0
73,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),3.2,3.2
74,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
75,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
76,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
77,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.8,0.6
79,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
