,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),66.3,60.4
2,Population below age 15 years (%),21.0,23.3
3,"Sex ratio of the total population (females per 1,000 males)",967,"1,035"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",949,829
5,Children under age 5 years whose birth was registered with the civil authority (%),98.7,81.7
6,Deaths in the last 3 years registered with the civil authority (%),77.7,na
7,Population living in households with electricity (%),99.8,99.8
8,Population living in households with an improved drinking-water source (%),87.1,77.2
9,Population living in households that use an improved sanitation facility(%),42.4,17.8
10,Households using clean fuel for cooking (%),93.5,87.7
11,Households using iodized salt (%),99.1,99.2
12,Households with any usual member covered under a health insurance/financing scheme (%),16.2,2.6
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(1.6),na
15,Women who are literate (%),76.4,na
16,Women with 10 or more years of schooling (%),49.8,46.6
18,Women age 20-24 years married before age 18 years (%),2.5,5.2
19,Births in the 5 years preceding the survey that are third or higher order (%),0.0,0.4
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.0,1.7
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),83.0,85.7
23,Any method (%),55.6,70.3
24,Any modern method (%),54.2,69.8
25,Female sterilization (%),19.3,23.6
26,Male sterilization (%),0.4,0.0
27,IUD/PPIUD (%),10.0,34.7
28,Pill (%),6.6,2.2
29,Condom (%),9.3,7.9
30,Injectables (%),7.2,1.5
32,Total unmet need(%),7.1,10.4
33,Unmet need for spacing (%),3.2,6.4
35,Health worker ever talked to female non-users about family planning (%),15.8,10.7
36,Current users ever told about side effects of current method (%),62.0,31.0
38,Mothers who had an antenatal check-up in the first trimester (%),80.9,76.9
39,Mothers who had at least 4 antenatal care visits (%),69.6,91.7
40,Mothers whose last birth was protected against neonatal tetanus (%),94.9,91.7
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),9.5,30.4
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),2.6,13.7
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.5,98.6
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),80.8,88.7
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"4,043","2,942"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),78.6,na
51,Institutional births (%),96.4,96.9
52,Institutional births in public facility (%),95.7,95.7
53,Home births that were conducted by skilled health personnel (%),2.0,0.4
54,Births attended by skilled health personnel (%),98.4,97.2
55,Births delivered by caesarean section (%),43.1,22.1
56,Births in a private health facility that were delivered by caesarean section (%),*,*
57,Births in a public health facility that were delivered by caesarean section (%),44.3,22.4
60,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(88.9),82.0
61,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(100.0),92.6
62,Children age 12-23 months who have received BCG (%),(98.2),97.9
63,Children age 12-23 months who have received 3 doses of polio vaccine (%),(88.9),87.4
64,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(90.6),89.8
65,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(88.9),91.4
66,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(53.8),na
67,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(13.2),na
68,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(88.9),85.2
69,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),89.2,69.0
70,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(100.0),100.0
71,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(0.0),0.0
73,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),10.9,2.0
74,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(74.6),*
75,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(57.2),*
76,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(74.9),*
77,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),7.8,0.4
79,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),60.0,*
81,Children under age 3 years breastfed within one hour of birth (%),45.9,66.3
82,Children under age 6 months exclusively breastfed (%),(63.2),*
83,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
84,Breastfeeding children age 6-23 months receiving an adequate diet  (%),(23.3),24.6
85,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
86,Total children age 6-23 months receiving an adequate diet  (%),29.2,26.7
87,Children under 5 years who are stunted (height-for-age) (%),24.3,20.6
88,Children under 5 years who are wasted (weight-for-height) (%),17.2,12.4
89,Children under 5 years who are severely wasted (weight-for-height) (%),7.6,7.4
90,Children under 5 years who are underweight (weight-for-age) (%),19.0,16.8
91,Children under 5 years who are overweight (weight-for-height) (%),12.7,4.0
93,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),5.3,5.2
94,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),30.2,19.2
95,Women who have high risk waist-to-hip ratio (≥0.85) (%),84.6,na
97,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),95.5,95.8
98,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),94.6,84.2
99,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),79.0,(81.0)
100,All women age 15-49 years who are anaemic (%),93.5,84.1
101,All women age 15-19 years who are anaemic (%),96.8,83.2
104,Women - Blood sugar level - high (141-160 mg/dl)(%),4.6,na
105,Women - Blood sugar level - very high (>160 mg/dl)(%),0.7,na
106,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),6.1,na
108,Men - Blood sugar level - high (141-160 mg/dl)(%),4.2,na
109,Men - Blood sugar level - very high (>160 mg/dl) (%),1.6,na
110,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),6.4,na
113,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),8.7,na
114,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),0.7,na
116,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),12.8,na
118,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),9.2,na
119,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),0.8,na
121,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),14.7,na
123,Ever undergone a screening test for cervical cancer (%),0.2,na
124,Ever undergone a breast examination for breast cancer (%),0.0,na
125,Ever undergone an oral cavity examination for oral cancer (%),0.2,na
