,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
0,Female population age 6 years and above who ever attended school (%),68.7,67.8,68.0,62.5
1,Population below age 15 years (%),22.9,22.8,22.8,28.0
2,"Sex ratio of the total population (females per 1,000 males)",994,966,971,"1,000"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",897,"1,193","1,125",823
4,Children under age 5 years whose birth was registered with the civil authority (%),100.0,98.2,98.6,77.3
5,Deaths in the last 3 years registered with the civil authority (%),(82.9),72.4,74.9,na
6,Population living in households with electricity (%),99.1,99.5,99.5,98.7
7,Population living in households with an improved drinking-water source (%),97.2,86.7,88.7,83.0
8,Population living in households that use an improved sanitation facility(%),74.7,34.8,42.3,17.8
9,Households using clean fuel for cooking (%),97.2,71.3,76.3,67.6
10,Households using iodized salt (%),99.3,98.7,98.8,98.8
11,Households with any usual member covered under a health insurance/financing scheme (%),26.7,12.1,14.9,2.3
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),*,0.0,0.7,na
13,Women who are literate (%),77.7,76.6,76.8,na
14,Men who are literate (%),91.9,94.2,93.7,na
15,Women with 10 or more years of schooling (%),53.8,49.2,50.0,44.6
16,Men with 10 or more years of schooling (%),64.1,74.8,72.7,57.1
17,Women who have ever used the internet (%),66.5,54.0,56.4,na
18,Men who have ever used the internet (%),(82.9),64.3,67.8,na
19,Women age 20-24 years married before age 18 years (%),0.0,3.1,2.5,4.9
20,Men age 25-29 years married before age 21 years (%),*,(21.9),(20.2),12.4
21,Total fertility rate (children per woman),1.4,1.3,1.3,2.3
22,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.0,0.0,0.0,1.0
23,Adolescent fertility rate for women age 15-19 years,0,2,2,9
24,Neonatal mortality rate (NNMR),*,(12.1),11.4,25.7
25,Infant mortality rate (IMR),*,(17.4),20.0,35.3
26,Under-five mortality rate (U5MR),*,(27.4),29.5,40.6
27,Any method (%),50.6,51.5,51.3,66.6
28,Any modern method (%),46.0,48.5,48.0,64.7
29,Female sterilization (%),16.6,16.8,16.7,21.8
30,Male sterilization (%),0.3,0.4,0.4,0.1
31,IUD/PPIUD (%),8.1,7.9,7.9,30.1
32,Pill (%),5.3,6.9,6.6,3.4
33,Condom (%),8.2,9.1,9.0,7.4
34,Injectables (%),6.2,6.1,6.2,1.8
35,Total unmet need(%),11.5,7.0,7.9,9.6
36,Unmet need for spacing (%),5.0,3.8,4.0,5.9
37,Health worker ever talked to female non-users about family planning (%),11.8,12.4,12.2,8.8
38,Current users ever told about side effects of current method (%),68.8,57.3,59.4,28.1
39,Mothers who had an antenatal check-up in the first trimester (%),84.5,86.1,85.8,79.5
40,Mothers who had at least 4 antenatal care visits (%),78.2,78.5,78.4,87.5
41,Mothers whose last birth was protected against neonatal tetanus (%),95.6,93.9,94.2,91.9
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),13.8,14.5,14.3,29.5
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),7.1,7.3,7.3,9.8
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.2,97.4,97.8,93.7
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),80.1,79.5,79.6,83.3
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,911","3,779","3,807","2,669"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*,*,0.0
48,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),82.9,75.1,76.7,na
49,Institutional births (%),99.1,94.0,95.1,90.8
50,Institutional births in public facility (%),98.4,93.7,94.7,89.4
51,Home births that were conducted by skilled health personnel (%),0.9,2.6,2.3,2.0
52,Births attended by skilled health personnel (%),100.0,96.2,97.0,91.5
53,Births delivered by caesarean section (%),47.7,35.0,37.6,16.1
54,Births in a private health facility that were delivered by caesarean section (%),*,*,*,*
55,Births in a public health facility that were delivered by caesarean section (%),47.8,37.0,39.3,17.1
56,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),*,91.9,88.2,81.9
57,Children age 12-23 months fully vaccinated based on information from vaccination card  only (%),*,100.0,100.0,92.5
58,Children age 12-23 months who have received BCG (%),*,100.0,99.1,98.4
59,Children age 12-23 months who have received 3 doses of polio vaccine (%),*,91.9,88.2,87.0
60,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),*,94.8,95.0,89.7
61,Children age 12-23 months who have received the first dose of measles-containing  vaccine (MCV) (%),*,94.8,92.9,92.2
62,Children age 24-35 months who have received a second dose of measles-containing  vaccine (MCV) (%),*,41.6,43.2,na
63,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),*,9.9,10.6,na
64,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),*,94.8,94.1,82.2
65,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),94.2,85.2,87.1,72.7
66,Children age 12-23 months who received most of their vaccinations in a public health  facility (%),*,100.0,100.0,100.0
67,Children age 12-23 months who received most of their vaccinations in a private health  facility (%),*,0.0,0.0,0.0
68,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),13.7,7.1,8.5,3.1
69,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,(88.9),(78.3),*
70,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,(53.1),(54.5),*
71,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,(79.6),(75.0),*
72,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),10.5,4.0,5.3,1.0
73,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(53.1),58.8,57.3,(74.8)
74,Children under age 3 years breastfed within one hour of birth (%),59.2,57.6,57.9,60.0
75,Children under age 6 months exclusively breastfed (%),*,(66.6),70.9,64.1
76,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*,*,(42.2)
77,Breastfeeding children age 6-23 months receiving an adequate diet  (%),*,19.9,20.7,22.0
78,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*,*,*
79,Total children age 6-23 months receiving an adequate diet  (%),(25.3),23.6,24.0,23.9
80,Children under 5 years who are stunted (height-for-age) (%),28.2,31.1,30.5,30.9
81,Children under 5 years who are wasted (weight-for-height) (%),14.8,18.2,17.5,9.3
82,Children under 5 years who are severely wasted (weight-for-height) (%),5.8,10.0,9.1,5.1
83,Children under 5 years who are underweight (weight-for-age) (%),17.0,21.2,20.4,18.7
84,Children under 5 years who are overweight (weight-for-height) (%),17.0,12.4,13.4,4.0
85,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),3.7,4.5,4.4,10.5
86,Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),2.7,2.0,2.1,11.2
87,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),28.5,28.2,28.3,16.3
88,Men who are overweight or obese (BMI ≥25.0 kg/m) (%),43.4,36.4,37.8,18.8
89,Women who have high risk waist-to-hip ratio (≥0.85) (%),88.6,85.8,86.3,na
90,Men who have high risk waist-to-hip ratio (≥0.90) (%),63.3,60.2,60.8,na
91,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),84.1,95.1,92.5,91.4
92,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),91.0,94.3,93.7,78.4
93,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(67.5),80.8,78.1,79.3
94,All women age 15-49 years who are anaemic (%),89.5,93.5,92.8,78.4
95,All women age 15-19 years who are anaemic (%),92.4,97.8,96.9,81.6
96,Men age 15-49 years who are anaemic (<13.0 g/dl)%),72.4,76.4,75.6,41.2
97,Men age 15-19 years who are anaemic (<13.0 g/dl)(%),*,(95.8),(93.1),57.6
98,Blood sugar level - high (141-160 mg/dl)(%),3.4,4.0,3.9,na
99,Blood sugar level - very high (>160 mg/dl)(%),1.7,1.8,1.8,na
100,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),6.4,6.8,6.7,na
101,Blood sugar level - high (141-160 mg/dl)(%),3.3,4.7,4.4,na
102,Blood sugar level - very high (>160 mg/dl) (%),0.8,2.9,2.5,na
103,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),5.4,8.9,8.3,na
104,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),8.2,10.9,10.4,na
105,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),1.6,1.7,1.7,na
106,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),13.5,16.3,15.7,na
107,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),8.5,11.9,11.2,na
108,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),1.5,2.5,2.3,na
109,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),14.5,18.1,17.4,na
110,Ever undergone a screening test for cervical cancer (%),0.4,0.2,0.3,na
111,Ever undergone a breast examination for breast cancer (%),0.0,0.2,0.2,na
112,Ever undergone an oral cavity examination for oral cancer (%),0.0,0.2,0.2,na
113,Ever undergone an oral cavity examination for oral cancer (%),(0.0),0.0,0.0,na
114,Women who have comprehensive knowledge of HIV/AIDS (%),15.6,26.4,24.3,26.4
115,Men who have comprehensive knowledge of HIV/AIDS(%),54.4,23.7,29.6,12.1
116,Women who know that consistent condom use can reduce the chance of getting  HIV/AIDS (%),80.1,72.4,73.9,68.8
117,Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),87.8,78.7,80.4,80.6
118,Currently married women who usually participate in three household decisions(%),(81.2),80.3,80.4,87.6
119,Women who worked in the last 12 months and were paid in cash (%),28.6,28.3,28.3,16.4
120,Women owning a house and/or land (alone or jointly with others) (%),69.0,73.0,72.2,42.6
121,Women having a bank or savings account that they themselves use (%),87.2,88.7,88.4,75.9
122,Women having a mobile phone that they themselves use (%),80.8,81.2,81.2,71.2
123,Women age 15-24 years who use hygienic methods of protection during their  menstrual period (%),90.9,75.2,78.2,64.0
124,Ever-married women age 18-49 years who have ever experienced spousal violence (%),(11.7),19.0,18.1,8.5
