,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),78.8,76.3
2,Population below age 15 years (%),22.9,22.7
3,"Sex ratio of the total population (females per 1,000 males)","1,010","1,041"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,111",855
5,Children under age 5 years whose birth was registered with the civil authority (%),100.0,95.8
6,Deaths in the last 3 years registered with the civil authority (%),83.9,na
7,Population living in households with electricity (%),99.5,96.5
8,Population living in households with an improved drinking-water source (%),94.6,84.3
9,Population living in households that use an improved sanitation facility(%),85.4,74.5
10,Households using clean fuel for cooking (%),85.7,61.2
11,Households using iodized salt (%),91.0,75.0
12,Households with any usual member covered under a health insurance/financing scheme (%),26.5,36.1
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),22.9,na
15,Women who are literate (%),79.8,na
16,Women with 10 or more years of schooling (%),49.1,43.9
18,Women age 20-24 years married before age 18 years (%),11.1,8.0
19,Births in the 5 years preceding the survey that are third or higher order (%),2.5,1.7
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.4,7.6
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),86.3,65.1
23,Any method (%),76.4,36.8
24,Any modern method (%),76.4,36.6
25,Female sterilization (%),68.3,32.8
26,Male sterilization (%),0.0,0.2
27,IUD/PPIUD (%),3.4,1.4
28,Pill (%),0.7,1.0
29,Condom (%),2.4,1.0
30,Injectables (%),0.7,0.0
32,Total unmet need(%),5.3,14.6
33,Unmet need for spacing (%),3.9,4.5
35,Health worker ever talked to female non-users about family planning (%),42.0,12.4
36,Current users ever told about side effects of current method (%),74.7,41.5
38,Mothers who had an antenatal check-up in the first trimester (%),58.7,72.3
39,Mothers who had at least 4 antenatal care visits (%),79.4,73.8
40,Mothers whose last birth was protected against neonatal tetanus (%),96.9,70.4
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),56.6,38.7
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),39.1,23.3
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.5,92.2
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),91.5,65.1
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"5,284","8,515"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),89.7,na
51,Institutional births (%),99.7,97.3
52,Institutional births in public facility (%),74.1,74.0
53,Home births that were conducted by skilled health personnel (%),0.3,1.0
54,Births attended by skilled health personnel (%),96.5,91.7
55,Births delivered by caesarean section (%),43.7,31.2
56,Births in a private health facility that were delivered by caesarean section (%),69.3,29.2
57,Births in a public health facility that were delivered by caesarean section (%),35.1,32.9
60,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(96.1),(45.5)
61,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(97.9),(49.8)
62,Children age 12-23 months who have received BCG (%),(100.0),(92.4)
63,Children age 12-23 months who have received 3 doses of polio vaccine (%),(98.1),(83.2)
64,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(98.0),(75.5)
65,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(98.0),(63.7)
66,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(37.4),na
67,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(2.1),na
68,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(87.1),(58.0)
69,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),92.2,77.4
70,Children age 12-23 months who received most of their vaccinations in a public health facility (%),(91.9),(94.8)
71,Children age 12-23 months who received most of their vaccinations in a private health facility (%),(8.1),(5.2)
73,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.8,7.4
74,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
75,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
76,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
77,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),3.3,0.0
79,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(77.3),(68.1)
