Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),85.7,84.4
Population below age 15 years (%),20.6,22.1
"Sex ratio of the total population (females per 1,000 males)","1,006",898
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,163",727
Children under age 5 years whose birth was registered with the civil authority (%),99.3,93.6
Deaths in the last 3 years registered with the civil authority (%),91.0,na
Population living in households with electricity (%),98.8,99.6
Population living in households with an improved drinking-water source (%),99.2,97.8
Population living in households that use an improved sanitation facility(%),90.4,88.4
Households using clean fuel for cooking (%),97.2,93.9
Households using iodized salt (%),99.4,95.9
Households with any usual member covered under a health insurance/financing scheme (%),28.8,15.4
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(23.4),na
Women who are literate (%),87.3,na
Women with 10 or more years of schooling (%),70.1,67.6
Women age 20-24 years married before age 18 years (%),14.5,11.6
Births in the 5 years preceding the survey that are third or higher order (%),2.0,0.0
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.0,4.6
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),98.5,90.8
Any method (%),73.2,45.3
Any modern method (%),73.0,44.1
Female sterilization (%),55.2,38.7
Male sterilization (%),0.0,0.2
IUD/PPIUD (%),3.4,0.8
Pill (%),2.9,0.9
Condom (%),9.1,3.6
Injectables (%),0.5,0.0
Total unmet need(%),4.7,13.8
Unmet need for spacing (%),3.0,7.8
Health worker ever talked to female non-users about family planning (%),54.7,15.6
Current users ever told about side effects of current method (%),90.7,32.4
Mothers who had an antenatal check-up in the first trimester (%),75.3,51.4
Mothers who had at least 4 antenatal care visits (%),74.6,48.1
Mothers whose last birth was protected against neonatal tetanus (%),98.4,84.2
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),58.8,49.2
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),46.3,40.9
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.0,79.4
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),88.0,68.1
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,633","9,333"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),88.2,na
Institutional births (%),99.3,95.9
Institutional births in public facility (%),54.7,47.9
Home births that were conducted by skilled health personnel (%),0.7,1.4
Births attended by skilled health personnel (%),94.4,90.0
Births delivered by caesarean section (%),30.6,27.4
Births in a private health facility that were delivered by caesarean section (%),48.9,35.7
Births in a public health facility that were delivered by caesarean section (%),16.0,21.4
Children age 12-23 months fully vaccinated based on information from either vaccination card or  mother's recall (%),(78.2),62.1
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(88.4),(94.8)
Children age 12-23 months who have received BCG (%),(95.4),80.2
Children age 12-23 months who have received 3 doses of polio vaccine (%),(78.2),68.7
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(90.0),66.4
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(85.4),76.9
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(38.9),na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(11.2),na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(81.3),49.4
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),86.9,76.9
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(67.1),(66.8)
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(32.9),(33.2)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),2.2,4.9
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.0,0.4
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*
Children under age 3 years breastfed within one hour of birth (%),53.8,49.8
Children under age 6 months exclusively breastfed (%),*,*
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
Breastfeeding children age 6-23 months receiving an adequate diet  (%),(4.8),(13.9)
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,(14.0)
Total children age 6-23 months receiving an adequate diet  (%),7.4,13.9
Children under 5 years who are stunted (height-for-age) (%),31.3,28.1
Children under 5 years who are wasted (weight-for-height) (%),19.2,28.9
Children under 5 years who are severely wasted (weight-for-height) (%),11.4,11.7
Children under 5 years who are underweight (weight-for-age) (%),28.1,26.8
Children under 5 years who are overweight (weight-for-height) (%),4.3,3.5
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),10.0,14.0
