Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),68.7
Population below age 15 years (%),26.6
"Sex ratio of the total population (females per 1,000 males)",987
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",871
Children under age 5 years whose birth was registered with the civil authority (%),94.9
Deaths in the last 3 years registered with the civil authority (%),93.8
Population living in households with electricity (%),95.3
Population living in households with an improved drinking-water source (%),90.7
Population living in households that use an improved sanitation facility(%),61.0
Households using clean fuel for cooking (%),58.7
Households using iodized salt (%),94.6
Households with any usual member covered under a health insurance/financing scheme (%),49.3
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),13.0
Women who are literate (%),74.5
Women with 10 or more years of schooling (%),31.1
Women age 20-24 years married before age 18 years (%),27.0
Births in the 5 years preceding the survey that are third or higher order (%),4.0
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6.1
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),68.4
Any method (%),66.4
Any modern method (%),55.5
Female sterilization (%),37.3
Male sterilization (%),0.0
IUD/PPIUD (%),4.3
Pill (%),2.2
Condom (%),11.0
Injectables (%),0.1
Total unmet need(%),9.2
Unmet need for spacing (%),3.5
Health worker ever talked to female non-users about family planning (%),21.8
Current users ever told about side effects of current method (%),64.0
Mothers who had an antenatal check-up in the first trimester (%),70.1
Mothers who had at least 4 antenatal care visits (%),73.2
Mothers whose last birth was protected against neonatal tetanus (%),90.7
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),52.2
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),24.6
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.1
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),86.9
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,828"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),83.9
Institutional births (%),89.4
Institutional births in public facility (%),38.3
Home births that were conducted by skilled health personnel (%),2.4
Births attended by skilled health personnel (%),83.0
