Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
Female population age 6 years and above who ever attended school (%),83.7,65.4,72.9,72.0
Population below age 15 years (%),22.2,25.3,24.0,26.0
"Sex ratio of the total population (females per 1,000 males)",929,991,965,950
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",931,969,955,906
Children under age 5 years whose birth was registered with the civil authority (%),98.7,96.7,97.5,95.8
Deaths in the last 3 years registered with the civil authority (%),95.7,91.6,93.0,na
Population living in households with electricity (%),99.4,96.2,97.6,96.2
Population living in households with an improved drinking-water source (%),99.4,95.7,97.2,95.9
Population living in households that use an improved sanitation facility(%),89.3,63.3,74.0,63.6
Households using clean fuel for cooking (%),94.3,46.1,66.9,52.6
Households using iodized salt (%),97.4,94.3,95.6,95.5
Households with any usual member covered under a health insurance/financing scheme (%),36.3,41.1,39.0,23.1
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),8.7,5.8,6.9,na
Women who are literate (%),86.8,69.0,76.5,na
Men who are literate (%),95.4,87.5,90.9,na
Women with 10 or more years of schooling (%),47.9,23.6,33.8,33.0
Men with 10 or more years of schooling (%),56.9,36.9,45.6,43.0
Women who have ever used the internet (%),48.9,17.5,30.8,na
Men who have ever used the internet (%),72.9,48.0,58.9,na
Women age 20-24 years married before age 18 years (%),14.2,26.9,21.8,24.9
Men age 25-29 years married before age 21 years (%),18.7,33.9,27.7,28.4
Total fertility rate (children per woman),1.7,2.0,1.9,2.0
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.6,6.7,5.2,6.5
Adolescent fertility rate for women age 15-19 years,24,40,34,41
Neonatal mortality rate (NNMR),16.8,24.8,21.8,26.8
Infant mortality rate (IMR),24.1,35.5,31.2,34.2
Under-five mortality rate (U5MR),26.7,44.2,37.6,43.5
Any method (%),69.5,62.2,65.3,46.9
Any modern method (%),54.0,53.3,53.6,43.1
Female sterilization (%),29.1,40.8,35.9,33.6
Male sterilization (%),0.1,0.2,0.2,0.1
IUD/PPIUD (%),4.2,2.4,3.1,3.0
Pill (%),3.1,1.8,2.3,1.4
Condom (%),16.8,7.5,11.4,4.9
Injectables (%),0.1,0.1,0.1,0.0
Total unmet need(%),9.7,10.8,10.3,17.0
Unmet need for spacing (%),4.0,4.8,4.5,6.7
Health worker ever talked to female non-users about family planning (%),31.5,28.8,29.8,18.9
Current users ever told about side effects of current method (%),78.1,71.8,74.1,47.0
Mothers who had an antenatal check-up in the first trimester (%),83.7,76.4,79.3,73.8
Mothers who had at least 4 antenatal care visits (%),82.4,73.3,76.9,70.5
Mothers whose last birth was protected against neonatal tetanus (%),91.4,87.6,89.1,86.6
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),62.0,58.7,60.0,36.8
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),45.5,41.8,43.2,18.5
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.7,98.3,97.7,89.0
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),93.1,87.5,89.7,63.3
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,027","1,535","1,697","2,136"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(2.4),7.7,6.9,3.7
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),91.8,86.6,88.7,na
Institutional births (%),97.8,92.2,94.3,88.5
Institutional births in public facility (%),36.6,47.3,43.3,32.6
Home births that were conducted by skilled health personnel (%),1.1,1.9,1.6,2.2
Births attended by skilled health personnel (%),96.8,91.1,93.2,87.1
Births delivered by caesarean section (%),30.7,15.3,21.0,18.4
Births in a private health facility that were delivered by caesarean section (%),38.0,25.0,30.8,26.6
Births in a public health facility that were delivered by caesarean section (%),20.3,8.8,12.4,10.8
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),77.0,75.9,76.3,50.4
Children age 12-23 months fully vaccinated based on information from vaccination card  only (%),82.9,86.2,85.0,78.9
Children age 12-23 months who have received BCG (%),95.6,94.2,94.7,87.9
Children age 12-23 months who have received 3 doses of polio vaccine (%),79.7,79.5,79.6,62.3
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),85.2,86.6,86.1,72.7
Children age 12-23 months who have received the first dose of measles-containing  vaccine (MCV) (%),88.5,85.8,86.8,75.0
Children age 24-35 months who have received a second dose of measles-containing  vaccine (MCV) (%),24.3,29.0,27.3,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),2.9,1.8,2.2,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),85.0,84.9,84.9,38.6
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),86.8,84.8,85.6,74.7
