Indicator,NFHS-5,NFHS-4
Female population age 6 years and above who ever attended school (%),79.0,76.5
Population below age 15 years (%),25.2,25.6
"Sex ratio of the total population (females per 1,000 males)","1,009",995
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,020","1,189"
Children under age 5 years whose birth was registered with the civil authority (%),96.8,89.7
Deaths in the last 3 years registered with the civil authority (%),98.0,na
Population living in households with electricity (%),98.6,98.7
Population living in households with an improved drinking-water source (%),98.0,91.9
Population living in households that use an improved sanitation facility(%),85.3,60.9
Households using clean fuel for cooking (%),73.1,56.7
Households using iodized salt (%),95.7,92.1
Households with any usual member covered under a health insurance/financing scheme (%),40.6,17.4
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),20.3,na
Women who are literate (%),82.9,na
Women with 10 or more years of schooling (%),45.6,45.3
Women age 20-24 years married before age 18 years (%),19.4,19.9
Births in the 5 years preceding the survey that are third or higher order (%),1.7,2.5
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6.5,15.0
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),84.9,64.3
Any method (%),76.1,38.4
Any modern method (%),61.9,38.4
Female sterilization (%),45.4,32.0
Male sterilization (%),0.0,0.0
IUD/PPIUD (%),2.0,2.2
Pill (%),0.7,0.5
Condom (%),11.9,3.5
Injectables (%),0.3,0.2
Total unmet need(%),9.3,18.7
Unmet need for spacing (%),5.5,6.3
Health worker ever talked to female non-users about family planning (%),52.7,10.7
Current users ever told about side effects of current method (%),70.5,44.3
Mothers who had an antenatal check-up in the first trimester (%),88.3,68.9
Mothers who had at least 4 antenatal care visits (%),92.5,55.0
Mothers whose last birth was protected against neonatal tetanus (%),97.5,78.3
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),76.5,39.9
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),59.1,23.3
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0,85.7
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),95.0,58.9
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),958,"3,422"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,(3.3)
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),93.2,na
