Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),68.6
Population below age 15 years (%),25.5
"Sex ratio of the total population (females per 1,000 males)",996
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",965
Children under age 5 years whose birth was registered with the civil authority (%),93.8
Deaths in the last 3 years registered with the civil authority (%),90.8
Population living in households with electricity (%),96.5
Population living in households with an improved drinking-water source (%),98.5
Population living in households that use an improved sanitation facility(%),56.3
Households using clean fuel for cooking (%),47.9
Households using iodized salt (%),93.5
Households with any usual member covered under a health insurance/financing scheme (%),43.9
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),0.0
Women who are literate (%),71.9
Women with 10 or more years of schooling (%),34.7
Women age 20-24 years married before age 18 years (%),27.0
Births in the 5 years preceding the survey that are third or higher order (%),2.7
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),6.7
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),52.5
Any method (%),68.7
Any modern method (%),56.3
Female sterilization (%),43.5
Male sterilization (%),0.1
IUD/PPIUD (%),1.5
Pill (%),2.8
Condom (%),8.1
Injectables (%),0.0
Total unmet need(%),11.2
Unmet need for spacing (%),5.0
Health worker ever talked to female non-users about family planning (%),30.0
Current users ever told about side effects of current method (%),75.6
Mothers who had an antenatal check-up in the first trimester (%),62.6
Mothers who had at least 4 antenatal care visits (%),73.8
Mothers whose last birth was protected against neonatal tetanus (%),89.7
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),56.0
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),41.4
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),95.8
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),87.6
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,666"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),85.1
Institutional births (%),92.2
Institutional births in public facility (%),34.8
Home births that were conducted by skilled health personnel (%),2.5
Births attended by skilled health personnel (%),93.0
Births delivered by caesarean section (%),21.0
Births in a private health facility that were delivered by caesarean section (%),27.6
Births in a public health facility that were delivered by caesarean section (%),14.7
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),77.0
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),86.9
Children age 12-23 months who have received BCG (%),95.2
Children age 12-23 months who have received 3 doses of polio vaccine (%),81.8
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),87.9
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),88.1
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),17.3
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),5.9
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),86.4
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),84.6
Children age 12-23 months who received most of their vaccinations in a public health facility (%),92.3
Children age 12-23 months who received most of their vaccinations in a private health facility (%),7.7
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),16.6
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),56.7
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),28.5
