Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),78.4
Population below age 15 years (%),22.0
"Sex ratio of the total population (females per 1,000 males)",975
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,049"
Children under age 5 years whose birth was registered with the civil authority (%),97.1
Deaths in the last 3 years registered with the civil authority (%),96.1
Population living in households with electricity (%),99.6
Population living in households with an improved drinking-water source (%),99.5
Population living in households that use an improved sanitation facility(%),85.4
Households using clean fuel for cooking (%),83.6
Households using iodized salt (%),98.6
Households with any usual member covered under a health insurance/financing scheme (%),45.1
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),2.2
Women who are literate (%),84.7
Women with 10 or more years of schooling (%),42.6
Women age 20-24 years married before age 18 years (%),12.1
Births in the 5 years preceding the survey that are third or higher order (%),2.3
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.8
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),84.5
Any method (%),78.8
Any modern method (%),53.5
Female sterilization (%),26.5
Male sterilization (%),0.1
IUD/PPIUD (%),8.0
Pill (%),2.4
Condom (%),16.5
Injectables (%),0.0
Total unmet need(%),6.2
Unmet need for spacing (%),2.4
Health worker ever talked to female non-users about family planning (%),48.1
Current users ever told about side effects of current method (%),86.2
Mothers who had an antenatal check-up in the first trimester (%),94.0
Mothers who had at least 4 antenatal care visits (%),93.5
Mothers whose last birth was protected against neonatal tetanus (%),94.8
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),60.6
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),42.0
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.2
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),98.1
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),668
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),98.3
Institutional births (%),99.3
Institutional births in public facility (%),40.9
Home births that were conducted by skilled health personnel (%),0.7
Births attended by skilled health personnel (%),100.0
Births delivered by caesarean section (%),24.7
Births in a private health facility that were delivered by caesarean section (%),34.3
Births in a public health facility that were delivered by caesarean section (%),11.4
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(84.9)
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(85.6)
Children age 12-23 months who have received BCG (%),(95.8)
Children age 12-23 months who have received 3 doses of polio vaccine (%),(89.5)
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(88.1)
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(88.8)
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(37.0)
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(0.0)
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(88.1)
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),84.2
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(86.8)
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(13.2)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.3
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.2
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Children under age 3 years breastfed within one hour of birth (%),45.2
Children under age 6 months exclusively breastfed (%),*
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet  (%),13.6
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet  (%),14.2
Children under 5 years who are stunted (height-for-age) (%),38.9
Children under 5 years who are wasted (weight-for-height) (%),17.6
Children under 5 years who are severely wasted (weight-for-height) (%),7.3
Children under 5 years who are underweight (weight-for-age) (%),37.0
Children under 5 years who are overweight (weight-for-height) (%),8.1
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),19.5
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),28.0
Women who have high risk waist-to-hip ratio (≥0.85) (%),44.2
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),77.0
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),60.6
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*
All women age 15-49 years who are anaemic (%),60.5
All women age 15-19 years who are anaemic (%),72.7
Women - Blood sugar level - high (141-160 mg/dl)(%),7.7
Women - Blood sugar level - very high (>160 mg/dl)(%),7.5
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),16.6
Men - Blood sugar level - high (141-160 mg/dl)(%),8.5
Men - Blood sugar level - very high (>160 mg/dl) (%),6.2
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.4
