Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),82.0
Population below age 15 years (%),21.0
"Sex ratio of the total population (females per 1,000 males)",953
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,186"
Children under age 5 years whose birth was registered with the civil authority (%),98.6
Deaths in the last 3 years registered with the civil authority (%),96.5
Population living in households with electricity (%),97.3
Population living in households with an improved drinking-water source (%),99.5
Population living in households that use an improved sanitation facility(%),85.6
Households using clean fuel for cooking (%),78.1
Households using iodized salt (%),94.6
Households with any usual member covered under a health insurance/financing scheme (%),41.7
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(17.8)
Women who are literate (%),84.6
Women with 10 or more years of schooling (%),46.4
Women age 20-24 years married before age 18 years (%),22.8
Births in the 5 years preceding the survey that are third or higher order (%),1.7
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),10.3
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),72.4
Any method (%),58.5
Any modern method (%),49.1
Female sterilization (%),32.5
Male sterilization (%),0.0
IUD/PPIUD (%),2.8
Pill (%),1.7
Condom (%),12.0
Injectables (%),0.0
Total unmet need(%),11.4
Unmet need for spacing (%),6.5
Health worker ever talked to female non-users about family planning (%),17.5
Current users ever told about side effects of current method (%),44.5
Mothers who had an antenatal check-up in the first trimester (%),80.4
Mothers who had at least 4 antenatal care visits (%),65.9
Mothers whose last birth was protected against neonatal tetanus (%),93.1
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),53.1
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),41.3
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),96.6
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.7
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,597"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),88.7
Institutional births (%),95.9
Institutional births in public facility (%),45.7
Home births that were conducted by skilled health personnel (%),1.8
Births attended by skilled health personnel (%),95.2
Births delivered by caesarean section (%),29.9
Births in a private health facility that were delivered by caesarean section (%),44.1
Births in a public health facility that were delivered by caesarean section (%),17.1
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(84.9)
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(90.8)
Children age 12-23 months who have received BCG (%),(93.2)
Children age 12-23 months who have received 3 doses of polio vaccine (%),(84.9)
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(91.7)
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(93.2)
