Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),68.9
Population below age 15 years (%),24.8
"Sex ratio of the total population (females per 1,000 males)",975
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",992
Children under age 5 years whose birth was registered with the civil authority (%),99.0
Deaths in the last 3 years registered with the civil authority (%),92.4
Population living in households with electricity (%),99.3
Population living in households with an improved drinking-water source (%),99.2
Population living in households that use an improved sanitation facility(%),72.0
Households using clean fuel for cooking (%),63.0
Households using iodized salt (%),98.7
Households with any usual member covered under a health insurance/financing scheme (%),38.0
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(1.9)
Women who are literate (%),71.8
Women with 10 or more years of schooling (%),22.0
Women age 20-24 years married before age 18 years (%),13.0
Births in the 5 years preceding the survey that are third or higher order (%),2.3
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.2
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),72.1
Any method (%),49.3
Any modern method (%),44.6
Female sterilization (%),31.8
Male sterilization (%),0.0
IUD/PPIUD (%),2.0
Pill (%),3.1
Condom (%),7.7
Injectables (%),0.0
Total unmet need(%),13.2
Unmet need for spacing (%),6.2
Health worker ever talked to female non-users about family planning (%),17.4
Current users ever told about side effects of current method (%),64.1
Mothers who had an antenatal check-up in the first trimester (%),82.3
Mothers who had at least 4 antenatal care visits (%),82.7
Mothers whose last birth was protected against neonatal tetanus (%),82.3
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),54.6
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),36.7
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.2
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),85.4
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,027"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),86.9
Institutional births (%),93.5
Institutional births in public facility (%),39.2
Home births that were conducted by skilled health personnel (%),3.1
Births attended by skilled health personnel (%),74.5
Births delivered by caesarean section (%),16.6
Births in a private health facility that were delivered by caesarean section (%),25.5
Births in a public health facility that were delivered by caesarean section (%),7.1
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),65.1
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),77.6
Children age 12-23 months who have received BCG (%),94.0
Children age 12-23 months who have received 3 doses of polio vaccine (%),74.5
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),76.3
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),78.2
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),19.9
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),1.3
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),75.2
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),74.0
Children age 12-23 months who received most of their vaccinations in a public health facility (%),94.1
Children age 12-23 months who received most of their vaccinations in a private health facility (%),5.9
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.4
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.6
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Children under age 3 years breastfed within one hour of birth (%),35.9
Children under age 6 months exclusively breastfed (%),*
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet  (%),6.9
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet  (%),8.1
Children under 5 years who are stunted (height-for-age) (%),32.2
Children under 5 years who are wasted (weight-for-height) (%),26.0
Children under 5 years who are severely wasted (weight-for-height) (%),9.6
Children under 5 years who are underweight (weight-for-age) (%),32.3
Children under 5 years who are overweight (weight-for-height) (%),5.8
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),19.6
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),27.3
Women who have high risk waist-to-hip ratio (≥0.85) (%),25.0
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),75.5
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),59.1
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(48.5)
All women age 15-49 years who are anaemic (%),58.8
All women age 15-19 years who are anaemic (%),60.3
Women - Blood sugar level - high (141-160 mg/dl)(%),8.8
Women - Blood sugar level - very high (>160 mg/dl)(%),7.1
