Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),73.8
Population below age 15 years (%),21.6
"Sex ratio of the total population (females per 1,000 males)",999
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",876
Children under age 5 years whose birth was registered with the civil authority (%),97.8
Deaths in the last 3 years registered with the civil authority (%),94.3
Population living in households with electricity (%),99.3
Population living in households with an improved drinking-water source (%),97.0
Population living in households that use an improved sanitation facility(%),81.7
Households using clean fuel for cooking (%),67.2
Households using iodized salt (%),97.4
Households with any usual member covered under a health insurance/financing scheme (%),47.3
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(5.5)
Women who are literate (%),82.8
Women with 10 or more years of schooling (%),35.0
Women age 20-24 years married before age 18 years (%),11.2
Births in the 5 years preceding the survey that are third or higher order (%),1.6
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),5.0
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),75.2
Any method (%),48.0
Any modern method (%),42.3
Female sterilization (%),25.9
Male sterilization (%),0.1
IUD/PPIUD (%),2.9
Pill (%),2.0
Condom (%),11.1
Injectables (%),0.0
Total unmet need(%),13.8
Unmet need for spacing (%),4.0
Health worker ever talked to female non-users about family planning (%),26.5
Current users ever told about side effects of current method (%),(69.0)
Mothers who had an antenatal check-up in the first trimester (%),82.0
Mothers who had at least 4 antenatal care visits (%),72.5
Mothers whose last birth was protected against neonatal tetanus (%),88.2
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),39.6
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),28.0
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),100.0
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),84.1
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,272"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),82.8
Institutional births (%),97.4
Institutional births in public facility (%),60.3
Home births that were conducted by skilled health personnel (%),0.8
Births attended by skilled health personnel (%),97.7
Births delivered by caesarean section (%),23.0
Births in a private health facility that were delivered by caesarean section (%),33.9
Births in a public health facility that were delivered by caesarean section (%),17.3
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),93.5
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),93.4
Children age 12-23 months who have received BCG (%),95.3
Children age 12-23 months who have received 3 doses of polio vaccine (%),95.0
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),95.0
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),96.9
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),36.3
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),2.0
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),93.2
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),87.9
Children age 12-23 months who received most of their vaccinations in a public health facility (%),98.2
Children age 12-23 months who received most of their vaccinations in a private health facility (%),1.9
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),7.5
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.5
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Children under age 3 years breastfed within one hour of birth (%),32.5
Children under age 6 months exclusively breastfed (%),*
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet  (%),5.2
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet  (%),5.2
Children under 5 years who are stunted (height-for-age) (%),37.3
Children under 5 years who are wasted (weight-for-height) (%),17.3
Children under 5 years who are severely wasted (weight-for-height) (%),7.1
Children under 5 years who are underweight (weight-for-age) (%),26.4
Children under 5 years who are overweight (weight-for-height) (%),4.4
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),18.7
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),33.4
Women who have high risk waist-to-hip ratio (≥0.85) (%),37.7
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),74.7
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),58.8
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(57.3)
All women age 15-49 years who are anaemic (%),58.8
All women age 15-19 years who are anaemic (%),55.5
Women - Blood sugar level - high (141-160 mg/dl)(%),9.2
Women - Blood sugar level - very high (>160 mg/dl)(%),7.6
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),18.5
Men - Blood sugar level - high (141-160 mg/dl)(%),10.1
Men - Blood sugar level - very high (>160 mg/dl) (%),8.2
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),19.3
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),12.7
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),5.6
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),23.3
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),14.6
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.8
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),20.8
  Ever undergone a screening test for cervical cancer (%),0.4
  Ever undergone a breast examination for breast cancer (%),0.2
Ever undergone an oral cavity examination for oral cancer (%),0.4
Women age 15 years and above who use any kind of tobacco (%),13.8
Men age 15 years and above who use any kind of tobacco (%),54.4
Women age 15 years and above who consume alcohol (%),0.2
Men age 15 years and above who consume alcohol (%),2.9
