Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),79.8
Population below age 15 years (%),22.1
"Sex ratio of the total population (females per 1,000 males)",928
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",994
Children under age 5 years whose birth was registered with the civil authority (%),98.4
Deaths in the last 3 years registered with the civil authority (%),96.1
Population living in households with electricity (%),99.5
Population living in households with an improved drinking-water source (%),98.7
Population living in households that use an improved sanitation facility(%),86.4
Households using clean fuel for cooking (%),89.7
Households using iodized salt (%),98.7
Households with any usual member covered under a health insurance/financing scheme (%),36.2
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),6.5
Women who are literate (%),81.5
Women with 10 or more years of schooling (%),42.7
Women age 20-24 years married before age 18 years (%),17.5
Births in the 5 years preceding the survey that are third or higher order (%),0.5
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),4.4
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),66.4
Any method (%),79.0
Any modern method (%),58.2
Female sterilization (%),30.8
Male sterilization (%),0.0
IUD/PPIUD (%),3.3
Pill (%),3.8
Condom (%),19.7
Injectables (%),0.1
Total unmet need(%),6.5
Unmet need for spacing (%),3.4
Health worker ever talked to female non-users about family planning (%),36.2
Current users ever told about side effects of current method (%),76.5
Mothers who had an antenatal check-up in the first trimester (%),73.5
Mothers who had at least 4 antenatal care visits (%),77.8
Mothers whose last birth was protected against neonatal tetanus (%),85.9
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),69.0
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),54.3
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.7
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.0
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,279"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),86.4
Institutional births (%),94.5
Institutional births in public facility (%),46.7
Home births that were conducted by skilled health personnel (%),1.2
Births attended by skilled health personnel (%),95.3
Births delivered by caesarean section (%),32.4
Births in a private health facility that were delivered by caesarean section (%),43.8
Births in a public health facility that were delivered by caesarean section (%),24.5
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(65.2)
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(76.5)
Children age 12-23 months who have received BCG (%),(93.0)
Children age 12-23 months who have received 3 doses of polio vaccine (%),(69.1)
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(80.0)
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(82.7)
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(13.2)
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(2.2)
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(82.1)
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),85.1
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(89.4)
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(10.6)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),1.8
