Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),59.0
Population below age 15 years (%),24.2
"Sex ratio of the total population (females per 1,000 males)","1,010"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",955
Children under age 5 years whose birth was registered with the civil authority (%),96.6
Deaths in the last 3 years registered with the civil authority (%),93.4
Population living in households with electricity (%),98.7
Population living in households with an improved drinking-water source (%),93.9
Population living in households that use an improved sanitation facility(%),73.4
Households using clean fuel for cooking (%),61.2
Households using iodized salt (%),97.5
Households with any usual member covered under a health insurance/financing scheme (%),33.5
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),1.7
Women who are literate (%),66.1
Women with 10 or more years of schooling (%),15.8
Women age 20-24 years married before age 18 years (%),11.6
Births in the 5 years preceding the survey that are third or higher order (%),1.4
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.8
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),65.9
Any method (%),47.7
Any modern method (%),41.1
Female sterilization (%),19.1
Male sterilization (%),0.0
IUD/PPIUD (%),4.5
Pill (%),6.1
Condom (%),11.1
Injectables (%),0.3
Total unmet need(%),15.9
Unmet need for spacing (%),6.0
Health worker ever talked to female non-users about family planning (%),33.5
Current users ever told about side effects of current method (%),65.9
Mothers who had an antenatal check-up in the first trimester (%),84.1
Mothers who had at least 4 antenatal care visits (%),76.6
Mothers whose last birth was protected against neonatal tetanus (%),90.3
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),29.1
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),12.2
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),98.3
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.1
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,463"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),88.3
Institutional births (%),94.8
Institutional births in public facility (%),37.2
Home births that were conducted by skilled health personnel (%),2.0
Births attended by skilled health personnel (%),91.7
Births delivered by caesarean section (%),17.9
Births in a private health facility that were delivered by caesarean section (%),24.5
Births in a public health facility that were delivered by caesarean section (%),10.3
