Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),72.0
Population below age 15 years (%),24.1
"Sex ratio of the total population (females per 1,000 males)",942
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,192"
Children under age 5 years whose birth was registered with the civil authority (%),96.5
Deaths in the last 3 years registered with the civil authority (%),86.3
Population living in households with electricity (%),96.9
Population living in households with an improved drinking-water source (%),95.1
Population living in households that use an improved sanitation facility(%),72.9
Households using clean fuel for cooking (%),59.8
Households using iodized salt (%),87.2
Households with any usual member covered under a health insurance/financing scheme (%),32.2
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),5.3
Women who are literate (%),74.2
Women with 10 or more years of schooling (%),26.3
Women age 20-24 years married before age 18 years (%),18.0
Births in the 5 years preceding the survey that are third or higher order (%),3.3
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.5
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),64.5
Any method (%),45.7
Any modern method (%),40.5
Female sterilization (%),29.7
Male sterilization (%),0.1
IUD/PPIUD (%),3.0
Pill (%),1.2
Condom (%),6.5
Injectables (%),0.0
Total unmet need(%),15.5
Unmet need for spacing (%),6.9
Health worker ever talked to female non-users about family planning (%),12.6
Current users ever told about side effects of current method (%),56.2
Mothers who had an antenatal check-up in the first trimester (%),76.6
Mothers who had at least 4 antenatal care visits (%),70.9
Mothers whose last birth was protected against neonatal tetanus (%),90.5
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),45.2
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),28.6
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),94.8
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),87.0
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,933"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.4
Institutional births (%),94.2
Institutional births in public facility (%),44.3
Home births that were conducted by skilled health personnel (%),2.5
Births attended by skilled health personnel (%),96.0
Births delivered by caesarean section (%),23.7
Births in a private health facility that were delivered by caesarean section (%),31.5
Births in a public health facility that were delivered by caesarean section (%),18.0
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),74.3
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(94.0)
Children age 12-23 months who have received BCG (%),90.6
Children age 12-23 months who have received 3 doses of polio vaccine (%),76.0
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),85.2
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),83.5
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),14.6
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),0.0
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),84.6
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),83.1
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(94.2)
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(5.9)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),11.1
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(65.4)
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(35.1)
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(47.2)
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.8
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),(61.5)
Children under age 3 years breastfed within one hour of birth (%),33.9
Children under age 6 months exclusively breastfed (%),*
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet  (%),9.4
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet  (%),11.2
Children under 5 years who are stunted (height-for-age) (%),32.6
Children under 5 years who are wasted (weight-for-height) (%),29.6
Children under 5 years who are severely wasted (weight-for-height) (%),6.3
Children under 5 years who are underweight (weight-for-age) (%),39.5
Children under 5 years who are overweight (weight-for-height) (%),1.8
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),20.8
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),29.4
Women who have high risk waist-to-hip ratio (≥0.85) (%),26.6
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),71.5
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),49.1
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(56.2)
All women age 15-49 years who are anaemic (%),49.4
All women age 15-19 years who are anaemic (%),52.0
Women - Blood sugar level - high (141-160 mg/dl)(%),8.8
Women - Blood sugar level - very high (>160 mg/dl)(%),6.4
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),16.4
Men - Blood sugar level - high (141-160 mg/dl)(%),6.8
Men - Blood sugar level - very high (>160 mg/dl) (%),8.8
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),17.1
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),9.8
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.1
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),20.1
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),11.0
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.4
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),18.0
  Ever undergone a screening test for cervical cancer (%),0.0
  Ever undergone a breast examination for breast cancer (%),0.0
Ever undergone an oral cavity examination for oral cancer (%),0.2
Women age 15 years and above who use any kind of tobacco (%),9.7
Men age 15 years and above who use any kind of tobacco (%),50.9
