Indicator,NFHS-5
Female population age 6 years and above who ever attended school (%),72.8
Population below age 15 years (%),21.0
"Sex ratio of the total population (females per 1,000 males)","1,004"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)",912
Children under age 5 years whose birth was registered with the civil authority (%),97.1
Deaths in the last 3 years registered with the civil authority (%),98.4
Population living in households with electricity (%),98.9
Population living in households with an improved drinking-water source (%),99.7
Population living in households that use an improved sanitation facility(%),86.6
Households using clean fuel for cooking (%),81.6
Households using iodized salt (%),99.2
Households with any usual member covered under a health insurance/financing scheme (%),38.6
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(4.1)
Women who are literate (%),83.1
Women with 10 or more years of schooling (%),35.3
Women age 20-24 years married before age 18 years (%),6.8
Births in the 5 years preceding the survey that are third or higher order (%),2.2
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),1.0
Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),75.0
Any method (%),85.2
Any modern method (%),66.5
Female sterilization (%),31.9
Male sterilization (%),0.0
IUD/PPIUD (%),11.4
Pill (%),4.6
Condom (%),18.1
Injectables (%),0.4
Total unmet need(%),2.0
Unmet need for spacing (%),0.8
Health worker ever talked to female non-users about family planning (%),60.8
Current users ever told about side effects of current method (%),92.2
Mothers who had an antenatal check-up in the first trimester (%),91.7
Mothers who had at least 4 antenatal care visits (%),73.8
Mothers whose last birth was protected against neonatal tetanus (%),95.0
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),52.5
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),32.9
Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.5
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),92.4
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"1,150"
Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),86.4
Institutional births (%),96.5
Institutional births in public facility (%),55.4
Home births that were conducted by skilled health personnel (%),0.5
Births attended by skilled health personnel (%),96.2
Births delivered by caesarean section (%),23.3
Births in a private health facility that were delivered by caesarean section (%),32.2
Births in a public health facility that were delivered by caesarean section (%),18.2
Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(78.4)
Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(80.0)
Children age 12-23 months who have received BCG (%),(100.0)
Children age 12-23 months who have received 3 doses of polio vaccine (%),(78.4)
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(92.9)
Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),(92.7)
Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),(33.6)
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(0.0)
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(84.6)
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),91.5
Children age 12-23 months who received most of their vaccinations in a public health facility (%),(97.6)
Children age 12-23 months who received most of their vaccinations in a private health facility (%),(2.4)
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.0
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),2.1
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*
Children under age 3 years breastfed within one hour of birth (%),44.6
Children under age 6 months exclusively breastfed (%),(74.0)
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*
Breastfeeding children age 6-23 months receiving an adequate diet  (%),(15.3)
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*
Total children age 6-23 months receiving an adequate diet  (%),10.7
Children under 5 years who are stunted (height-for-age) (%),28.4
Children under 5 years who are wasted (weight-for-height) (%),23.8
Children under 5 years who are severely wasted (weight-for-height) (%),12.5
Children under 5 years who are underweight (weight-for-age) (%),28.9
Children under 5 years who are overweight (weight-for-height) (%),3.6
Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),17.3
Women who are overweight or obese (BMI ≥25.0 kg/m) (%),29.5
Women who have high risk waist-to-hip ratio (≥0.85) (%),35.4
Children age 6-59 months who are anaemic (<11.0 g/dl) (%),75.0
Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),50.6
Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),*
All women age 15-49 years who are anaemic (%),50.2
All women age 15-19 years who are anaemic (%),60.1
Women - Blood sugar level - high (141-160 mg/dl)(%),8.1
Women - Blood sugar level - very high (>160 mg/dl)(%),5.9
Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.3
Men - Blood sugar level - high (141-160 mg/dl)(%),8.2
Men - Blood sugar level - very high (>160 mg/dl) (%),6.5
Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),15.5
Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),8.2
Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.2
Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),18.1
Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),7.2
Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),2.9
Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),15.0
  Ever undergone a screening test for cervical cancer (%),0.3
  Ever undergone a breast examination for breast cancer (%),0.3
Ever undergone an oral cavity examination for oral cancer (%),0.3
Women age 15 years and above who use any kind of tobacco (%),7.7
Men age 15 years and above who use any kind of tobacco (%),52.0
Women age 15 years and above who consume alcohol (%),0.2
Men age 15 years and above who consume alcohol (%),1.3
