,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),79.1,74.3
2,Population below age 15 years (%),26.1,29.8
3,"Sex ratio of the total population (females per 1,000 males)","1,087","1,150"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,026",950
5,Children under age 5 years whose birth was registered with the civil authority (%),96.9,89.7
6,Deaths in the last 3 years registered with the civil authority (%),66.5,na
7,Population living in households with electricity (%),99.5,95.9
8,Population living in households with an improved drinking-water source (%),94.4,92.9
9,Population living in households that use an improved sanitation facility(%),87.6,64.9
10,Households using clean fuel for cooking (%),37.4,34.8
11,Households using iodized salt (%),93.8,85.6
12,Households with any usual member covered under a health insurance/financing scheme (%),71.1,18.8
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),28.2,na
15,Women who are literate (%),89.2,na
16,Women with 10 or more years of schooling (%),59.0,49.8
18,Women age 20-24 years married before age 18 years (%),3.4,12.3
19,Births in the 5 years preceding the survey that are third or higher order (%),1.4,3.7
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.0,1.3
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),96.8,69.5
23,Any method (%),73.7,60.2
24,Any modern method (%),64.0,58.4
25,Female sterilization (%),49.0,47.0
26,Male sterilization (%),1.2,1.2
27,IUD/PPIUD (%),0.4,0.3
28,Pill (%),1.4,2.3
29,Condom (%),10.8,7.7
30,Injectables (%),0.1,0.0
32,Total unmet need(%),9.3,14.2
33,Unmet need for spacing (%),3.6,6.5
35,Health worker ever talked to female non-users about family planning (%),21.8,20.3
36,Current users ever told about side effects of current method (%),70.5,43.9
