,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),79.7,71.8
1,Population below age 15 years (%),22.2,27.2
2,"Sex ratio of the total population (females per 1,000 males)","1,043","1,069"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",911,758
4,Children under age 5 years whose birth was registered with the civil authority (%),96.4,88.4
5,Deaths in the last 3 years registered with the civil authority (%),79.5,na
6,Population living in households with electricity (%),99.6,97.5
7,Population living in households with an improved drinking-water source (%),90.9,84.6
8,Population living in households that use an improved sanitation facility(%),84.5,63.4
9,Households using clean fuel for cooking (%),45.9,36.8
10,Households using iodized salt (%),97.7,94.6
11,Households with any usual member covered under a health insurance/financing scheme (%),72.8,20.9
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),23.0,na
13,Women who are literate (%),87.6,na
14,Women with 10 or more years of schooling (%),55.5,38.7
15,Women age 20-24 years married before age 18 years (%),16.2,26.6
16,Births in the 5 years preceding the survey that are third or higher order (%),1.2,2.6
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),3.7,6.8
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),94.6,73.2
19,Any method (%),71.2,70.1
20,Any modern method (%),63.6,66.8
21,Female sterilization (%),42.5,50.5
22,Male sterilization (%),0.7,0.7
23,IUD/PPIUD (%),2.3,2.3
24,Pill (%),0.5,1.6
25,Condom (%),16.9,11.8
26,Injectables (%),0.5,0.0
27,Total unmet need(%),11.3,11.6
28,Unmet need for spacing (%),4.5,4.1
29,Health worker ever talked to female non-users about family planning (%),28.3,12.3
30,Current users ever told about side effects of current method (%),59.0,61.7
31,Mothers who had an antenatal check-up in the first trimester (%),68.7,49.9
32,Mothers who had at least 4 antenatal care visits (%),58.7,30.8
33,Mothers whose last birth was protected against neonatal tetanus (%),94.0,92.7
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),52.6,28.7
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),24.3,12.8
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.4,94.4
37,days of delivery (%),82.0,56.4
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,726","1,339"
39,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),(3.7),0.0
40,days of delivery (%),82.7,na
41,Institutional births (%),84.9,73.0
42,Institutional births in public facility (%),80.0,65.3
43,Home births that were conducted by skilled health personnel (%),1.9,2.2
44,Births attended by skilled health personnel (%),83.2,75.6
45,Births delivered by caesarean section (%),17.0,7.3
46,Births in a private health facility that were delivered by caesarean section (%),*,*
47,Births in a public health facility that were delivered by caesarean section (%),18.4,6.0
48,mother's recall (%),96.0,(74.2)
49,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),(97.0),(83.6)
50,Children age 12-23 months who have received BCG (%),100.0,(96.8)
51,Children age 12-23 months who have received 3 doses of polio vaccine (%),96.0,(77.8)
52,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),100.0,(89.9)
53,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),100.0,(90.3)
54,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),27.5,na
55,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),43.4,na
56,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),100.0,(71.5)
57,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),69.6,49.1
58,Children age 12-23 months who received most of their vaccinations in a public health facility (%),97.8,(91.4)
59,Children age 12-23 months who received most of their vaccinations in a private health facility (%),2.2,(2.1)
60,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),4.8,21.1
61,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,31.9
62,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,14.1
63,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,52.8
64,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),0.5,4.5
65,health provider (%),*,68.3
66,Children under age 3 years breastfed within one hour of birth (%),54.1,26.5
67,Children under age 6 months exclusively breastfed (%),(61.8),(47.8)
68,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
69,Breastfeeding children age 6-23 months receiving an adequate diet (%),19.3,14.7
