Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
Population and Household Profile,,Urban  Rural,Total,Total
Female population age 6 years and above who ever attended school (%),82.4,72.0,75.2,72.7
Population below age 15 years (%),24.7,27.1,26.3,28.9
"Sex ratio of the total population (females per 1,000 males)",943,"1,052","1,016","1,015"
"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,094",937,984,888
Children under age 5 years whose birth was registered with the civil authority (%),92.2,91.8,91.9,76.7
Deaths in the last 3 years registered with the civil authority (%),81.4,68.4,72.3,na
Population living in households with electricity (%),99.7,99.6,99.6,97.8
Population living in households with an improved drinking-water source (%),99.6,94.2,95.9,93.6
Population living in households that use an improved sanitation facility(%),81.0,77.7,78.8,66.2
Households using clean fuel for cooking (%),92.9,42.9,59.2,51.0
Households using iodized salt (%),95.4,92.2,93.2,95.3
Households with any usual member covered under a health insurance/financing scheme (%),61.6,62.9,62.5,19.5
Children age 5 years who attended pre-primary school during the school year 2019-20 (%),35.8,32.2,33.2,na
Women who are literate (%),83.4,78.0,79.8,na
Men who are literate (%),87.5,90.1,89.3,na
Women with 10 or more years of schooling (%),59.4,46.0,50.4,44.6
Men with 10 or more years of schooling (%),62.2,58.7,59.8,53.6
Women who have ever used the internet (%),58.4,39.4,45.1,na
Men who have ever used the internet (%),82.1,71.2,74.6,na
Women age 20-24 years married before age 18 years (%),10.0,9.8,9.8,13.8
Men age 25-29 years married before age 21 years (%),21.0,13.8,16.7,17.1
Total fertility rate (children per woman),1.8,1.9,1.9,2.1
Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),2.1,2.6,2.5,2.8
Adolescent fertility rate for women age 15-19 years,17,21,19,23
Neonatal mortality rate (NNMR),36.2,30.6,32.4,27.9
Infant mortality rate (IMR),38.3,39.5,39.1,39.7
Under-five mortality rate (U5MR),46.2,45.3,45.6,46.5
Any method (%),73.5,69.5,70.8,53.4
Any modern method (%),59.5,57.1,57.8,49.3
Female sterilization (%),17.8,29.8,26.0,27.4
Male sterilization (%),0.2,0.9,0.7,0.7
IUD/PPIUD (%),2.0,1.3,1.5,1.6
Pill (%),2.6,2.7,2.7,3.2
Condom (%),35.4,21.0,25.6,16.1
Injectables (%),0.6,0.3,0.4,0.2
Total unmet need(%),6.5,9.9,8.8,15.5
Unmet need for spacing (%),2.3,3.6,3.2,5.2
Health worker ever talked to female non-users about family planning (%),20.3,20.1,20.2,15.2
Current users ever told about side effects of current method (%),62.0,60.3,60.7,45.4
Mothers who had an antenatal check-up in the first trimester (%),74.6,66.0,68.8,53.5
Mothers who had at least 4 antenatal care visits (%),71.0,57.3,61.8,30.9
Mothers whose last birth was protected against neonatal tetanus (%),95.2,92.8,93.6,91.4
Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),52.1,43.8,46.6,24.9
Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),28.7,23.2,25.0,7.2
Registered pregnancies for which the mother received a Mother and Child Protection (MCP)card (%),97.5,96.9,97.1,93.4
Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other healthpersonnel within 2 days of delivery (%),84.0,75.0,78.0,54.8
Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,124","3,447","3,343","2,618"
Children born at home who were taken to a health facility for a check-up within 24 hours ofbirth (%),7.7,1.7,3.1,2.4
Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other healthpersonnel within 2 days of delivery (%),84.1,76.4,78.9,na
Institutional births (%),89.4,80.4,83.2,68.6
Institutional births in public facility (%),52.3,53.8,53.3,43.8
Home births that were conducted by skilled health personnel (%),1.3,4.4,3.4,4.6
Births attended by skilled health personnel (%),86.6,82.4,83.7,71.2
Births delivered by caesarean section (%),28.6,16.7,20.4,13.1
Births in a private health facility that were delivered by caesarean section (%),47.0,40.9,43.3,36.4
Births in a public health facility that were delivered by caesarean section (%),21.4,10.7,14.0,9.3
Children age 12-23 months fully vaccinated based on information from either vaccination cardor mother's recall (%),82.0,80.2,80.8,57.6
Children age 12-23 months fully vaccinated based on information from vaccination cardonly (%),86.0,89.9,88.6,71.0
Children age 12-23 months who have received BCG (%),92.5,96.5,95.2,92.8
Children age 12-23 months who have received 3 doses of polio vaccine (%),85.3,83.4,84.0,67.9
Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),91.8,88.7,89.7,79.9
Children age 12-23 months who have received the first dose of measles-containingvaccine (MCV) (%),91.1,90.3,90.6,80.4
Children age 24-35 months who have received a second dose of measles-containingvaccine (MCV) (%),41.0,33.4,35.8,na
Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),38.5,29.4,32.3,na
Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),88.6,85.7,86.6,59.4
Children age 9-35 months who received a vitamin A dose in the last 6 months (%),58.7,51.4,53.7,40.2
Children age 12-23 months who received most of their vaccinations in a public healthfacility (%),93.7,96.0,95.3,91.0
Children age 12-23 months who received most of their vaccinations in a private healthfacility (%),5.3,2.0,3.0,6.3
Prevalence of diarrhoea in the 2 weeks preceding the survey (%),5.1,4.1,4.4,17.0
Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydrationsalts (ORS) (%),(62.6),52.0,55.9,56.0
Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(40.8),23.8,30.1,30.3
Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or healthprovider (%),(91.2),72.8,79.6,73.7
Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding thesurvey (%),3.0,1.9,2.3,4.6
Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a healthfacility or health provider (%),70.3,71.4,71.0,79.0
Children under age 3 years breastfed within one hour of birth (%),42.8,40.6,41.3,27.8
Children under age 6 months exclusively breastfed (%),45.0,56.4,52.5,51.2
Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),(58.9),47.0,50.6,46.7
Breastfeeding children age 6-23 months receiving an adequate diet (%),13.4,13.1,13.2,8.6
Non-breastfeeding children age 6-23 months receiving an adequate diet (%),13.1,8.6,10.3,7.8
Total children age 6-23 months receiving an adequate diet (%),13.3,12.2,12.5,8.5
Children under 5 years who are stunted (height-for-age) (%),24.3,28.2,27.0,33.5
