,Indicator,NFHS-5,NFHS-4
0,Female population age 6 years and above who ever attended school (%),80.2,80.8
1,Population below age 15 years (%),19.9,22.3
2,"Sex ratio of the total population (females per 1,000 males)",973,924
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,353","1,096"
4,Children under age 5 years whose birth was registered with the civil authority (%),96.8,100.0
5,Deaths in the last 3 years registered with the civil authority (%),87.2,na
6,Population living in households with electricity (%),99.6,99.8
7,Population living in households with an improved drinking-water source (%),93.3,99.5
8,Population living in households that use an improved sanitation facility(%),91.7,94.7
9,Households using clean fuel for cooking (%),66.5,52.5
10,Households using iodized salt (%),99.4,99.4
11,Households with any usual member covered under a health insurance/financing scheme (%),20.8,32.5
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),(39.1),na
13,Women who are literate (%),90.5,na
14,Women with 10 or more years of schooling (%),45.7,41.0
15,Women age 20-24 years married before age 18 years (%),9.9,15.6
16,Births in the 5 years preceding the survey that are third or higher order (%),0.0,0.4
17,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),8.7,2.0
18,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),85.3,77.9
19,Any method (%),85.0,59.3
20,Any modern method (%),67.6,57.3
21,Female sterilization (%),19.0,24.1
22,Male sterilization (%),3.0,7.8
23,IUD/PPIUD (%),6.6,6.0
24,Pill (%),20.1,12.8
25,Condom (%),9.5,5.5
26,Injectables (%),9.0,1.2
27,Total unmet need(%),5.2,19.1
28,Unmet need for spacing (%),2.8,8.3
29,Health worker ever talked to female non-users about family planning (%),24.3,19.0
30,Current users ever told about side effects of current method (%),67.2,73.6
31,Mothers who had an antenatal check-up in the first trimester (%),78.1,89.5
32,Mothers who had at least 4 antenatal care visits (%),84.5,84.7
33,Mothers whose last birth was protected against neonatal tetanus (%),92.3,100.0
34,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),71.3,62.9
35,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),46.2,48.9
36,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),99.4,98.5
37,days of delivery (%),83.1,82.7
38,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"11,031","2,943"
