,Indicator,NFHS-5 Urban,NFHS-5 Rural,NFHS-5 Total,NFHS-4 Total
0,Female population age 6 years and above who ever attended school (%),91.9,96.9,93.0,91.1
1,Population below age 15 years (%),21.7,24.6,22.3,23.2
2,"Sex ratio of the total population (females per 1,000 males)","1,193","1,166","1,187","1,022"
3,"Sex ratio at birth for children born in the last five years (females per 1,000 males)",964,"(1,361)","1,051",905
4,Children under age 5 years whose birth was registered with the civil authority (%),100.0,100.0,100.0,99.1
5,Deaths in the last 3 years registered with the civil authority (%),98.4,*,96.6,na
6,Population living in households with electricity (%),99.7,100.0,99.8,100.0
7,Population living in households with an improved drinking-water source (%),94.6,86.7,92.9,91.1
8,Population living in households that use an improved sanitation facility(%),99.7,100.0,99.8,99.6
9,Households using clean fuel for cooking (%),68.5,24.7,59.4,31.8
10,Households using iodized salt (%),95.8,100.0,96.7,96.3
11,Households with any usual member covered under a health insurance/financing scheme (%),58.4,66.7,60.1,2.9
12,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),37.4,*,32.0,na
13,Women who are literate (%),96.4,96.8,96.5,na
14,Men who are literate (%),100.0,(96.3),99.1,na
15,Women with 10 or more years of schooling (%),68.2,66.3,67.8,56.8
16,Men with 10 or more years of schooling (%),84.9,(69.4),80.9,76.3
17,Women who have ever used the internet (%),61.8,(36.0),56.4,na
18,Men who have ever used the internet (%),81.5,(77.0),80.3,na
19,Women age 20-24 years married before age 18 years (%),1.9,(0.0),1.3,1.9
20,Men age 25-29 years married before age 21 years (%),*,*,*,(0.0)
21,Total fertility rate (children per woman),1.4,1.6,1.4,1.8
22,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),0.0,(5.1),1.1,0.0
23,Adolescent fertility rate for women age 15-19 years,2,0,2,8
24,Neonatal mortality rate (NNMR),*,*,(0.0),(23.3)
25,Infant mortality rate (IMR),*,*,(0.0),(27.0)
26,Under-five mortality rate (U5MR),*,*,(0.0),(30.2)
27,Any method (%),51.8,55.4,52.6,29.7
28,Any modern method (%),31.0,27.1,30.1,15.7
29,Female sterilization (%),21.4,18.1,20.7,10.7
30,Male sterilization (%),0.0,0.0,0.0,0.0
31,IUD/PPIUD (%),1.3,0.0,1.0,0.7
32,Pill (%),1.4,0.3,1.2,0.0
33,Condom (%),4.7,2.2,4.1,4.1
34,Injectables (%),0.0,0.0,0.0,0.1
35,Total unmet need(%),13.6,7.6,12.3,16.9
36,Unmet need for spacing (%),8.9,4.9,8.0,12.7
37,Health worker ever talked to female non-users about family planning (%),15.3,13.0,14.8,23.8
38,Current users ever told about side effects of current method (%),(88.8),*,(85.0),*
39,Mothers who had an antenatal check-up in the first trimester (%),99.5,100.0,99.6,90.6
40,Mothers who had at least 4 antenatal care visits (%),86.2,94.2,88.3,82.3
41,Mothers whose last birth was protected against neonatal tetanus (%),99.5,99.0,99.4,93.6
42,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),83.6,70.4,80.1,81.7
43,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),62.2,60.2,61.7,59.1
44,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),90.7,41.6,77.8,96.3
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),90.7,97.8,92.6,92.7
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"3,054","1,769","2,533","4,580"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),*,*,*,*
48,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),91.4,100.0,93.7,na
49,Institutional births (%),99.5,100.0,99.6,99.3
50,Institutional births in public facility (%),56.3,92.0,65.3,64.3
51,Home births that were conducted by skilled health personnel (%),0.5,0.0,0.4,0.7
52,Births attended by skilled health personnel (%),100.0,100.0,100.0,100.0
53,Births delivered by caesarean section (%),30.7,33.2,31.3,38.4
54,Births in a private health facility that were delivered by caesarean section (%),36.1,*,37.7,59.9
55,Births in a public health facility that were delivered by caesarean section (%),26.7,30.7,28.2,27.1
56,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),(87.0),*,(86.1),89.0
57,Children age 12-23 months fully vaccinated based on information from vaccination card  only (%),(93.0),*,(91.7),93.2
58,Children age 12-23 months who have received BCG (%),(93.9),*,(94.2),100.0
59,Children age 12-23 months who have received 3 doses of polio vaccine (%),(87.0),*,(86.1),92.1
60,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),(93.9),*,(91.0),95.1
61,Children age 12-23 months who have received the first dose of measles-containing  vaccine (MCV) (%),(93.9),*,(91.0),93.7
62,Children age 24-35 months who have received a second dose of measles-containing  vaccine (MCV) (%),(12.4),*,(11.7),na
63,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),(13.1),*,(12.7),na
64,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),(90.8),*,(88.9),88.9
65,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),44.7,(45.0),44.8,51.7
66,Children age 12-23 months who received most of their vaccinations in a public health  facility (%),(100.0),*,(100.0),100.0
67,Children age 12-23 months who received most of their vaccinations in a private health  facility (%),(0.0),*,(0.0),0.0
68,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),1.0,6.2,2.3,6.3
69,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),*,*,*,*
70,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),*,*,*,*
71,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*,*,*
72,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),1.9,0.0,1.4,0.9
73,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),*,*,*,(86.5)
74,Children under age 3 years breastfed within one hour of birth (%),77.2,(74.0),76.3,57.7
75,Children under age 6 months exclusively breastfed (%),(77.3),*,(67.0),(54.8)
76,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*,*,*
77,Breastfeeding children age 6-23 months receiving an adequate diet  (%),(23.4),*,20.2,16.8
78,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*,*,*
79,Total children age 6-23 months receiving an adequate diet  (%),(21.8),*,19.0,15.9
80,Children under 5 years who are stunted (height-for-age) (%),30.7,35.6,32.0,26.8
81,Children under 5 years who are wasted (weight-for-height) (%),18.5,14.2,17.4,13.7
82,Children under 5 years who are severely wasted (weight-for-height) (%),8.7,8.9,8.7,2.9
83,Children under 5 years who are underweight (weight-for-age) (%),28.5,18.4,25.8,23.6
84,Children under 5 years who are overweight (weight-for-height) (%),10.0,11.8,10.5,1.6
85,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),6.7,12.4,8.0,13.5
86,Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),2.4,(14.1),5.5,8.2
87,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),34.2,31.0,33.5,40.6
88,Men who are overweight or obese (BMI ≥25.0 kg/m) (%),42.0,(39.4),41.3,24.1
89,Women who have high risk waist-to-hip ratio (≥0.85) (%),69.1,66.2,68.4,na
90,Men who have high risk waist-to-hip ratio (≥0.90) (%),57.4,(44.0),53.9,na
91,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),45.5,36.1,43.1,53.6
92,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),26.5,24.1,26.0,46.3
93,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),(22.3),*,(20.9),(39.0)
94,All women age 15-49 years who are anaemic (%),26.4,23.7,25.8,46.0
95,All women age 15-19 years who are anaemic (%),31.2,(31.9),31.4,59.0
96,Men age 15-49 years who are anaemic (<13.0 g/dl)%),3.5,(11.4),5.6,11.4
97,Men age 15-19 years who are anaemic (<13.0 g/dl)(%),*,*,*,*
98,Blood sugar level - high (141-160 mg/dl)(%),8.9,6.5,8.4,na
99,Blood sugar level - very high (>160 mg/dl)(%),9.4,11.6,9.9,na
100,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),19.9,18.3,19.5,na
101,Blood sugar level - high (141-160 mg/dl)(%),11.1,7.0,10.2,na
102,Blood sugar level - very high (>160 mg/dl) (%),9.0,5.3,8.1,na
103,Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood  sugar level (%),22.9,13.0,20.7,na
104,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),14.4,11.8,13.9,na
105,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),7.2,3.5,6.5,na
106,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),26.5,18.4,24.8,na
107,Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or  Diastolic 90-99 mm of Hg) (%),17.5,13.4,16.6,na
108,Moderately or severely elevated blood pressure (Systolic ≥160 mm of Hg and/or  Diastolic ≥100 mm of Hg) (%),5.4,4.1,5.1,na
109,Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),25.9,20.7,24.7,na
110,Ever undergone a screening test for cervical cancer (%),1.8,1.1,1.7,na
111,Ever undergone a breast examination for breast cancer (%),0.5,0.5,0.5,na
112,Ever undergone an oral cavity examination for oral cancer (%),0.3,0.0,0.3,na
113,Ever undergone an oral cavity examination for oral cancer (%),0.0,*,0.0,na
114,Women who have comprehensive knowledge of HIV/AIDS (%),50.2,(34.8),46.9,22.0
115,Men who have comprehensive knowledge of HIV/AIDS(%),60.6,(79.6),65.5,31.2
116,Women who know that consistent condom use can reduce the chance of getting  HIV/AIDS (%),75.7,(72.0),74.9,46.7
117,Men who know that consistent condom use can reduce the chance of getting HIV/AIDS (%),96.6,(94.3),96.0,55.7
118,Currently married women who usually participate in three household decisions(%),91.9,*,92.2,82.1
119,Women who worked in the last 12 months and were paid in cash (%),10.4,(12.9),10.9,20.9
120,Women owning a house and/or land (alone or jointly with others) (%),31.1,(29.4),30.7,42.6
121,Women having a bank or savings account that they themselves use (%),66.9,(67.0),66.9,74.4
122,Women having a mobile phone that they themselves use (%),85.1,(80.1),84.0,64.9
123,Women age 15-24 years who use hygienic methods of protection during their  menstrual period (%),97.7,100.0,98.3,97.0
124,Ever-married women age 18-49 years who have ever experienced spousal violence (%),1.0,*,1.3,8.9
125,Ever-married women age 18-49 years who have experienced physical violence during any pregnancy (%),0.0,*,0.0,0.0
126,Young women age 18-29 years who experienced sexual violence by age 18 (%),*,*,(0.0),(0.0)
127,Women age 15 years and above who use any kind of tobacco (%),16.6,21.1,17.5,na
128,Men age 15 years and above who use any kind of tobacco (%),25.9,37.8,28.5,na
129,Women age 15 years and above who consume alcohol (%),0.3,0.4,0.3,na
130,Men age 15 years and above who consume alcohol (%),0.4,0.5,0.4,na
