District,Agency,Households,Women,Men
Bankura,Indian Institute of Health Management Research (IIHMR),889,997,133
Birbhum,Indian Institute of Health Management Research (IIHMR),922,1161,168
Dakshin Dinajpur,Indian Institute of Health Management Research (IIHMR),920,1137,163
Darjeeling,Indian Institute of Health Management Research (IIHMR),898,1058,163
Haora,Indian Institute of Health Management Research (IIHMR),916,1067,153
Hugli,Indian Institute of Health Management Research (IIHMR),892,1020,136
Jalpaiguri,Indian Institute of Health Management Research (IIHMR),919,1101,149
Koch Bihar,Indian Institute of Health Management Research (IIHMR),920,1095,157
Kolkata,Indian Institute of Health Management Research (IIHMR),879,921,138
Maldah,Indian Institute of Health Management Research (IIHMR),911,1113,150
Murshidabad,Indian Institute of Health Management Research (IIHMR),917,1144,159
Nadia,Indian Institute of Health Management Research (IIHMR),919,1034,146
North Twenty Four Parganas,Indian Institute of Health Management Research (IIHMR),924,1055,148
Paschim Barddhaman,Indian Institute of Health Management Research (IIHMR),912,1190,184
Paschim Medinipur,Indian Institute of Health Management Research (IIHMR),910,1002,137
Purba Barddhaman,Indian Institute of Health Management Research (IIHMR),915,1088,163
Purba Medinipur,Indian Institute of Health Management Research (IIHMR),873,957,131
Puruliya,Indian Institute of Health Management Research (IIHMR),912,1050,138
South Twenty Four Parganas,Indian Institute of Health Management Research (IIHMR),917,1089,148
Uttar Dinajpur,Indian Institute of Health Management Research (IIHMR),922,1129,157
