,Indicator,NFHS_5,NFHS_4
1,Female population age 6 years and above who ever attended school (%),68.1,60.1
2,Population below age 15 years (%),29.2,36.8
3,"Sex ratio of the total population (females per 1,000 males)","1,093","1,023"
4,"Sex ratio at birth for children born in the last five years (females per 1,000 males)","1,155",937
5,Children under age 5 years whose birth was registered with the civil authority (%),98.2,88.5
6,Deaths in the last 3 years registered with the civil authority (%),66.5,na
7,Population living in households with electricity (%),96.9,90.3
8,Population living in households with an improved drinking-water source (%),99.8,97.9
9,Population living in households that use an improved sanitation facility(%),63.8,33.3
10,Households using clean fuel for cooking (%),27.2,12.3
11,Households using iodized salt (%),93.7,97.3
12,Households with any usual member covered under a health insurance/financing scheme (%),21.0,27.3
13,Children age 5 years who attended pre-primary school during the school year 2019-20 (%),4.1,na
15,Women who are literate (%),65.4,na
16,Women with 10 or more years of schooling (%),29.3,17.0
18,Women age 20-24 years married before age 18 years (%),30.3,39.7
19,Births in the 5 years preceding the survey that are third or higher order (%),1.8,3.1
20,Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),12.7,17.4
21,Women age 15-24 years who use hygienic methods of protection during their menstrual period (%),79.6,31.7
23,Any method (%),81.2,54.7
24,Any modern method (%),60.9,43.6
25,Female sterilization (%),25.9,19.3
26,Male sterilization (%),0.1,0.0
27,IUD/PPIUD (%),1.5,0.7
28,Pill (%),20.7,17.6
29,Condom (%),9.5,4.6
30,Injectables (%),1.4,1.0
32,Total unmet need(%),4.4,14.4
33,Unmet need for spacing (%),3.3,4.9
35,Health worker ever talked to female non-users about family planning (%),10.3,12.5
36,Current users ever told about side effects of current method (%),50.6,51.8
38,Mothers who had an antenatal check-up in the first trimester (%),76.6,36.9
39,Mothers who had at least 4 antenatal care visits (%),70.1,43.1
40,Mothers whose last birth was protected against neonatal tetanus (%),96.7,88.2
41,Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),59.3,6.1
42,Mothers who consumed iron folic acid for 180 days or more when they were pregnant (%),28.9,1.2
43,Registered pregnancies for which the mother received a Mother and Child Protection (MCP) card (%),97.8,96.8
45,Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),60.9,46.3
46,Average out-of-pocket expenditure per delivery in a public health facility (Rs.),"2,706","3,729"
47,Children born at home who were taken to a health facility for a check-up within 24 hours of birth (%),6.5,3.8
49,Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%),69.4,na
51,Institutional births (%),76.9,47.0
52,Institutional births in public facility (%),58.9,37.6
53,Home births that were conducted by skilled health personnel (%),7.8,12.0
54,Births attended by skilled health personnel (%),84.7,58.4
55,Births delivered by caesarean section (%),22.0,12.6
56,Births in a private health facility that were delivered by caesarean section (%),77.7,(67.6)
57,Births in a public health facility that were delivered by caesarean section (%),13.7,16.6
60,Children age 12-23 months fully vaccinated based on information from either vaccination card or mother's recall (%),84.4,66.0
61,Children age 12-23 months fully vaccinated based on information from vaccination card only (%),86.4,85.3
62,Children age 12-23 months who have received BCG (%),97.5,92.6
63,Children age 12-23 months who have received 3 doses of polio vaccine (%),88.4,74.4
64,Children age 12-23 months who have received 3 doses of penta or DPT vaccine (%),92.4,75.4
65,Children age 12-23 months who have received the first dose of measles-containing vaccine (MCV) (%),88.5,73.5
66,Children age 24-35 months who have received a second dose of measles-containing vaccine (MCV) (%),51.9,na
67,Children age 12-23 months who have received 3 doses of rotavirus vaccine (%),0.0,na
68,Children age 12-23 months who have received 3 doses of penta or hepatitis B vaccine (%),91.3,71.1
69,Children age 9-35 months who received a vitamin A dose in the last 6 months (%),67.4,56.5
70,Children age 12-23 months who received most of their vaccinations in a public health facility (%),97.2,91.5
71,Children age 12-23 months who received most of their vaccinations in a private health facility (%),2.9,6.0
73,Prevalence of diarrhoea in the 2 weeks preceding the survey (%),7.9,7.9
74,Children with diarrhoea in the 2 weeks preceding the survey who received oral rehydration salts (ORS) (%),(64.9),(67.6)
75,Children with diarrhoea in the 2 weeks preceding the survey who received zinc (%),(50.6),(22.4)
76,Children with diarrhoea in the 2 weeks preceding the survey taken to a health facility or health provider (%),(82.5),(74.1)
77,Prevalence of symptoms of acute respiratory infection (ARI) in the 2 weeks preceding the survey (%),4.3,6.3
79,Children with fever or symptoms of ARI in the 2 weeks preceding the survey taken to a health facility or health provider (%),84.1,61.1
81,Children under age 3 years breastfed within one hour of birth (%),60.2,44.2
82,Children under age 6 months exclusively breastfed (%),(66.4),67.8
83,Children age 6-8 months receiving solid or semi-solid food and breastmilk (%),*,*
84,Breastfeeding children age 6-23 months receiving an adequate diet  (%),22.4,15.2
85,Non-breastfeeding children age 6-23 months receiving an adequate diet (%),*,*
86,Total children age 6-23 months receiving an adequate diet  (%),20.4,15.2
87,Children under 5 years who are stunted (height-for-age) (%),44.8,40.4
88,Children under 5 years who are wasted (weight-for-height) (%),16.0,14.0
89,Children under 5 years who are severely wasted (weight-for-height) (%),7.2,5.6
90,Children under 5 years who are underweight (weight-for-age) (%),32.0,34.7
91,Children under 5 years who are overweight (weight-for-height) (%),7.1,2.0
93,Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m) (%),16.5,25.7
94,Women who are overweight or obese (BMI ≥25.0 kg/m) (%),14.6,11.1
95,Women who have high risk waist-to-hip ratio (≥0.85) (%),71.2,na
97,Children age 6-59 months who are anaemic (<11.0 g/dl) (%),77.2,64.4
98,Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),71.9,61.7
99,Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),84.4,69.7
100,All women age 15-49 years who are anaemic (%),72.4,62.1
101,All women age 15-19 years who are anaemic (%),63.6,58.2
104,Women - Blood sugar level - high (141-160 mg/dl)(%),8.0,na
105,Women - Blood sugar level - very high (>160 mg/dl)(%),4.7,na
106,Women - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),13.6,na
108,Men - Blood sugar level - high (141-160 mg/dl)(%),10.3,na
109,Men - Blood sugar level - very high (>160 mg/dl) (%),7.7,na
110,Men - Blood sugar level - high or very high (>140 mg/dl) or taking medicine to control blood sugar level (%),18.8,na
113,Women - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),10.4,na
114,Women - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),3.9,na
116,Women - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),16.3,na
118,Men - Mildly elevated blood pressure (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),15.9,na
119,Men - Moderately or severely elevated blood pressure (Systolic ≥160mm of Hg and/or Diastolic ≥100mm of Hg) (%),4.8,na
121,Men - Elevated blood pressure (Systolic ≥140 mm of Hg and/or Diastolic ≥90 mm of Hg) or taking medicine to control blood pressure (%),23.8,na
123,Ever undergone a screening test for cervical cancer (%),0.0,na
124,Ever undergone a breast examination for breast cancer (%),0.0,na
125,Ever undergone an oral cavity examination for oral cancer (%),0.0,na
127,Women age 15 years and above who use any kind of tobacco (%),10.2,na
128,Men age 15 years and above who use any kind of tobacco (%),49.1,na
129,Women age 15 years and above who consume alcohol (%),1.7,na
130,Men age 15 years and above who consume alcohol (%),15.9,na
